procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 13566128     28 718304    0    0    25   108 1002  350  2  1 97  0  0
 0  0      0 13567900     28 718744    0    0   316   396 5854 9204  3  2 95  1  0
 0  0      0 13567708     28 718760    0    0     0   117 4183 6857  1  1 98  0  0
 0  0      0 13566596     28 718764    0    0     0    68 3838 6386  1  1 98  0  0
 0  0      0 13560892     28 722392    0    0  3840    91 5287 8029  3  3 93  1  0
 0  0      0 13560892     28 722392    0    0     0   368 3803 6356  1  1 98  0  0
 1  0      0 13560796     28 722400    0    0     0    76 4088 6788  1  1 98  0  0
 0  0      0 13560896     28 722400    0    0     0   527 3980 6495  1  2 97  0  0
 0  0      0 13560904     28 722460    0    0     0    92 3536 6181  1  1 98  0  0
 0  0      0 13560808     28 722492    0    0     0    57 3957 6711  1  1 98  0  0
 0  0      0 13560808     28 722496    0    0     0   171 4158 7172  1  1 98  0  0
 0  0      0 13560680     28 722500    0    0     0    68 3705 6370  1  1 98  0  0
 0  0      0 13560584     28 722504    0    0     0    81 3847 6585  1  1 98  0  0
 0  0      0 13560456     28 722508    0    0     0    78 3472 6289  1  1 98  0  0
 0  0      0 13560392     28 722516    0    0     0    62 3938 6789  1  1 97  0  0
 1  0      0 13560360     28 722516    0    0     0   395 3754 6403  1  1 98  0  0
 0  0      0 13560232     28 722524    0    0     0    86 4088 6871  1  1 98  0  0
 0  0      0 13560232     28 722532    0    0     0    63 3954 6631  1  1 98  0  0
 1  0      0 13560104     28 722548    0    0     0   211 3920 6613  1  1 98  0  0
 0  0      0 13560008     28 722556    0    0     0    60 3711 6369  1  1 98  0  0
 0  0      0 13559880     28 722560    0    0     0    69 3960 6569  1  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13559848     28 722560    0    0     0   103 3879 6668  1  1 98  0  0
 0  0      0 13559720     28 722568    0    0     0    46 3902 6563  1  1 98  0  0
 0  0      0 13559720     28 722572    0    0     0    92 3913 6681  1  1 98  0  0
 0  0      0 13559784     28 722580    0    0     0    73 4027 6693  1  1 98  0  0
 0  0      0 13559784     28 722584    0    0     0    78 4296 7121  1  1 98  0  0
 0  0      0 13559688     28 722588    0    0     0    89 3733 6349  1  1 98  0  0
 2  0      0 13560652     28 725008    0    0     0  5389 29495 24881 23  7 68  3  0
 3  1      0 13553976     28 730392    0    0     0 10854 45817 47853 39 12 43  6  0
 5  1      0 13599276     28 735516    0    0     0 10933 45122 48463 38 13 43  6  0
 2  2      0 13576548     28 760152    0    0     0 40653 32261 36545 43 11 35 10  0
 5  1      0 13590284     28 743224    0    0   492 22301 39254 46505 34 10 44 13  0
 2  1      0 13590876     28 743228    0    0     0 13632 34790 35578 40 11 36 12  0
 3  1      0 13611280     28 743236    0    0     0 12880 37232 44568 32 11 45 13  0
