Linux 4.18.0-553.139.1.el8_10.x86_64 (g-test-poc-3) 	07/09/26 	_x86_64_	(4 CPU)

06:33:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:33:07     all    0.50    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.74
06:33:08     all    0.00    0.00    0.00    0.00    0.75    0.00    0.00    0.00    0.00   99.25
06:33:09     all    0.75    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:33:10     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:33:11     all    0.00    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   99.25
06:33:12     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:33:13     all    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:33:14     all    0.00    0.00    0.00    0.00    0.75    0.00    0.00    0.00    0.00   99.25
06:33:15     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:33:16     all    0.00    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.50
06:33:17     all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.25
06:33:18     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
06:33:19     all    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
06:33:20     all    0.74    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   98.76
06:33:21     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:33:22     all    0.25    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.50
06:33:23     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:33:24     all    0.25    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.25
06:33:25     all    0.25    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   99.00
06:33:26     all    0.50    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.00
06:33:27     all    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
06:33:28     all    0.25    0.00    0.75    0.00    0.25    0.00    0.00    0.00    0.00   98.76
06:33:29     all    0.25    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.50
06:33:30     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:33:31     all    0.75    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   98.51
06:33:32     all    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
06:33:33     all    0.00    0.00    0.25    0.00    0.50    0.00    0.00    0.00    0.00   99.25
06:33:34     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:33:35     all    0.00    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   99.25
06:33:36     all    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:33:37     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:33:38     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:33:39     all    0.00    0.00    0.00    0.00    0.75    0.00    0.00    0.00    0.00   99.25
06:33:40     all    0.25    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.50
06:33:41     all    0.50    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.75
06:33:42     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:33:43     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:33:44     all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.25
06:33:45     all    0.25    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.25
06:33:46     all    2.74    0.00    3.24    0.00    0.50    0.25    0.00    0.00    0.00   93.27
06:33:47     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:33:48     all    0.00    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.50
06:33:49     all    0.50    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.25
06:33:50     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
06:33:51     all    1.50    0.00    1.50    0.00    0.50    0.25    0.25    0.00    0.00   96.00
06:33:52     all    0.50    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.75
06:33:53     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
06:33:54     all    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
06:33:55     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:33:56     all    0.00    0.00    0.50    0.00    0.25    0.25    0.00    0.00    0.00   99.00
06:33:57     all    0.50    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.00
06:33:58     all    0.25    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.25
06:33:59     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:34:00     all    0.50    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.25
06:34:01     all    0.00    0.00    0.50    0.00    0.25    0.00    0.25    0.00    0.00   99.00
06:34:02     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:34:03     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:34:04     all    0.50    0.00    0.25    0.00    0.50    0.25    0.00    0.00    0.00   98.51
06:34:05     all    0.50    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   99.00
06:34:06     all    0.00    0.00    0.00    0.00    0.50    0.00    0.25    0.00    0.00   99.25
06:34:07     all    1.51    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   96.98
06:34:08     all    0.25    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   99.00
06:34:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:10     all    0.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.25
06:34:11     all    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.50
06:34:12     all    0.00    0.00    0.75    0.00    0.25    0.00    0.25    0.00    0.00   98.76
06:34:13     all    0.50    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   99.25
06:34:14     all    0.00    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.50
06:34:15     all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:34:16     all    0.25    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.25
06:34:17     all    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
06:34:18     all    0.25    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.50
06:34:19     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:34:20     all    0.75    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.75
06:34:21     all    0.00    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.50
06:34:22     all    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
06:34:23     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:34:24     all    0.25    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.25
06:34:25     all    0.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.25
06:34:26     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
06:34:27     all    0.00    0.00    0.25    0.00    0.50    0.00    0.00    0.00    0.00   99.25
06:34:28     all    0.50    0.00    0.25    0.00    0.25    0.25    0.00    0.00    0.00   98.75
06:34:29     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:34:30     all    0.00    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.50
06:34:31     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:34:32     all    0.50    0.00    0.50    0.00    0.25    0.25    0.00    0.00    0.00   98.51
06:34:33     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:34:34     all    0.00    0.00    0.25    0.00    0.50    0.00    0.00    0.00    0.00   99.25
06:34:35     all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.25
06:34:36     all    0.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:34:37     all    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
06:34:38     all    0.25    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.50
06:34:39     all    0.50    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   98.51
06:34:40     all    0.00    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   99.75
06:34:41     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:34:42     all    0.25    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.25
06:34:43     all    0.00    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   99.50
06:34:44     all    0.25    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.25
06:34:45     all    0.75    0.00    0.25    0.00    0.50    0.00    0.00    0.00    0.00   98.50
06:34:46     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:34:47     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:34:48     all    0.25    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.25
06:34:49     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:34:50     all    0.25    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.50
06:34:51     all    0.75    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   98.76
06:34:52     all    0.00    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   99.25
06:34:53     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
