Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-3) 	西元2026年07月09日 	_x86_64_	(4 CPU)

14時33分06秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14時33分07秒  all    1.50    0.00    2.00    0.25    0.25    0.50    0.00    0.00    0.00   95.51
14時33分08秒  all    0.25    0.00    1.01    0.50    0.00    0.00    0.00    0.00    0.00   98.24
14時33分09秒  all    1.01    0.00    0.25    0.25    0.25    0.25    0.00    0.00    0.00   97.98
14時33分10秒  all    1.00    0.00    0.75    0.25    0.50    0.25    0.00    0.00    0.00   97.26
14時33分11秒  all    1.01    0.00    0.75    0.25    0.25    0.00    0.00    0.00    0.00   97.74
14時33分12秒  all    0.76    0.00    0.00    0.76    0.25    0.00    0.00    0.00    0.00   98.24
14時33分13秒  all    0.75    0.00    1.00    0.00    0.00    0.50    0.00    0.00    0.00   97.76
14時33分14秒  all    0.76    0.00    0.51    0.25    0.00    0.25    0.00    0.00    0.00   98.23
14時33分15秒  all    0.75    0.00    0.50    0.50    0.50    0.00    0.00    0.00    0.00   97.75
14時33分16秒  all    1.25    0.00    0.75    0.00    0.50    0.25    0.00    0.00    0.00   97.24
14時33分17秒  all    0.76    0.00    0.50    0.50    0.00    0.00    0.00    0.00    0.00   98.24
14時33分18秒  all    1.00    0.00    0.75    0.50    0.00    0.00    0.00    0.00    0.00   97.75
14時33分19秒  all    0.75    0.00    0.50    0.25    0.25    0.25    0.00    0.00    0.00   97.99
14時33分20秒  all    0.75    0.00    1.00    0.25    0.75    0.50    0.00    0.00    0.00   96.77
14時33分21秒  all    1.25    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   97.74
14時33分22秒  all    1.00    0.00    1.00    0.50    0.00    0.00    0.00    0.00    0.00   97.49
14時33分23秒  all    0.50    0.00    0.75    0.75    0.50    0.00    0.00    0.00    0.00   97.51
14時33分24秒  all    0.75    0.00    1.01    0.00    0.25    0.00    0.00    0.00    0.00   97.99
14時33分25秒  all    0.76    0.00    0.25    0.50    0.25    0.50    0.00    0.00    0.00   97.73
14時33分26秒  all    1.00    0.00    0.75    0.25    0.00    0.50    0.00    0.00    0.00   97.50
14時33分27秒  all    2.51    0.00    2.26    0.50    0.50    0.00    0.00    0.00    0.00   94.22
14時33分28秒  all    1.00    0.00    0.75    0.25    0.00    0.00    0.00    0.00    0.00   98.00
14時33分29秒  all    0.25    0.00    0.76    0.25    0.51    0.00    0.00    0.00    0.00   98.23
14時33分30秒  all    1.00    0.00    0.50    0.25    0.00    0.25    0.00    0.00    0.00   97.99
14時33分31秒  all    1.00    0.00    0.50    0.50    0.50    0.25    0.00    0.00    0.00   97.26
14時33分32秒  all    0.75    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   97.99
14時33分33秒  all    0.75    0.00    0.75    0.50    0.00    0.25    0.00    0.00    0.00   97.75
14時33分34秒  all    0.75    0.00    0.50    0.25    0.50    0.00    0.00    0.00    0.00   97.99
14時33分35秒  all    1.75    0.00    1.50    0.25    0.25    0.25    0.00    0.00    0.00   96.00
14時33分36秒  all    0.75    0.00    0.75    0.50    0.25    0.25    0.00    0.00    0.00   97.50
14時33分37秒  all    0.76    0.00    0.00    0.25    0.00    0.25    0.00    0.00    0.00   98.73
14時33分38秒  all    1.00    0.00    1.00    0.50    0.25    0.00    0.00    0.00    0.00   97.24
14時33分39秒  all    0.99    0.00    0.99    0.25    0.74    0.25    0.00    0.00    0.00   96.77
14時33分40秒  all    0.76    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.49
14時33分41秒  all    1.25    0.00    1.00    0.75    0.00    0.00    0.00    0.00    0.00   97.01
14時33分42秒  all    0.00    0.00    0.51    0.00    0.25    0.25    0.00    0.00    0.00   98.98
14時33分43秒  all    1.00    0.00    0.75    0.50    0.25    0.25    0.00    0.00    0.00   97.26
14時33分44秒  all    1.00    0.00    0.75    0.25    0.50    0.00    0.00    0.00    0.00   97.50
14時33分45秒  all    0.25    0.00    0.51    0.25    0.00    0.25    0.00    0.00    0.00   98.73
