ts_ns,query_type,latency_ms
1783578786481700083,select,36.721
1783578786527140168,update,105.704
1783578786738101231,select,22.126
1783578786763665724,update,54.529
1783578786923776965,select,23.917
1783578786950498603,update,60.877
1783578787115937767,select,23.776
1783578787143172126,update,53.122
1783578787301994580,select,24.687
1783578787330243471,update,65.353
1783578787500377168,select,22.864
1783578787526224003,update,48.970
1783578787680348959,select,23.505
1783578787706985361,update,62.380
1783578787873638123,select,23.232
1783578787899940548,update,55.531
1783578788061092920,select,22.801
1783578788087119171,update,53.988
1783578788245999761,select,22.793
1783578788272819622,update,51.410
1783578788428528033,select,24.085
1783578788455720030,update,59.577
1783578788619940486,select,23.841
1783578788647042482,update,62.692
1783578788816309578,select,23.946
1783578788843250798,update,55.933
1783578789003471152,select,24.022
1783578789030712220,update,57.399
1783578789192916832,select,22.311
1783578789218494208,update,54.399
1783578789377957784,select,23.292
1783578789405037897,update,56.414
1783578789566774590,select,25.887
1783578789596186210,update,66.085
1783578789766992698,select,20.962
1783578789791743824,update,60.088
1783578789957017617,select,22.253
1783578789982361802,update,59.896
1783578790147617627,select,22.629
1783578790173546576,update,55.493
1783578790333508376,select,30.634
1783578790367603001,update,55.928
1783578790528474675,select,27.148
1783578790558743363,update,53.970
1783578790717321029,select,27.133
1783578790747931183,update,60.406
1783578790913150302,select,23.578
1783578790940175571,update,57.875
1783578791103013812,select,26.057
1783578791132955693,update,73.933
1783578791312022250,select,25.266
1783578791340617171,update,62.235
1783578791509229772,select,24.573
1783578791537796836,update,55.531
1783578791697645053,select,23.497
1783578791724955605,update,56.963
1783578791887741569,select,26.981
1783578791917729949,update,51.981
1783578792074680922,select,24.021
1783578792102817498,update,60.161
1783578792268416444,select,22.362
1783578792295158801,update,60.075
1783578792460536418,select,21.845
1783578792485598822,update,53.863
1783578792644029377,select,26.739
1783578792674079894,update,65.880
1783578792845497082,select,24.166
1783578792874015847,update,61.207
1783578793040800167,select,21.365
1783578793065096348,update,54.695
1783578793224102150,select,23.229
1783578793251054144,update,55.346
1783578793412073705,select,24.278
1783578793439387224,update,65.168
1783578793608940396,select,28.059
1783578793640094220,update,66.075
1783578793810767145,select,21.554
1783578793835245277,update,63.311
1783578794003254363,select,23.431
1783578794030785360,update,60.179
1783578794195576467,select,22.446
1783578794221933511,update,56.471
1783578794383326040,select,22.376
1783578794408818361,update,55.311
1783578794569120085,select,23.923
1783578794596410304,update,56.575
1783578794757965953,select,20.358
1783578794781460749,update,50.264
1783578794936446039,select,20.052
1783578794960296145,update,57.279
1783578795122424577,select,24.422
1783578795150177207,update,63.829
1783578795319318344,select,22.823
1783578795345937041,update,56.388
1783578795507506340,select,25.077
1783578795535887086,update,59.739
1783578795700613754,select,26.956
1783578795731217039,update,61.297
1783578795897406970,select,22.628
1783578795923478874,update,55.012
1783578796084045542,select,27.653
1783578796114664127,update,60.347
1783578796280535723,select,23.835
1783578796307824816,update,59.627
1783578796473335830,select,22.021
1783578796498698047,update,63.576
1783578796666863880,select,23.272
1783578796693086137,update,51.210
1783578796849448741,select,20.873
1783578796873527353,update,55.100
1783578797033234854,select,21.486
1783578797058011593,update,61.361
1783578797224765869,select,22.911
1783578797250911128,update,56.569
1783578797412344927,select,22.428
1783578797438141529,update,54.745
1783578797598637051,select,24.571
1783578797627031285,update,60.105
1783578797791873932,select,22.683
1783578797817570013,update,57.746
1783578797981453760,select,23.342
1783578798008078182,update,54.825
1783578798167059052,select,20.969
1783578798190891334,update,55.648
1783578798351036838,select,24.332
1783578798378758093,update,50.525
1783578798533655584,select,23.840
1783578798560819702,update,60.454
1783578798725902523,select,22.050
1783578798752259833,update,53.580
1783578798912337118,select,22.004
1783578798937625939,update,53.564
1783578799096481293,select,22.735
1783578799122868438,update,57.857
1783578799286468778,select,22.468
1783578799312971333,update,57.908
1783578799476763452,select,25.358
1783578799506009532,update,55.723
1783578799666237476,select,21.732
1783578799691940075,update,54.910
1783578799851957569,select,24.307
1783578799879462804,update,52.370
1783578800037113097,select,21.036
1783578800062965114,update,57.535
1783578800225966853,select,25.858
1783578800255494822,update,57.902
1783578800418505443,select,21.681
1783578800443865749,update,55.177
1783578800603999552,select,23.630
1783578800631146495,update,67.225
1783578800803165513,select,22.210
1783578800828462969,update,64.793
1783578800998795916,select,26.454
1783578801028310027,update,55.351
1783578801188398149,select,21.011
1783578801212317109,update,59.132
1783578801377881819,select,22.422
1783578801403743392,update,63.030
1783578801573179996,select,22.589
1783578801598863260,update,59.518
1783578801762851947,select,23.417
1783578801789492428,update,60.280
1783578801954612126,select,28.162
1783578801986458645,update,51.584
1783578802143099921,select,22.675
1783578802169551393,update,50.589
1783578802324670405,select,23.415
1783578802351839040,update,51.550
1783578802509358531,select,26.241
1783578802538608380,update,50.445
1783578802694486342,select,21.858
1783578802719291298,update,52.863
1783578802877506747,select,21.913
1783578802903073120,update,48.629
1783578803056576626,select,21.069
1783578803081957753,update,56.835
1783578803243792353,select,22.014
1783578803268847098,update,55.727
1783578803430078021,select,24.200
1783578803457893913,update,59.341
1783578803622331261,select,24.639
1783578803650010490,update,62.274
1783578803816528562,select,21.621
1783578803841769534,update,62.271
1783578804009170192,select,21.182
1783578804034248851,update,56.992
1783578804196599870,select,22.113
1783578804222025112,update,56.457
1783578804383446840,select,22.222
1783578804409619461,update,53.172
1783578804567425388,select,26.927
1783578804597526875,update,62.307
1783578804765157019,select,25.146
1783578804793780024,update,55.933
1783578804955208232,select,23.220
1783578804981946658,update,56.687
1783578805143947332,select,22.688
1783578805169890057,update,54.985
1783578805329550189,select,21.813
1783578805355321442,update,51.492
1783578805511287251,select,22.916
1783578805538455249,update,53.531
1783578805697359881,select,24.113
1783578805725586253,update,52.565
1783578805883423299,select,21.982
1783578805909104794,update,50.392
1783578806065636083,select,21.805
1783578806091396058,update,55.956
1783578806253112938,select,21.797
1783578806277955297,update,56.696
1783578806439289737,select,21.571
1783578806464187215,update,54.721
1783578806624154728,select,29.272
1783578806656897899,update,70.188
1783578806832053451,select,22.754
1783578806858463108,update,59.063
1783578807023469011,select,22.352
1783578807048692558,update,60.887
1783578807214463693,select,22.052
1783578807240092904,update,53.795
1783578807398552834,select,20.973
1783578807422911896,update,56.649
1783578807584479289,select,26.255
1783578807614194782,update,73.390
1783578807792377510,select,23.723
1783578807819218510,update,61.801
1783578807986743663,select,22.841
1783578808012782120,update,59.327
1783578808176625624,select,24.500
1783578808204789302,update,58.004
1783578808367669726,select,24.912
1783578808396829225,update,59.663
1783578808561322727,select,22.475
1783578808587507401,update,60.941
1783578808754424810,select,21.220
1783578808779265739,update,59.005
1783578808942750295,select,22.025
1783578808968061195,update,57.140
1783578809131308665,select,22.594
1783578809159186794,update,56.174
1783578809320344009,select,21.756
1783578809345414069,update,53.041
1783578809503843427,select,23.494
1783578809530258042,update,53.372
1783578809688264426,select,21.867
1783578809713368549,update,57.863
1783578809875699487,select,25.509
1783578809904650671,update,57.081
1783578810066457585,select,25.283
1783578810094931098,update,66.357
1783578810266225318,select,24.711
1783578810294645062,update,57.848
1783578810458381652,select,23.524
