2026/07/18 15:16:37 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.5, Count: 18, TPM: 113.9, Sum(ms): 9584.8, Avg(ms): 533.1, 50th(ms): 469.8, 90th(ms): 704.6, 95th(ms): 872.4, 99th(ms): 872.4, 99.9th(ms): 872.4, Max(ms): 872.4
[Current] NEW_ORDER - Takes(s): 9.7, Count: 268, TPM: 1650.7, Sum(ms): 84771.0, Avg(ms): 316.2, 50th(ms): 302.0, 90th(ms): 453.0, 95th(ms): 536.9, 99th(ms): 704.6, 99.9th(ms): 771.8, Max(ms): 771.8
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 23, TPM: 139.7, Sum(ms): 1732.5, Avg(ms): 75.7, 50th(ms): 83.9, 90th(ms): 83.9, 95th(ms): 88.1, 99th(ms): 88.1, 99.9th(ms): 88.1, Max(ms): 88.1
[Current] PAYMENT - Takes(s): 9.8, Count: 257, TPM: 1572.0, Sum(ms): 59452.8, Avg(ms): 231.5, 50th(ms): 201.3, 90th(ms): 402.7, 95th(ms): 469.8, 99th(ms): 570.4, 99.9th(ms): 604.0, Max(ms): 604.0
[Current] STOCK_LEVEL - Takes(s): 9.1, Count: 31, TPM: 203.9, Sum(ms): 1673.4, Avg(ms): 53.9, 50th(ms): 54.5, 90th(ms): 56.6, 95th(ms): 58.7, 99th(ms): 58.7, 99.9th(ms): 58.7, Max(ms): 58.7
[Current] DELIVERY - Takes(s): 9.4, Count: 22, TPM: 140.0, Sum(ms): 11870.3, Avg(ms): 538.0, 50th(ms): 469.8, 90th(ms): 805.3, 95th(ms): 838.9, 99th(ms): 1073.7, 99.9th(ms): 1073.7, Max(ms): 1073.7
[Current] NEW_ORDER - Takes(s): 10.0, Count: 243, TPM: 1463.9, Sum(ms): 80447.4, Avg(ms): 330.8, 50th(ms): 335.5, 90th(ms): 486.5, 95th(ms): 570.4, 99th(ms): 637.5, 99.9th(ms): 872.4, Max(ms): 872.4
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 21, TPM: 126.2, Sum(ms): 1531.4, Avg(ms): 73.0, 50th(ms): 67.1, 90th(ms): 83.9, 95th(ms): 83.9, 99th(ms): 92.3, 99.9th(ms): 92.3, Max(ms): 92.3
[Current] PAYMENT - Takes(s): 9.9, Count: 246, TPM: 1486.9, Sum(ms): 63685.9, Avg(ms): 258.5, 50th(ms): 226.5, 90th(ms): 436.2, 95th(ms): 536.9, 99th(ms): 704.6, 99.9th(ms): 704.6, Max(ms): 704.6
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 25, TPM: 153.5, Sum(ms): 1345.4, Avg(ms): 53.8, 50th(ms): 54.5, 90th(ms): 56.6, 95th(ms): 56.6, 99th(ms): 56.6, 99.9th(ms): 56.6, Max(ms): 56.6
[Current] DELIVERY - Takes(s): 9.9, Count: 22, TPM: 133.5, Sum(ms): 11640.7, Avg(ms): 528.9, 50th(ms): 469.8, 90th(ms): 805.3, 95th(ms): 805.3, 99th(ms): 1275.1, 99.9th(ms): 1275.1, Max(ms): 1275.1
