2026/07/18 12:52:05 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] ORDER_STATUS - Takes(s): 7.1, Count: 1229, TPM: 10414.5, Sum(ms): 75355.7, Avg(ms): 61.3, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 79.7, 99th(ms): 604.0, 99.9th(ms): 973.1, Max(ms): 973.1
[Current] STOCK_LEVEL - Takes(s): 7.3, Count: 1236, TPM: 10210.9, Sum(ms): 52230.2, Avg(ms): 42.3, 50th(ms): 31.5, 90th(ms): 37.7, 95th(ms): 54.5, 99th(ms): 771.8, 99.9th(ms): 838.9, Max(ms): 838.9
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1832, TPM: 10996.0, Sum(ms): 96975.9, Avg(ms): 52.9, 50th(ms): 60.8, 90th(ms): 65.0, 95th(ms): 67.1, 99th(ms): 100.7, 99.9th(ms): 113.2, Max(ms): 121.6
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1864, TPM: 11185.8, Sum(ms): 62024.7, Avg(ms): 33.3, 50th(ms): 31.5, 90th(ms): 37.7, 95th(ms): 52.4, 99th(ms): 71.3, 99.9th(ms): 83.9, Max(ms): 92.3
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1864, TPM: 11184.5, Sum(ms): 98613.8, Avg(ms): 52.9, 50th(ms): 60.8, 90th(ms): 65.0, 95th(ms): 71.3, 99th(ms): 100.7, 99.9th(ms): 113.2, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1834, TPM: 11006.3, Sum(ms): 60713.3, Avg(ms): 33.1, 50th(ms): 31.5, 90th(ms): 35.7, 95th(ms): 52.4, 99th(ms): 75.5, 99.9th(ms): 83.9, Max(ms): 96.5
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1826, TPM: 10978.3, Sum(ms): 96647.9, Avg(ms): 53.0, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 92.3, 99.9th(ms): 117.4, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1871, TPM: 11227.3, Sum(ms): 62458.5, Avg(ms): 33.4, 50th(ms): 31.5, 90th(ms): 35.7, 95th(ms): 52.4, 99th(ms): 75.5, 99.9th(ms): 83.9, Max(ms): 92.3
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1848, TPM: 11090.0, Sum(ms): 96236.0, Avg(ms): 52.1, 50th(ms): 60.8, 90th(ms): 65.0, 95th(ms): 67.1, 99th(ms): 88.1, 99.9th(ms): 117.4, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1896, TPM: 11376.5, Sum(ms): 62727.9, Avg(ms): 33.1, 50th(ms): 31.5, 90th(ms): 35.7, 95th(ms): 52.4, 99th(ms): 71.3, 99.9th(ms): 83.9, Max(ms): 83.9
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1843, TPM: 11061.3, Sum(ms): 98210.3, Avg(ms): 53.3, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 96.5, 99.9th(ms): 117.4, Max(ms): 117.4
