2026/07/27 21:36:29 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.2, Count: 33, TPM: 214.7, Sum(ms): 14533.4, Avg(ms): 439.8, 50th(ms): 369.1, 90th(ms): 671.1, 95th(ms): 738.2, 99th(ms): 838.9, 99.9th(ms): 838.9, Max(ms): 838.9
[Current] NEW_ORDER - Takes(s): 9.8, Count: 364, TPM: 2234.7, Sum(ms): 100930.6, Avg(ms): 276.8, 50th(ms): 268.4, 90th(ms): 402.7, 95th(ms): 503.3, 99th(ms): 704.6, 99.9th(ms): 906.0, Max(ms): 906.0
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 29, TPM: 175.9, Sum(ms): 1431.4, Avg(ms): 49.4, 50th(ms): 54.5, 90th(ms): 60.8, 95th(ms): 60.8, 99th(ms): 65.0, 99.9th(ms): 65.0, Max(ms): 65.0
[Current] PAYMENT - Takes(s): 9.9, Count: 382, TPM: 2313.7, Sum(ms): 39328.4, Avg(ms): 103.1, 50th(ms): 71.3, 90th(ms): 192.9, 95th(ms): 268.4, 99th(ms): 385.9, 99.9th(ms): 570.4, Max(ms): 570.4
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 29, TPM: 177.4, Sum(ms): 1100.0, Avg(ms): 38.2, 50th(ms): 26.2, 90th(ms): 50.3, 95th(ms): 92.3, 99th(ms): 234.9, 99.9th(ms): 234.9, Max(ms): 234.9
[Current] DELIVERY - Takes(s): 9.8, Count: 31, TPM: 190.5, Sum(ms): 13405.9, Avg(ms): 431.1, 50th(ms): 369.1, 90th(ms): 604.0, 95th(ms): 671.1, 99th(ms): 939.5, 99.9th(ms): 939.5, Max(ms): 939.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 338, TPM: 2031.3, Sum(ms): 100867.7, Avg(ms): 298.5, 50th(ms): 285.2, 90th(ms): 453.0, 95th(ms): 536.9, 99th(ms): 704.6, 99.9th(ms): 1610.6, Max(ms): 1610.6
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 33, TPM: 201.8, Sum(ms): 1678.2, Avg(ms): 50.6, 50th(ms): 54.5, 90th(ms): 58.7, 95th(ms): 58.7, 99th(ms): 62.9, 99.9th(ms): 62.9, Max(ms): 62.9
[Current] PAYMENT - Takes(s): 10.0, Count: 345, TPM: 2077.4, Sum(ms): 41442.7, Avg(ms): 120.1, 50th(ms): 88.1, 90th(ms): 234.9, 95th(ms): 302.0, 99th(ms): 419.4, 99.9th(ms): 536.9, Max(ms): 536.9
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 31, TPM: 192.3, Sum(ms): 1043.9, Avg(ms): 33.7, 50th(ms): 26.2, 90th(ms): 44.0, 95th(ms): 46.1, 99th(ms): 184.5, 99.9th(ms): 184.5, Max(ms): 184.5
[Current] DELIVERY - Takes(s): 9.6, Count: 26, TPM: 162.2, Sum(ms): 13887.9, Avg(ms): 531.7, 50th(ms): 385.9, 90th(ms): 872.4, 95th(ms): 1208.0, 99th(ms): 1275.1, 99.9th(ms): 1275.1, Max(ms): 1275.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 360, TPM: 2162.3, Sum(ms): 106689.5, Avg(ms): 296.0, 50th(ms): 285.2, 90th(ms): 419.4, 95th(ms): 570.4, 99th(ms): 838.9, 99.9th(ms): 1409.3, Max(ms): 1409.3
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 25, TPM: 151.1, Sum(ms): 1258.9, Avg(ms): 50.3, 50th(ms): 54.5, 90th(ms): 56.6, 95th(ms): 56.6, 99th(ms): 56.6, 99.9th(ms): 56.6, Max(ms): 56.6
[Current] PAYMENT - Takes(s): 10.0, Count: 336, TPM: 2019.1, Sum(ms): 37350.7, Avg(ms): 111.1, 50th(ms): 88.1, 90th(ms): 226.5, 95th(ms): 243.3, 99th(ms): 335.5, 99.9th(ms): 369.1, Max(ms): 369.1
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 31, TPM: 188.0, Sum(ms): 1042.1, Avg(ms): 33.5, 50th(ms): 27.3, 90th(ms): 50.3, 95th(ms): 67.1, 99th(ms): 71.3, 99.9th(ms): 71.3, Max(ms): 71.3
[Current] DELIVERY - Takes(s): 9.9, Count: 30, TPM: 181.6, Sum(ms): 13122.2, Avg(ms): 437.9, 50th(ms): 369.1, 90th(ms): 637.5, 95th(ms): 671.1, 99th(ms): 1006.6, 99.9th(ms): 1006.6, Max(ms): 1006.6
