Linux 4.18.0-553.144.1.el8_10.x86_64 (g-test-poc-2) 	07/27/26 	_x86_64_	(4 CPU)

13:36:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:36:05     all    2.99    0.00    1.74    0.50    1.24    0.25    0.50    0.00    0.00   92.79
13:36:06     all    1.78    0.00    1.02    1.27    0.51    0.00    0.00    0.00    0.00   95.43
13:36:07     all    3.02    0.00    1.51    1.26    0.50    0.50    0.25    0.00    0.00   92.95
13:36:08     all    1.76    0.00    0.76    0.50    0.50    0.25    0.00    0.00    0.00   96.22
13:36:09     all    3.03    0.00    1.52    2.02    0.25    0.00    0.00    0.00    0.00   93.18
13:36:10     all    2.28    0.00    1.01    1.27    0.76    0.25    0.00    0.00    0.00   94.43
13:36:11     all    1.76    0.00    1.26    0.25    0.25    0.25    0.50    0.00    0.00   95.72
13:36:12     all    2.01    0.00    1.00    0.50    0.75    0.00    0.00    0.00    0.00   95.74
13:36:13     all    1.52    0.00    1.26    0.00    0.25    0.25    0.25    0.00    0.00   96.46
13:36:14     all    2.76    0.00    1.75    0.50    1.00    0.75    0.25    0.00    0.00   92.98
13:36:15     all    1.52    0.00    1.27    0.25    0.51    0.00    0.00    0.00    0.00   96.46
13:36:16     all    2.26    0.00    1.26    0.75    0.50    0.25    0.00    0.00    0.00   94.97
13:36:17     all    3.51    0.00    1.50    1.25    0.50    0.25    0.00    0.00    0.00   92.98
13:36:18     all    2.03    0.00    0.25    0.25    0.51    0.00    0.00    0.00    0.00   96.96
13:36:19     all    3.53    0.00    1.51    2.52    0.50    0.50    0.00    0.00    0.00   91.44
13:36:20     all    8.27    0.00    4.26    3.01    1.00    0.25    0.25    0.00    0.00   82.96
13:36:21     all   27.51    0.00    6.43    3.34    1.54    0.26    0.51    0.00    0.00   60.41
13:36:22     all   16.62    0.00    3.58    6.91    1.02    0.51    0.26    0.00    0.00   71.10
13:36:23     all    9.60    0.00    3.28    3.79    0.76    0.25    0.00    0.00    0.00   82.32
13:36:24     all    2.76    0.00    1.76    0.00    1.01    0.00    0.00    0.00    0.00   94.47
13:36:25     all    1.77    0.00    1.27    0.51    0.00    0.25    0.00    0.00    0.00   96.20
13:36:26     all    4.07    0.00    1.53    1.78    1.02    0.51    0.51    0.00    0.00   90.59
13:36:27     all    6.85    0.00    2.28    2.79    1.02    0.76    0.25    0.00    0.00   86.04
13:36:28     all    5.66    0.00    1.80    2.31    0.77    0.51    0.26    0.00    0.00   88.69
13:36:29     all    7.67    0.00    2.30    3.58    1.28    1.02    0.00    0.00    0.00   84.14
13:36:30     all   10.23    0.00    3.58    4.09    1.28    1.28    0.26    0.00    0.00   79.28
13:36:31     all   21.03    0.00    5.90    7.69    1.79    2.05    0.51    0.00    0.00   61.03
13:36:32     all   17.45    0.00    4.69    7.55    1.82    1.56    0.00    0.00    0.00   66.93
13:36:33     all   16.58    0.00    4.15    6.74    1.30    1.55    0.26    0.00    0.00   69.43
13:36:34     all   18.32    0.00    4.33    6.36    1.78    1.78    0.51    0.00    0.00   66.92
13:36:35     all   21.43    0.00    5.36    8.67    2.04    2.04    0.51    0.00    0.00   59.95
13:36:36     all   21.30    0.00    5.71    7.53    1.04    1.56    0.26    0.00    0.00   62.60
13:36:37     all   18.97    0.00    5.13    7.44    1.79    1.79    0.26    0.00    0.00   64.62
13:36:38     all   18.67    0.00    5.63    7.16    1.79    1.79    0.26    0.00    0.00   64.71
13:36:39     all   20.77    0.00    5.13    9.23    1.54    2.05    0.51    0.00    0.00   60.77
13:36:40     all   18.23    0.00    4.95    7.55    2.08    1.82    0.26    0.00    0.00   65.10
13:36:41     all   18.11    0.00    4.08    6.63    1.02    1.28    0.51    0.00    0.00   68.37
13:36:42     all   16.92    0.00    4.87    6.92    1.54    1.79    0.26    0.00    0.00   67.69
13:36:43     all   18.56    0.00    4.64    7.22    1.55    1.80    0.26    0.00    0.00   65.98
13:36:44     all   18.86    0.00    4.13    6.98    1.55    1.81    0.26    0.00    0.00   66.41
13:36:45     all   18.30    0.00    5.15    7.22    1.80    1.80    0.26    0.00    0.00   65.46
13:36:46     all   15.38    0.00    4.36    6.15    1.03    1.28    0.26    0.00    0.00   71.54
13:36:47     all   18.62    0.00    4.34    7.14    2.04    1.53    0.00    0.00    0.00   66.33
13:36:48     all   16.80    0.00    4.13    6.20    1.03    1.29    0.52    0.00    0.00   70.03
13:36:49     all   19.18    0.00    4.09    7.93    1.79    1.79    0.00    0.00    0.00   65.22
13:36:50     all   20.20    0.00    4.60    8.18    1.79    1.79    0.77    0.00    0.00   62.66
13:36:51     all   17.10    0.00    4.92    6.22    1.55    1.30    0.26    0.00    0.00   68.65
13:36:52     all   20.57    0.00    4.88    7.71    1.29    1.80    0.26    0.00    0.00   63.50
13:36:53     all   25.70    0.00    5.60    8.40    2.04    2.04    0.51    0.00    0.00   55.73
13:36:54     all   38.92    0.00    7.22    9.79    2.06    1.29    0.00    0.00    0.00   40.72
13:36:55     all   22.88    0.00    5.91    8.48    1.54    1.80    0.26    0.00    0.00   59.13
13:36:56     all   19.11    0.00    3.93    7.59    1.83    1.83    0.26    0.00    0.00   65.45
13:36:57     all   19.85    0.00    4.38    7.47    1.80    2.06    0.52    0.00    0.00   63.92
13:36:58     all   19.02    0.00    4.88    7.46    1.03    1.29    0.00    0.00    0.00   66.32
13:36:59     all   20.56    0.00    5.33    8.12    2.03    1.78    0.51    0.00    0.00   61.68
13:37:00     all   18.56    0.00    4.64    7.47    1.80    2.06    0.26    0.00    0.00   65.21
