procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 9778744   3132 4514112    0    0     7   296    2  231  3  2 95  1  0
 0  0      0 9781508   3132 4514144    0    0     0   168 4493 7015  3  3 93  1  0
 0  0      0 9782084   3132 4514144    0    0     0   984 4028 6613  2  2 95  1  0
 0  0      0 9782276   3132 4514144    0    0     0  2288 4433 7111  3  2 93  2  0
 0  0      0 9782916   3132 4514144    0    0     0    52 3778 6188  2  2 96  0  0
 0  0      0 9779236   3132 4514144    0    0     0  3912 4435 7137  3  2 93  2  0
 1  0      0 9780196   3132 4514144    0    0     0  2544 4492 7400  3  2 94  1  0
 0  0      0 9780420   3132 4514144    0    0     0    68 4211 6961  2  2 95  1  0
 1  0      0 9780836   3132 4514144    0    0     0    64 3897 6461  2  2 96  0  0
 0  0      0 9780996   3132 4514144    0    0     0    36 3766 6339  2  2 96  0  0
 0  0      0 9781476   3132 4514144    0    0     0    68 3824 6188  3  3 94  0  0
 0  0      0 9781636   3132 4514144    0    0     0    64 3661 6149  2  2 96  1  0
 0  0      0 9782308   3132 4514144    0    0     0   972 4299 7074  2  2 95  1  0
 2  0      0 9782788   3132 4514148    0    0     0  2296 4715 7614  4  2 93  1  0
 3  0      0 9780036   3132 4514148    0    0     0    44 3653 6206  2  2 96  0  0
 0  0      0 9780548   3132 4514148    0    0     0  4022 4779 7569  4  2 92  3  0
 2  0      0 9776308   3132 4517472    0    0     0  5838 6932 10366  9  5 84  3  0
 2  0      0 9762392   3132 4531868    0    0     0 14237 15578 26905 27  9 60  3  0
 2  0      0 9748160   3132 4547432    0    0     0 34440 9516 15670 17  5 71  7  0
 1  0      0 9774676   3132 4516048    0    0     0 16004 7177 11298  9  4 82  4  0
 0  0      0 9780372   3132 4516048    0    0     0   104 4202 6757  3  3 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 9785032   3132 4516048    0    0     0    76 4130 6895  2  2 95  1  0
 1  0      0 9792836   3132 4516048    0    0     0  1212 7266 10746  4  3 92  2  0
 0  0      0 9798640   3132 4516048    0    0     0  2660 9998 14712  7  4 86  3  0
 0  0      0 9797840   3132 4516048    0    0     0   520 8936 12842  6  3 88  2  0
 2  0      0 9800528   3132 4516048    0    0     0  4360 11170 16177  8  5 83  4  0
 0  0      0 9794588   3132 4516048    0    0     0  3636 12548 16357 10  6 80  4  0
 0  0      0 9798180   3132 4516048    0    0     0  3180 20532 24079 21 10 61  8  0
 0  0      0 9797352   3132 4516048    0    0     0  2812 19349 24614 18  8 67  7  0
 1  0      0 9792400   3132 4516048    0    0     0  2588 16974 21613 16  8 69  7  0
 3  0      0 9797424   3132 4516048    0    0     0  2596 17128 20778 19  8 67  6  1
 1  0      0 9795156   3132 4516048    0    0     0  3124 19413 22411 21  9 60  9  1
 4  0      0 9794148   3132 4516048    0    0     0  3920 19655 23965 21  9 61  8  0
 0  1      0 9793636   3132 4516048    0    0     0  5040 17872 21931 19  8 65  7  0
 2  1      0 9793252   3132 4516048    0    0     0  2924 17891 21216 19  9 65  7  0
 0  1      0 9796260   3132 4516048    0    0     0  6548 18955 22830 21  9 61  9  1
 1  0      0 9795780   3132 4516048    0    0     0  5368 17341 20942 18  8 65  8  0
 3  0      0 9797988   3132 4516048    0    0     0  2616 16322 19732 18  7 68  7  0
 3  1      0 9796932   3132 4516048    0    0     0  2580 16993 20785 17  8 67  7  0
 3  1      0 9793380   3132 4516048    0    0     0  2968 18192 22043 18  8 66  8  0
 3  0      0 9795972   3132 4516048    0    0     0  2704 17125 20463 19  8 66  7  0
 0  0      0 9795364   3132 4516048    0    0     0  2912 19011 23836 19  8 66  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 9796836   3132 4516048    0    0     0  3176 14761 18535 15  7 72  6  0
 1  0      0 9795492   3132 4516048    0    0     0  4828 17376 21733 19  8 66  7  0
 0  1      0 9796932   3132 4516048    0    0     0  2644 15711 19300 17  7 70  6  0
 0  0      0 9796264   3132 4516048    0    0     0  6519 17587 21943 19  7 65  8  0
 4  0      0 9796008   3132 4516048    0    0     0  5360 18137 21707 20  8 63  8  1
 0  1      0 9794384   3132 4516048    0    0     0  2712 17696 22379 17  8 68  6  0
 4  0      0 9793972   3132 4516048    0    0     0  2924 17936 21215 20  8 64  8  0
 2  0      0 9786572   3132 4523176    0    0     0  9561 19235 24346 26  9 56  8  1
 0  1      0 9773448   3132 4530200    0    0     0 19760 20011 25621 39 10 41 10  0
 2  0      0 9776372   3132 4517876    0    0     0  4707 21156 25919 22 10 59  8  0
 4  0      0 9779636   3132 4517884    0    0     0  3688 19457 24220 19  8 65  8  0
 0  0      0 9780056   3132 4517888    0    0     0  4920 18545 22781 20  8 64  8  0
 5  0      0 9779600   3132 4517888    0    0     0  2880 16968 20547 18  8 66  7  0
 4  0      0 9779728   3132 4517888    0    0     0  6504 18240 21968 21  8 62  8  0
 0  1      0 9778928   3132 4517888    0    0     0  5192 19117 24582 19  8 65  8  0
 0  1      0 9778096   3132 4517888    0    0     0  2856 18156 22387 19  9 65  7  1
 2  1      0 9777360   3132 4517888    0    0     0  2728 18142 22428 19  8 66  7  0
 0  0      0 9777328   3132 4517888    0    0     0  3048 19717 24394 22  9 62  7  0
 0  0      0 9779856   3132 4517888    0    0     0  2848 17804 21457 20  9 63  8  1
 2  0      0 9775904   3132 4517924    0    0     0  2716 17617 21080 20 10 62  8  1
 1  0      0 9778528   3132 4517924    0    0     0  3800 16805 19061 22  9 60  9  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 9780096   3132 4517924    0    0     0  4528 16357 20115 21  9 61  8  2
 6  1      0 9781408   3132 4517924    0    0     0  3016 19809 24178 23  9 60  7  0
