procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   3328 641320   1080 6691456    0    0     0     1    0    0  0  0 100  0  0
 3  0   3328 511228   1080 6691628    0    0     0    43 13059 13367 34 21 45  0  0
 2  0   3328 371468   1080 6691628    0    0     0     0 12223 14406 33 22 45  0  0
 3  0   3328 407448   1080 6691628    0    0     0     0 12858 14081 30 22 48  0  0
 1  0   3328 608488   1080 6691636    0    0     0     0 11776 12168 30 15 55  0  0
 5  0   3328 579856   1080 6691636    0    0     0     0 12953 14651 31 22 46  0  0
 2  0   3328 593904   1080 6691636    0    0     0     0 12783 13748 30 23 47  0  0
 3  0   3328 557232   1080 6691632    0    0     0     4 10382 11429 30 15 55  0  0
 4  0   3328 565960   1080 6691636    0    0     0     0 12662 13962 30 23 47  0  0
 3  0   3328 467928   1080 6691636    0    0     0     0 13334 15361 32 23 45  0  0
 5  0   3328 434724   1080 6691632    0    0     0     0 10876 11624 27 16 57  0  0
 1  0   3328 607692   1080 6691660    0    0     0     0 12991 13734 31 23 45  0  0
 4  0   3328 475560   1080 6691660    0    0     0    48 12300 13339 30 23 47  0  0
 1  0   3328 608604   1080 6691656    0    0     0     0 9935 9804 26  9 64  0  0
 3  0   3328 531992   1080 6691680    0    0     0     0 12425 14920 31 23 46  0  0
 2  0   3328 516440   1080 6691696    0    0     0    27 13310 14519 30 23 47  0  0
 2  0   3328 408968   1080 6691696    0    0     0     0 13056 13418 31 19 50  0  0
 2  0   3328 385636   1080 6691700    0    0     0   264 10270 9875 30 13 57  0  0
 1  0   3328 632536   1080 6691700    0    0     0     0 12084 14047 30 23 48  0  0
 4  0   3328 564812   1080 6691700    0    0     0     0 13541 14894 32 23 45  0  0
 7  0   3328 521532   1080 6691696    0    0     0     0 10492 10515 27  9 64  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0   3328 389896   1080 6691724    0    0     0     0 11617 12622 31 20 49  0  0
 5  0   3328 459104   1080 6691724    0    0     0   316 12101 13504 30 23 48  0  0
 2  0   3328 631252   1080 6691724    0    0     0     0 13145 13863 32 23 45  0  0
 4  0   3328 597436   1080 6691720    0    0     0     0 9431 9362 26 10 65  0  0
