Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-2) 	西元2026年07月27日 	_x86_64_	(4 CPU)

14時27分02秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14時27分03秒  all    5.76    0.00    1.25    0.00    0.50    0.75    0.00    0.00    0.00   91.73
14時27分04秒  all    5.26    0.00    1.00    0.00    0.50    0.25    0.00    0.00    0.00   92.98
14時27分05秒  all    5.56    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   93.94
14時27分06秒  all    4.79    0.00    1.01    0.00    0.25    0.25    0.00    0.00    0.00   93.70
14時27分07秒  all    5.51    0.00    1.25    0.00    0.50    0.50    0.00    0.00    0.00   92.23
14時27分08秒  all    4.33    0.00    0.25    0.25    0.25    0.51    0.00    0.00    0.00   94.40
14時27分09秒  all    7.04    0.00    1.01    0.00    0.25    0.00    0.00    0.00    0.00   91.71
14時27分10秒  all    5.25    0.00    1.00    0.00    0.75    0.75    0.00    0.00    0.00   92.25
14時27分11秒  all    5.30    0.00    1.01    0.25    0.00    0.25    0.00    0.00    0.00   93.18
14時27分12秒  all    5.29    0.00    0.76    0.00    0.50    0.25    0.00    0.00    0.00   93.20
14時27分13秒  all    5.96    0.00    0.99    0.00    0.50    0.50    0.00    0.00    0.00   92.06
14時27分14秒  all    4.82    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   94.42
14時27分15秒  all    4.55    0.00    1.01    0.00    0.51    0.25    0.00    0.00    0.00   93.69
14時27分16秒  all    6.53    0.00    1.01    0.00    0.50    0.50    0.00    0.00    0.00   91.46
14時27分17秒  all    5.76    0.00    0.50    0.25    0.50    0.50    0.00    0.00    0.00   92.48
14時27分18秒  all    4.81    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   93.92
14時27分19秒  all    6.30    0.00    2.27    0.00    0.50    0.50    0.00    0.00    0.00   90.43
14時27分20秒  all    5.51    0.00    1.25    0.00    0.50    0.25    0.00    0.00    0.00   92.48
14時27分21秒  all    4.80    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   94.19
14時27分22秒  all    4.52    0.00    1.01    0.00    0.75    0.25    0.00    0.00    0.00   93.47
14時27分23秒  all    5.06    0.00    0.51    0.00    0.25    0.00    0.00    0.00    0.00   94.18
14時27分24秒  all    5.01    0.00    1.00    0.00    0.25    0.50    0.00    0.00    0.00   93.23
14時27分25秒  all    4.79    0.00    1.01    0.00    0.50    0.25    0.00    0.00    0.00   93.45
14時27分26秒  all    5.04    0.00    1.01    0.00    0.25    0.25    0.00    0.00    0.00   93.45
14時27分27秒  all    6.03    0.00    1.01    0.00    0.25    0.75    0.00    0.00    0.00   91.96
14時27分28秒  all    4.76    0.00    1.25    0.00    0.50    0.25    0.00    0.00    0.00   93.23
14時27分29秒  all    5.78    0.00    1.01    0.00    0.25    0.00    0.00    0.00    0.00   92.96
14時27分30秒  all    5.04    0.00    0.76    0.00    0.25    0.25    0.00    0.00    0.00   93.70
14時27分31秒  all    6.28    0.00    1.01    0.00    0.25    0.50    0.00    0.00    0.00   91.96
14時27分32秒  all    5.01    0.00    0.75    0.00    0.75    0.25    0.00    0.00    0.00   93.23
14時27分33秒  all    5.51    0.00    1.00    0.00    0.25    0.50    0.00    0.00    0.00   92.73
14時27分34秒  all    6.08    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   92.91
14時27分35秒  all    5.01    0.00    1.50    0.00    0.75    0.50    0.00    0.00    0.00   92.23
14時27分36秒  all    5.08    0.00    0.51    0.00    0.25    0.25    0.00    0.00    0.00   93.91
14時27分37秒  all    6.23    0.00    1.25    0.00    0.25    0.50    0.00    0.00    0.00   91.77
14時27分38秒  all    5.30    0.00    0.76    0.00    0.76    0.25    0.00    0.00    0.00   92.93
14時27分39秒  all    5.28    0.00    1.51    0.00    0.00    0.25    0.00    0.00    0.00   92.96
14時27分40秒  all    5.05    0.00    0.76    0.00    0.25    0.25    0.00    0.00    0.00   93.69
14時27分41秒  all    6.05    0.00    1.01    0.00    0.76    0.25    0.00    0.00    0.00   91.94
14時27分42秒  all    4.80    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   93.43
14時27分43秒  all    5.29    0.00    0.50    0.00    1.01    0.00    0.00    0.00    0.00   93.20
14時27分44秒  all    4.81    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   93.92
14時27分45秒  all    6.28    0.00    0.50    0.00    0.25    0.50    0.00    0.00    0.00   92.46
14時27分46秒  all    5.28    0.00    0.75    0.00    0.50    0.00    0.00    0.00    0.00   93.47
14時27分47秒  all    5.30    0.00    1.01    0.00    0.25    0.51    0.00    0.00    0.00   92.93
14時27分48秒  all    5.24    0.00    1.25    0.00    0.50    0.50    0.00    0.00    0.00   92.52
14時27分49秒  all    5.28    0.00    0.75    0.00    0.25    0.25    0.00    0.00    0.00   93.47
14時27分50秒  all    4.77    0.00    1.01    0.00    0.25    0.00    0.00    0.00    0.00   93.97
14時27分51秒  all    5.78    0.00    0.75    0.00    0.75    0.50    0.00    0.00    0.00   92.21
14時27分52秒  all    5.79    0.00    1.01    0.00    0.25    0.50    0.00    0.00    0.00   92.44
14時27分53秒  all    4.79    0.00    1.01    0.00    0.25    0.00    0.00    0.00    0.00   93.95
14時27分54秒  all    4.27    0.00    0.75    0.00    0.50    0.50    0.00    0.00    0.00   93.97
14時27分55秒  all    5.05    0.00    0.76    0.00    0.25    0.00    0.00    0.00    0.00   93.94
14時27分56秒  all    5.79    0.00    1.01    0.00    0.25    0.50    0.00    0.00    0.00   92.44
14時27分57秒  all    5.26    0.00    1.00    0.00    0.50    0.25    0.00    0.00    0.00   92.98
14時27分58秒  all    5.26    0.00    1.00    0.25    0.50    0.50    0.00    0.00    0.00   92.48
14時27分59秒  all    5.58    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   93.15
14時28分00秒  all    5.30    0.00    0.51    0.00    0.76    0.00    0.00    0.00    0.00   93.43
14時28分01秒  all    6.03    0.00    1.01    0.00    0.25    0.25    0.00    0.00    0.00   92.46
14時28分02秒  all    5.03    0.00    1.01    0.00    0.25    0.50    0.00    0.00    0.00   93.22
14時28分03秒  all    6.84    0.00    1.27    0.00    0.51    0.51    0.00    0.00    0.00   90.89
14時28分04秒  all    5.01    0.00    1.25    0.00    0.25    0.00    0.00    0.00    0.00   93.48
14時28分05秒  all    4.57    0.00    0.51    0.00    0.25    0.25    0.00    0.00    0.00   94.42
14時28分06秒  all    6.28    0.00    0.50    0.00    0.50    0.50    0.00    0.00    0.00   92.21
14時28分07秒  all    5.82    0.00    1.27    0.00    0.25    0.51    0.00    0.00    0.00   92.15
平均時間：  all    5.38    0.00    0.94    0.02    0.36    0.33    0.00    0.00    0.00   92.98
