procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 10452576   3132 3516880    0    0    21   265  690    5  3  2 95  0  0
 0  0      0 10454868   3132 3516916    0    0     0    33 3059 4088  2  2 96  0  0
 0  0      0 10455188   3132 3516916    0    0     0     0 2123 3094  1  2 98  0  0
 0  0      0 10455412   3132 3516916    0    0     0     0 2297 3454  1  1 97  0  0
 0  0      0 10455604   3132 3516916    0    0     0     0 2447 3513  1  2 97  0  0
 2  0      0 10456180   3132 3516916    0    0     0    24 3573 4916  1  2 97  0  0
 0  0      0 10456436   3132 3516916    0    0     0    24 2340 3428  1  1 97  0  0
 0  0      0 10456756   3132 3516916    0    0     0     0 2184 3247  1  1 98  0  0
 0  0      0 10456948   3132 3516916    0    0     0     0 2446 3785  1  1 98  0  0
 1  0      0 10454228   3132 3516920    0    0     0    85 3208 4655  1  2 97  1  0
 0  0      0 10454484   3132 3516920    0    0     0    20 2375 3610  1  1 98  0  0
 0  0      0 10454740   3132 3516920    0    0     0    24 2134 3220  1  1 98  0  0
 0  0      0 10454996   3132 3516920    0    0     0     0 2110 3148  1  1 98  0  0
 0  0      0 10455284   3132 3516920    0    0     0     0 2574 3636  1  1 98  0  0
 0  0      0 10455572   3132 3516920    0    0     0     0 2377 3434  1  1 98  0  0
 0  0      0 10455988   3132 3516920    0    0     0     0 2710 3883  1  1 98  0  0
 0  0      0 10456244   3132 3516920    0    0     0    24 2138 3204  1  1 97  0  0
 0  0      0 10450324   3132 3516920    0    0     0    28 2881 4095  1  1 97  0  0
 0  0      0 10450612   3132 3516920    0    0     0     0 2171 3204  1  1 98  0  0
 1  0      0 10450836   3132 3516920    0    0     0   220 2326 3553  1  2 97  0  0
 0  0      0 10451092   3132 3516920    0    0     0     0 2165 3266  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 10451412   3132 3516920    0    0     0    48 2689 3884  1  1 98  0  0
 1  0      0 10451604   3132 3516920    0    0     0     0 2102 3116  1  1 98  0  0
 0  0      0 10451892   3132 3516920    0    0     0     0 2222 3299  1  1 98  0  0
 0  0      0 10452052   3132 3516920    0    0     0     0 2062 3080  1  1 98  0  0
 1  0      0 10449460   3132 3516920    0    0     0    24 3376 4730  2  2 97  0  0
 0  0      0 10449716   3132 3516920    0    0     0    24 2133 3205  1  1 98  0  0
 0  0      0 10449940   3132 3516920    0    0     0     0 2175 3283  1  1 98  0  0
 0  0      0 10450480   3132 3516920    0    0     0     0 2304 3466  1  1 97  0  0
 0  0      0 10450704   3132 3516920    0    0     0     0 2564 3757  1  1 98  0  0
 0  0      0 10450992   3132 3516920    0    0     0     0 2289 3360  1  1 98  0  0
