procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 11279788   1068 926156    0    0    49   114  592  474  4  2 94  0  0
 2  0      0 11280052   1068 926756    0    0   420    24 4945 7269  2  2 97  0  0
 0  0      0 11279924   1068 926756    0    0     0     0 5194 7663  2  1 97  0  0
 0  0      0 11279892   1068 926756    0    0     0     0 4923 7431  2  1 97  0  0
 1  0      0 11276600   1068 928652    0    0  1908    41 6277 8864  3  3 94  0  0
 0  0      0 11276536   1068 928652    0    0     0   265 6024 8717  2  2 97  0  0
 0  0      0 11276312   1068 928652    0    0     0    24 5473 7989  2  2 97  0  0
 0  0      0 11276280   1068 928652    0    0     0     0 5237 7698  2  1 97  0  0
 0  0      0 11276152   1068 928652    0    0     0     0 5026 7654  2  1 97  0  0
 1  0      0 11276088   1068 928656    0    0     0    69 5373 7857  2  1 97  0  0
 0  0      0 11276024   1068 928656    0    0     0    32 5641 8206  2  2 97  0  0
 0  0      0 11275928   1068 928656    0    0     0    24 5086 7647  2  1 97  0  0
 0  0      0 11275864   1068 928656    0    0     0     0 4898 7183  2  1 97  0  0
 0  0      0 11276052   1068 928656    0    0     0     0 4969 7378  2  2 97  0  0
 1  0      0 11275924   1068 928656    0    0     0    22 6122 8852  2  1 97  0  0
 0  0      0 11275892   1068 928660    0    0     0    20 5870 8528  2  2 97  0  0
 0  0      0 11275764   1068 928660    0    0     0    24 5098 7575  2  1 97  0  0
 0  0      0 11275408   1068 928664    0    0     0    24 5395 7519  2  2 96  0  0
 0  0      0 11275400   1068 928668    0    0     0    69 5370 8052  2  1 97  0  0
 0  0      0 11275304   1068 928668    0    0     0    24 5274 7843  2  1 97  0  0
 1  0      0 11275272   1068 928668    0    0     0     0 5238 7962  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 11275112   1068 928668    0    0     0    48 4935 7588  2  1 97  0  0
 1  0      0 11275016   1068 928668    0    0     0     0 5571 8187  2  1 97  0  0
 1  0      0 11274952   1068 928668    0    0     0     0 5108 7688  2  1 97  0  0
 0  0      0 11274984   1068 928668    0    0     0     0 4943 7481  2  1 97  0  0
 1  0      0 11274888   1068 928668    0    0     0    24 6039 8631  2  2 97  0  0
 0  0      0 11274920   1068 928668    0    0     0    24 5470 7849  2  1 97  0  0
 0  0      0 11274792   1068 928668    0    0     0     0 5114 7535  2  1 97  0  0
 0  0      0 11274760   1068 928668    0    0     0     0 4877 7109  2  1 97  0  0
 0  0      0 11274728   1068 928668    0    0     0     0 5149 7969  2  1 97  0  0
 0  0      0 11274728   1068 928668    0    0     0    28 5022 7300  2  1 97  0  0
