procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   3328 635464   1080 6679972    0    0     0     1    0    0  0  0 100  0  0
 2  0   3328 601988   1080 6679744    0    0     0    56 9567 9500 18 19 63  0  0
 2  0   3328 602104   1080 6679744    0    0     0   196 9054 9676 11 23 67  0  0
 2  0   3328 601900   1080 6679744    0    0     0     0 9014 9686 11 22 66  0  0
 1  0   3328 601688   1080 6679764    0    0     0    36 6796 7029  8 14 77  0  0
 2  0   3328 601852   1080 6679764    0    0     0     0 9142 9953 10 23 67  0  0
 2  0   3328 602104   1080 6679764    0    0     0     0 9325 10216 10 24 66  0  0
 1  0   3328 600980   1080 6679764    0    0     0     0 9073 9770 11 23 66  0  0
 3  0   3328 600996   1080 6679764    0    0     0     0 8863 9427 10 23 67  0  0
 1  0   3328 602168   1080 6679768    0    0     0     0 9107 9941 11 23 66  0  0
 1  0   3328 602048   1080 6679768    0    0     0     0 9155 9883 10 23 67  0  0
 3  0   3328 601924   1080 6679768    0    0     0     0 9108 9919 10 22 67  0  0
 1  0   3328 602100   1080 6679784    0    0     0     0 8655 9048 10 23 66  0  0
 2  0   3328 602084   1080 6679792    0    0     0     0 8767 9194 11 22 67  0  0
 2  0   3328 601936   1080 6679812    0    0     0     0 9064 9935 11 22 67  0  0
 2  0   3328 602132   1080 6679824    0    0     0     0 9222 10041 10 23 66  0  0
 1  0   3328 601960   1080 6679828    0    0     0     0 9201 10109 11 23 67  0  0
 0  0   3328 601344   1080 6679812    0    0     0     0 7286 7362  9 16 75  0  0
 2  0   3328 626268   1080 6679832    0    0     0   268 8524 9122 16 22 62  0  0
 2  0   3328 626524   1080 6679832    0    0     0     0 9127 9924 11 23 67  0  0
 2  0   3328 626268   1080 6679832    0    0     0     0 9241 10191 11 22 67  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   3328 626724   1080 6679832    0    0     0     0 9221 10249 11 23 66  0  0
 2  0   3328 626616   1080 6679832    0    0     0     0 8884 9392 10 23 67  0  0
 3  0   3328 627032   1080 6679832    0    0     0     0 8806 9282 11 23 67  0  0
 3  0   3328 626432   1080 6679844    0    0     0     0 9056 9808 11 23 66  0  0
 1  0   3328 626744   1080 6679848    0    0     0     0 9102 9859 11 23 66  0  0
 2  0   3328 626760   1080 6679860    0    0     0     0 9301 10222 11 23 67  0  0
 1  0   3328 626864   1080 6679876    0    0     0     0 8972 9621 11 22 67  0  0
 1  0   3328 626664   1080 6679888    0    0     0     0 8773 9219 11 22 67  0  0
 1  0   3328 626596   1080 6679892    0    0     0   224 9160 9937 11 22 67  0  0
 1  0   3328 626852   1080 6679892    0    0     0     0 8972 9601 11 22 67  0  0
 1  0   3328 626784   1080 6679892    0    0     0     0 9167 9996 11 22 67  0  0
 1  0   3328 626832   1080 6679896    0    0     0     0 8905 9516 11 22 67  0  0
 1  0   3328 626652   1080 6679888    0    0     0   212 6513 6382  8 15 78  0  0
 1  0   3328 626872   1080 6679888    0    0     0     0 9220 10181 11 22 67  0  0
 1  0   3328 626816   1080 6679888    0    0     0     0 9434 10528 11 22 67  0  0
 1  0   3328 626632   1080 6679888    0    0     0     0 9312 10330 11 22 67  0  0
 1  0   3328 626880   1080 6679900    0    0     0     0 9219 9948 11 23 66  0  0
 1  0   3328 626872   1080 6679900    0    0     0    56 8974 9486 11 23 67  0  0
 1  0   3328 626240   1080 6679908    0    0     0     0 8960 9513 11 22 66  0  0
 1  0   3328 626456   1080 6679948    0    0     0     0 9334 10315 11 21 67  0  0
 0  0   3328 625996   1080 6679948    0    0     0     0 8529 9321 11 20 70  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   3328 626900   1080 6679976    0    0     0     0 4420 3966  4  9 87  0  0
 1  0   3328 626932   1080 6679996    0    0     0     0 9027 9674 10 23 67  0  0
 1  0   3328 626984   1080 6680008    0    0     0     0 9491 10693 10 23 67  0  0
 3  0   3328 627008   1080 6680008    0    0     0     0 9357 10539 11 22 67  0  0
 2  0   3328 627228   1080 6680008    0    0     0     0 9236 10160 11 22 67  0  0
 1  0   3328 627072   1080 6680012    0    0     0     0 8930 9533 10 23 67  0  0
 1  0   3328 627352   1080 6680016    0    0     0    36 9008 9713 10 23 67  0  0
 1  0   3328 627248   1080 6680024    0    0     0     0 9176 9996 11 22 67  0  0
 1  0   3328 626788   1080 6680024    0    0     0     0 9150 9936 11 23 67  0  0
 2  0   3328 627004   1080 6680024    0    0     0     0 9102 9915 11 22 67  0  0
 1  0   3328 626796   1080 6680036    0    0     0     0 8753 9052 11 22 67  0  0
 1  0   3328 627056   1080 6680052    0    0     0     0 8801 9258 11 23 66  0  0
 1  0   3328 626888   1080 6680052    0    0     0     0 9064 9850 11 22 67  0  0
 0  0   3328 626116   1080 6680052    0    0     0     0 5720 5550  7 11 82  0  0
 1  0   3328 626732   1080 6680064    0    0     0     0 6743 6937  8 15 77  0  0
 1  0   3328 626912   1080 6680064    0    0     0     0 9010 9705 10 23 67  0  0
 2  0   3328 626928   1080 6680064    0    0     0     0 8905 9489 10 23 67  0  0
 1  0   3328 626804   1080 6680064    0    0     0   148 8954 9618 10 23 67  0  0
 1  0   3328 604868   1080 6680076    0    0     0    32 8882 9471 13 23 64  0  0
 1  0   3328 605428   1080 6680080    0    0     0     0 8719 9126 11 21 68  0  0
 1  0   3328 605384   1080 6680088    0    0     0     0 7804 7752  9 21 70  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   3328 605252   1080 6680088    0    0     0     0 7962 7973  9 21 71  0  0
 1  0   3328 605608   1080 6680092    0    0     0   188 8270 8638  9 20 71  0  0
