Linux 4.18.0-553.144.1.el8_10.x86_64 (g-test-poc-2) 	07/27/26 	_x86_64_	(4 CPU)

07:46:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:46:23     all    1.52    0.00    0.76    0.25    0.25    0.00    0.00    0.00    0.00   97.22
07:46:24     all    0.75    0.00    1.01    0.00    0.25    0.25    0.00    0.00    0.00   97.74
07:46:25     all    0.75    0.00    0.50    0.50    0.50    0.00    0.00    0.00    0.00   97.74
07:46:26     all    0.50    0.00    1.00    0.75    0.50    0.00    0.25    0.00    0.00   97.00
07:46:27     all    0.50    0.00    0.50    0.25    0.00    0.76    0.00    0.00    0.00   97.98
07:46:28     all    1.26    0.00    0.75    0.00    0.50    0.25    0.00    0.00    0.00   97.24
07:46:29     all    1.01    0.00    0.50    0.25    0.50    0.00    0.00    0.00    0.00   97.74
07:46:30     all    1.00    0.00    1.00    0.25    0.00    0.00    0.25    0.00    0.00   97.50
07:46:31     all    0.75    0.00    1.00    0.75    1.00    0.00    0.00    0.00    0.00   96.51
07:46:32     all    1.26    0.00    1.01    0.25    0.00    0.25    0.00    0.00    0.00   97.24
07:46:33     all    0.51    0.00    0.76    0.25    0.51    0.00    0.00    0.00    0.00   97.98
07:46:34     all    0.75    0.00    0.75    0.25    0.50    0.50    0.00    0.00    0.00   97.26
07:46:35     all    1.00    0.00    0.50    0.75    0.00    0.00    0.25    0.00    0.00   97.49
07:46:36     all    1.00    0.00    0.75    0.00    0.75    0.50    0.00    0.00    0.00   97.01
07:46:37     all    0.76    0.00    1.01    0.25    0.25    0.00    0.00    0.00    0.00   97.73
07:46:38     all    0.75    0.00    0.75    0.25    0.50    0.00    0.25    0.00    0.00   97.49
07:46:39     all    1.01    0.00    0.76    0.76    0.25    0.00    0.00    0.00    0.00   97.23
07:46:40     all    1.00    0.00    0.75    0.25    0.25    0.50    0.00    0.00    0.00   97.25
07:46:41     all    1.49    0.00    0.99    0.50    0.50    0.25    0.25    0.00    0.00   96.03
07:46:42     all    1.01    0.00    0.76    0.00    0.51    0.00    0.00    0.00    0.00   97.73
07:46:43     all    1.01    0.00    0.51    0.51    0.51    0.00    0.25    0.00    0.00   97.22
07:46:44     all    1.00    0.00    0.75    0.25    0.50    0.50    0.00    0.00    0.00   97.00
