Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-2) 	西元2026年07月27日 	_x86_64_	(4 CPU)

15時46分22秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15時46分23秒  all    1.76    0.00    1.26    0.50    0.50    0.25    0.00    0.00    0.00   95.72
15時46分24秒  all    2.01    0.00    1.01    0.25    0.25    0.25    0.00    0.00    0.00   96.23
15時46分25秒  all    1.76    0.00    1.01    0.25    0.00    0.76    0.00    0.00    0.00   96.22
15時46分26秒  all    2.24    0.00    1.24    0.50    0.75    0.25    0.00    0.00    0.00   95.02
15時46分27秒  all    2.01    0.00    1.01    0.75    0.25    0.25    0.00    0.00    0.00   95.73
15時46分28秒  all    2.26    0.00    1.25    0.00    0.00    0.25    0.00    0.00    0.00   96.24
15時46分29秒  all    1.75    0.00    0.75    0.50    0.50    0.75    0.00    0.00    0.00   95.74
15時46分30秒  all    2.00    0.00    1.25    0.50    0.25    0.25    0.00    0.00    0.00   95.75
15時46分31秒  all    2.74    0.00    1.25    0.50    0.25    0.00    0.00    0.00    0.00   95.26
15時46分32秒  all    1.52    0.00    1.01    0.51    0.25    0.51    0.00    0.00    0.00   96.21
15時46分33秒  all    2.51    0.00    1.25    0.00    0.25    0.50    0.00    0.00    0.00   95.49
15時46分34秒  all    1.26    0.00    1.01    0.75    0.25    0.25    0.00    0.00    0.00   96.48
15時46分35秒  all    3.01    0.00    2.26    0.50    0.50    0.25    0.00    0.00    0.00   93.48
15時46分36秒  all    1.51    0.00    1.26    0.25    0.25    0.50    0.00    0.00    0.00   96.23
15時46分37秒  all    2.01    0.00    1.25    0.50    0.00    0.00    0.00    0.00    0.00   96.24
15時46分38秒  all    2.24    0.00    0.75    0.50    0.50    0.75    0.00    0.00    0.00   95.26
15時46分39秒  all    2.01    0.00    1.00    0.25    0.50    0.00    0.00    0.00    0.00   96.24
15時46分40秒  all    1.78    0.00    0.76    0.25    0.25    0.51    0.00    0.00    0.00   96.45
15時46分41秒  all    1.75    0.00    1.50    0.50    0.25    0.25    0.00    0.00    0.00   95.74
15時46分42秒  all    2.00    0.00    1.50    0.75    0.00    0.50    0.00    0.00    0.00   95.25
15時46分43秒  all    2.24    0.00    1.25    0.25    0.50    0.50    0.00    0.00    0.00   95.26
15時46分44秒  all    1.51    0.00    0.76    0.25    0.25    0.25    0.00    0.00    0.00   96.98
15時46分45秒  all    2.01    0.00    1.26    0.50    0.25    0.00    0.00    0.00    0.00   95.98
