ts_ns,query_type,latency_ms
1785138382242633099,select,167.947
1785138382416267426,update,699.074
1785138383223322033,select,73.711
1785138383302610660,update,537.838
1785138383948470488,select,73.324
1785138384027369065,update,587.550
1785138384722505594,select,72.599
1785138384800266291,update,537.158
1785138385444728439,select,72.328
1785138385521520605,update,557.975
1785138386187625859,select,75.354
1785138386268896017,update,538.395
1785138386915034275,select,71.582
1785138386991529811,update,542.849
1785138387642743502,select,75.598
1785138387724282199,update,545.449
1785138388377341921,select,72.303
1785138388454516138,update,943.302
1785138389506191083,select,101.511
1785138389613246796,update,675.134
1785138390395720318,select,72.829
1785138390473696174,update,542.856
1785138391124341624,select,72.429
1785138391202028660,update,538.826
1785138391848944969,select,75.339
1785138391929419216,update,553.651
1785138392589878468,select,72.378
1785138392667386445,update,540.662
1785138393315529333,select,71.707
1785138393392418170,update,544.200
1785138394044338709,select,73.436
1785138394123067676,update,548.397
1785138394779042381,select,74.919
1785138394858680838,update,549.282
1785138395515254588,select,133.801
1785138395654300878,update,946.503
1785138396708829014,select,81.023
1785138396795571273,update,1042.892
1785138397947099750,select,73.992
1785138398026174537,update,536.701
1785138398671056116,select,72.547
1785138398748675192,update,547.971
1785138399404174133,select,73.307
1785138399482506360,update,538.042
1785138400128684879,select,72.609
1785138400206695516,update,552.670
1785138400867082219,select,74.401
1785138400947083126,update,602.324
1785138401657596678,select,75.868
1785138401738419615,update,561.786
1785138402408302639,select,74.858
1785138402488262887,update,541.571
1785138403137474047,select,73.464
1785138403215790054,update,909.574
1785138404233780464,select,75.200
1785138404314207211,update,542.230
1785138404964385750,select,72.961
1785138405042457637,update,547.543
1785138405697949808,select,74.063
1785138405777787005,update,537.956
1785138406423208854,select,73.171
1785138406502247951,update,538.665
1785138407148560710,select,75.041
1785138407228307887,update,544.080
1785138407880258098,select,71.935
1785138407957250145,update,554.334
1785138408618786107,select,72.699
1785138408696966713,update,538.060
1785138409343420175,select,74.268
1785138409423530172,update,545.411
1785138410077430972,select,74.393
1785138410157940729,update,1218.498
1785138411484746223,select,73.153
1785138411562858890,update,601.211
1785138412271681946,select,75.304
1785138412351743204,update,565.793
1785138413025901628,select,81.069
1785138413112329036,update,1140.735
1785138414360718224,select,84.886
1785138414451100643,update,615.521
1785138415174222798,select,76.815
1785138415256322976,update,1169.526
1785138416533153122,select,82.659
1785138416620873610,update,648.641
1785138417377325402,select,74.547
1785138417457090250,update,605.388
1785138418170426092,select,75.666
1785138418251814530,update,1994.184
1785138420354228903,select,168.864
1785138420527730020,update,1848.142
1785138422483303062,select,140.950
1785138422629656253,update,1147.585
1785138423884890584,select,111.983
1785138424002472509,update,695.146
1785138424804893511,select,91.881
1785138424902060882,update,650.097
1785138425659678595,select,215.862
1785138425880832512,update,1781.977
1785138427770603540,select,118.308
1785138427894835137,update,2066.705
1785138430069315244,select,82.646
1785138430156877313,update,636.787
1785138430901905083,select,79.844
1785138430986670341,update,634.850
1785138431729483334,select,77.847
1785138431812226322,update,656.526
1785138432576364656,select,103.142
1785138432684874119,update,643.498
1785138433435232290,select,83.445
1785138433523713929,update,605.911
1785138434237425312,select,80.049
1785138434323229250,update,582.484
1785138435012832588,select,78.012
1785138435096301706,update,654.009
1785138435859133955,select,108.583
1785138435972928069,update,842.600
1785138436923605913,select,118.393
1785138437047203619,update,825.886
1785138437980693639,select,114.610
1785138438100559015,update,1028.354
1785138439237470699,select,197.610
1785138439440427072,update,671.474
1785138440219271069,select,84.878
1785138440308675538,update,780.897
1785138441196253163,select,82.269
1785138441284464132,update,689.084
