ts_ns,query_type,latency_ms
1785138381946814405,select,30.792
1785138381985850761,update,82.767
1785138382173580605,select,20.261
1785138382197373762,update,46.403
1785138382349199374,select,19.231
1785138382371349208,update,47.084
1785138382522882200,select,18.942
1785138382545041872,update,44.895
1785138382694626897,select,20.439
1785138382719017321,update,45.016
1785138382869913957,select,19.319
1785138382892527439,update,46.842
1785138383043861638,select,19.676
1785138383066598035,update,98.005
1785138383269083591,select,20.141
1785138383293893156,update,48.469
1785138383447105498,select,22.242
1785138383473184541,update,42.466
1785138383622627771,select,22.792
1785138383648464966,update,45.367
1785138383798791049,select,18.509
1785138383820555343,update,45.067
1785138383970341958,select,20.428
1785138383993772698,update,45.222
1785138384143981972,select,19.688
1785138384167093666,update,42.932
1785138384315537228,select,19.750
1785138384338546722,update,46.688
1785138384489951865,select,24.485
1785138384518338823,update,45.070
1785138384668407069,select,19.475
1785138384691548630,update,48.285
1785138384844862826,select,20.424
1785138384868985473,update,43.313
1785138385017337609,select,19.109
1785138385040142070,update,51.414
1785138385196956829,select,24.020
1785138385224265535,update,46.566
1785138385375828314,select,22.900
1785138385402068103,update,50.601
1785138385557450135,select,20.995
1785138385582760988,update,45.907
1785138385733035606,select,21.446
1785138385757582324,update,47.598
1785138385909496130,select,20.367
1785138385933487253,update,55.437
1785138386094461238,select,19.107
1785138386118846248,update,45.999
1785138386269568043,select,19.865
1785138386292416078,update,41.496
1785138386439297428,select,21.256
1785138386463871480,update,44.502
1785138386612971722,select,22.214
1785138386638638507,update,46.874
1785138386790398226,select,19.960
1785138386814027288,update,41.924
1785138386961621950,select,19.391
1785138386984771931,update,42.564
1785138387132746524,select,19.379
1785138387155277640,update,43.792
1785138387304303904,select,20.453
1785138387327843697,update,42.976
1785138387475728673,select,19.894
1785138387499268340,update,46.143
1785138387650359297,select,21.136
1785138387674876849,update,44.067
1785138387824458353,select,19.583
1785138387847778421,update,47.680
1785138388000412164,select,18.572
1785138388021932381,update,44.378
1785138388171861764,select,18.989
1785138388193869222,update,43.545
1785138388342046400,select,19.475
1785138388364462329,update,41.086
1785138388510378485,select,19.372
1785138388533898812,update,48.049
1785138388686993831,select,20.532
1785138388711151824,update,51.494
1785138388867537845,select,20.277
1785138388891132535,update,54.507
1785138389051189445,select,19.588
1785138389075081203,update,49.381
1785138389229109999,select,22.065
1785138389254248792,update,50.162
1785138389409499018,select,19.625
1785138389432403506,update,42.850
1785138389580950095,select,19.815
1785138389604838590,update,47.452
1785138389757732414,select,19.026
1785138389780993782,update,40.915
1785138389928354752,select,21.245
1785138389953156793,update,46.341
1785138390104422466,select,21.492
1785138390130257055,update,44.330
1785138390279019922,select,19.343
1785138390302116619,update,43.923
1785138390450521716,select,20.224
1785138390473954065,update,47.462
1785138390626913582,select,19.974
1785138390652273334,update,53.334
1785138390810867474,select,22.363
1785138390836436320,update,47.686
1785138390988711957,select,24.804
1785138391016942362,update,56.845
1785138391179080555,select,21.703
1785138391203945562,update,55.151
1785138391364885663,select,21.326
1785138391389243831,update,52.117
1785138391545712209,select,22.444
1785138391571109581,update,52.466
1785138391728058327,select,19.034
1785138391750401753,update,48.628
1785138391905305912,select,22.762
1785138391931659673,update,46.852
1785138392083616177,select,22.187
1785138392108936537,update,49.697
1785138392263168482,select,20.769
1785138392286892515,update,45.783
1785138392437426463,select,21.908
1785138392463600011,update,44.101
1785138392613918728,select,20.785
1785138392638060553,update,60.833
1785138392804338499,select,19.617
1785138392826996312,update,44.223
1785138392976784900,select,18.751
1785138392999848455,update,49.143
1785138393153720975,select,19.781
1785138393176922323,update,43.572
1785138393325153295,select,18.805
1785138393347761171,update,40.757
1785138393493472311,select,19.413
1785138393517113539,update,41.876
1785138393663616130,select,20.893
1785138393688156574,update,43.957
1785138393836927467,select,18.640
1785138393859101478,update,42.643
1785138394006757964,select,21.434
1785138394032311649,update,50.397
1785138394188277392,select,23.517
1785138394215157206,update,45.872
1785138394366378509,select,20.036
1785138394389685514,update,46.916
1785138394541218363,select,20.852
1785138394566448505,update,45.689
1785138394717459924,select,20.998
1785138394743039643,update,43.241
1785138394891217993,select,18.931
1785138394913940990,update,41.440
1785138395060535653,select,21.059
1785138395085154417,update,42.455
1785138395233049832,select,21.186
1785138395257760923,update,44.663
1785138395407525120,select,19.527
1785138395431258211,update,45.241
1785138395581710588,select,21.020
1785138395607463259,update,46.211
1785138395758696792,select,22.303
1785138395784062409,update,46.736
1785138395935416946,select,19.687
1785138395958295134,update,45.053
1785138396108223881,select,19.312
1785138396130536600,update,44.738
1785138396279893438,select,19.060
1785138396301926540,update,43.601
1785138396450267475,select,20.978
1785138396474618124,update,41.994
1785138396621690138,select,23.111
1785138396648142020,update,51.281
1785138396804313277,select,22.036
1785138396830542325,update,44.212
1785138396980493798,select,22.538
1785138397006303234,update,50.242
1785138397161541691,select,21.399
1785138397186296988,update,50.384
1785138397341291381,select,18.986
1785138397364150853,update,42.708
1785138397512249004,select,20.265
1785138397535695804,update,46.038
1785138397686099863,select,20.897
1785138397709982440,update,49.470
1785138397864540394,select,20.100
1785138397888258360,update,44.854
1785138398038319738,select,19.326
1785138398060704186,update,44.386
1785138398210442530,select,19.591
1785138398233379422,update,44.668
1785138398382442041,select,22.414
1785138398410019445,update,45.863
1785138398560549705,select,20.562
1785138398584310161,update,47.647
1785138398737251447,select,19.933
1785138398762187391,update,44.188
1785138398911736485,select,18.819
1785138398934199347,update,44.976
1785138399084650453,select,19.714
1785138399107770147,update,47.910
1785138399260177027,select,21.302
1785138399284924532,update,46.160
1785138399435887289,select,20.510
1785138399459780024,update,54.603
1785138399619486677,select,21.095
1785138399643957376,update,47.016
1785138399795670445,select,21.470
1785138399821272107,update,48.864
1785138399975033580,select,20.954
1785138399999656437,update,49.912
1785138400154032306,select,20.662
1785138400178015291,update,44.618
1785138400326924562,select,20.033
1785138400350112034,update,41.742
1785138400496547310,select,20.400
1785138400520064680,update,50.077
1785138400674881050,select,22.689
1785138400701293965,update,67.190
1785138400873541449,select,20.822
1785138400897525735,update,49.500
1785138401052407789,select,21.872
1785138401077947092,update,51.457
1785138401233759848,select,19.072
1785138401255957641,update,43.674
1785138401404483815,select,19.598
1785138401427284252,update,45.524
1785138401578332368,select,19.792
1785138401601357427,update,46.167
1785138401752639569,select,22.639
1785138401778439497,update,45.352
1785138401929619101,select,21.255
1785138401954315198,update,47.465
1785138402106945273,select,19.896
1785138402129757167,update,44.453
1785138402278579480,select,21.006
1785138402303090804,update,45.069
1785138402452711692,select,18.996
1785138402474726327,update,44.911
1785138402624008416,select,22.221
1785138402650692072,update,47.906
1785138402803441303,select,20.088
1785138402827210356,update,42.268
1785138402974044048,select,18.858
1785138402995830375,update,43.260
1785138403143797019,select,18.879
1785138403165999848,update,43.500
1785138403314388143,select,19.658
1785138403337095488,update,46.492
1785138403488267198,select,21.047
1785138403512947804,update,43.123
1785138403662006792,select,19.501
1785138403684663899,update,43.219
1785138403832244008,select,19.986
1785138403855710909,update,47.567
1785138404009242904,select,21.536
1785138404034816654,update,47.536
1785138404187557509,select,19.672
1785138404211481589,update,45.569
1785138404362168348,select,23.731
1785138404390334056,update,44.974
1785138404542353556,select,22.549
1785138404568299052,update,49.790
1785138404723625997,select,20.600
1785138404747920176,update,43.603
1785138404896597750,select,20.030
1785138404920505526,update,45.323
1785138405070614303,select,22.237
1785138405096591562,update,48.061
1785138405249761896,select,21.098
1785138405275529022,update,44.265
1785138405424255833,select,21.531
1785138405449026507,update,46.875
1785138405600792834,select,20.868
1785138405625988959,update,50.023
1785138405782906005,select,21.161
1785138405807449488,update,50.723
1785138405962930965,select,20.898
1785138405986687456,update,44.980
1785138406136203282,select,20.083
1785138406159251006,update,47.341
1785138406310958293,select,19.245
1785138406333693506,update,44.451
1785138406483970978,select,19.312
1785138406506711759,update,42.856
1785138406654362364,select,22.303
1785138406679587100,update,47.848
1785138406832564070,select,19.882
1785138406855483781,update,43.108
1785138407003440384,select,19.733
1785138407026496515,update,46.316
1785138407177448373,select,20.272
1785138407201225029,update,42.299
1785138407348412813,select,19.450
1785138407370822388,update,41.381
1785138407517602158,select,19.217
1785138407539923080,update,41.681
1785138407686749950,select,21.589
