procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   3328 649400   1080 6689780    0    0     0     1    0    0  0  0 100  0  0
 2  0   3328 615420   1080 6689948    0    0     0    51 9428 9391 18 19 63  0  0
 1  0   3328 615324   1080 6689952    0    0     0     0 8930 9870 10 22 68  0  0
 2  0   3328 615300   1080 6689952    0    0     0     0 8795 9506 10 21 68  0  0
 1  0   3328 614248   1080 6689968    0    0     0    30 6674 7024  8 14 78  0  0
 2  0   3328 615404   1080 6689968    0    0     0     0 8920 9823 10 21 68  0  0
 1  0   3328 615284   1080 6689968    0    0     0     0 9007 10002 11 21 68  0  0
 2  0   3328 615368   1080 6689968    0    0     0     0 8918 9781 10 22 68  0  0
 1  0   3328 614516   1080 6689968    0    0     0     0 8699 9347 10 22 68  0  0
 1  0   3328 615300   1080 6689968    0    0     0     0 8792 9606 10 22 68  0  0
 1  0   3328 614204   1080 6689968    0    0     0     0 9071 10091 10 21 68  0  0
 1  0   3328 615488   1080 6689992    0    0     0     0 8861 9693 11 21 68  0  0
 1  0   3328 615116   1080 6689992    0    0     0   312 9132 10132 10 22 68  0  0
 1  0   3328 615076   1080 6689996    0    0     0     0 6288 6310  7 14 78  0  0
 1  0   3328 614016   1080 6690016    0    0     0     0 8601 9117 11 21 68  0  0
 1  0   3328 615008   1080 6690016    0    0     0     0 8989 9931 10 22 68  0  0
 2  0   3328 614856   1080 6690032    0    0     0     0 8955 9881 10 22 68  0  0
 1  0   3328 613900   1080 6690032    0    0     0     4 8916 9742 10 22 68  0  0
 1  0   3328 614996   1080 6690032    0    0     0     0 8648 9175 11 21 68  0  0
 1  0   3328 615236   1080 6690032    0    0     0     0 8771 9507 10 23 67  0  0
 2  0   3328 613844   1080 6690032    0    0     0     0 8923 9931 10 21 68  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   3328 614696   1080 6690048    0    0     0     0 8898 9791 10 21 69  0  0
 1  0   3328 614856   1080 6690056    0    0     0     0 9079 10046 10 22 68  0  0
 3  0   3328 615188   1080 6690056    0    0     0     0 8528 8957 10 23 67  0  0
 1  0   3328 614208   1080 6690056    0    0     0     0 8720 9376 10 22 68  0  0
