procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
26  0      0 705004      4 7218852    0    0   618  3765  426  332 25  5 68  2  0
38  0      0 592544      4 7223516    0    0  2712 11831 93948 120545 67 27  6  1  0
36  7      0 516088      4 7232592    0    0  9148 38870 105437 121400 70 27  1  2  0
32  7      0 453404      4 7240772    0    0  8044 44014 110793 127678 71 26  1  2  0
27  4      0 422796      4 7249352    0    0  8792 43435 108307 125961 71 26  2  2  0
23  8      0 372592      4 7261864    0    0  8212 41197 103885 123335 72 25  1  2  0
24 10      0 320416      4 7268944    0    0  7028 42223 102715 121425 72 25  2  2  0
36  1      0 284192      4 7275844    0    0  6944 42401 106198 120367 72 26  1  2  0
26  1      0 244144      4 7283596    0    0  6780 43265 107362 123912 72 26  1  2  0
40  4      0 206016      4 7289948    0    0  6512 41701 104450 122033 72 25  1  2  0
28  4      0 178556      4 7296668    0    0  6784 44761 109574 129319 70 27  1  2  0
27  1      0 162544      4 7283288    0    0  6936 43269 109911 125935 71 25  2  2  0
28  3      0 161648      4 7268212    0    0  6436 41905 106021 120748 73 24  2  2  0
39  0      0 164732      4 7248732    0    0  5620 45081 112171 129074 72 25  2  1  0
47  4      0 154712      4 7245568    0    0  5980 42357 106890 122530 71 26  1  1  0
28  1      0 164636      4 7221852    0    0  5232 44577 111663 128848 72 26  2  1  0
32  9      0 173256      4 7202596    0    0  5468 49022 99741 122197 72 23  2  2  0
46  2      0 161476      4 7206824    0    0  4372 43171 106789 125226 73 24  1  2  0
23 12      0 178880      4 7180508    0    0  5712 44248 114058 128120 71 26  1  1  0
22  3      0 170232      4 7186240    0    0  5548 44405 111754 128437 72 26  1  1  0
31  2      0 159076      4 7191612    0    0  5388 43220 112294 126857 72 25  2  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
33  4      0 151224      4 7196952    0    0  5392 43710 109766 124971 72 25  1  2  0
24  2      0 172928      4 7167320    0    0  4692 47984 105721 122213 70 25  3  2  0
31  3      0 166000      4 7171288    0    0  4128 43333 108501 125797 72 24  2  2  0
31  3      0 159596      4 7176092    0    0  4688 44249 111310 128508 71 26  1  2  0
24  1      0 150396      4 7180536    0    0  4756 41754 106933 122385 71 26  2  2  0
30  3      0 155692      4 7171260    0    0  3268 43063 111777 124208 72 26  1  2  0
29  8      0 150084      4 7172360    0    0  5248 44066 113758 127220 72 26  1  1  0
38  2      0 151720      4 7167540    0    0  4608 49077 105983 122405 73 23  2  2  0
16  4      0 152792      4 7164452    0    0  5080 43028 112178 126908 70 26  2  2  0
45  5      0 162272      4 7151264    0    0  4140 43352 113480 126208 71 25  2  2  0
18  0      0 157044      4 7155448    0    0  4152 44728 113961 129574 70 26  2  2  0
35  2      0 150140      4 7158960    0    0  3564 45969 114100 129953 72 25  1  2  0
30  3      0 151620      4 7154752    0    0  4188 42526 107023 123450 73 24  1  1  0
30  7      0 161796      4 7141452    0    0  4080 43022 110794 126322 71 26  2  2  0
39  4      0 155528      4 7145540    0    0  3992 43207 110303 127610 71 26  1  2  0
33  2      0 149832      4 7148560    0    0  3200 50251 109626 125432 70 26  2  2  0
