procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0    256 259960   7420 7289288    0    0     0     1    0    0  0  0 100  0  0
 0  0    256 243220   7420 7289332    0    0     0     0 15788 13536  4  3 93  0  0
 2  0    256 238940   7420 7289332    0    0     0     0 12212 11863  1  2 97  0  0
 1  0    256 236708   7420 7289332    0    0     0     0 21598 22005  2  4 94  0  0
 1  0    256 236008   7420 7289332    0    0     0     0 25507 26491  2  4 94  0  0
 1  0    256 233304   7420 7289332    0    0     0    80 28908 29706  2  5 93  0  0
 1  0    256 232520   7420 7289332    0    0     0     0 28465 29026  2  5 93  0  0
 1  0    256 231868   7420 7289332    0    0     0     0 26734 27365  2  4 94  0  0
 0  0    256 230908   7420 7289332    0    0     0     0 28125 28665  2  5 93  0  0
 1  0    256 230688   7420 7289332    0    0     0     0 27120 27817  2  5 93  0  0
 1  0    256 230388   7420 7289332    0    0     0    21 27638 28505  2  6 92  0  0
 0  0    256 230152   7420 7289340    0    0     0     0 28526 29005  2  5 93  0  0
 2  0    256 229520   7420 7289340    0    0     0     0 27894 28349  2  5 93  0  0
 3  0    256 229656   7420 7289340    0    0     0     0 28210 28913  2  5 93  0  0
 2  0    256 229540   7420 7289352    0    0     0     0 29386 30058  3  6 92  0  0
 0  0    256 229816   7420 7289352    0    0     0     0 28952 29055  2  6 92  0  0
 1  0    256 229484   7420 7289352    0    0     0     0 28904 29431  3  5 92  0  0
 0  0    256 229580   7420 7289352    0    0     0     0 28402 28740  2  5 93  0  0
 0  0    256 230092   7420 7289352    0    0     0     0 28981 29456  3  5 92  0  0
 0  0    256 229604   7420 7289352    0    0     0     0 28301 28885  3  6 92  0  0
 0  0    256 229720   7420 7289352    0    0     0     0 28416 29203  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    256 229580   7420 7289356    0    0     0     0 27734 28699  2  5 93  0  0
