Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年05月20日 	_x86_64_	(4 CPU)

16時35分49秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16時35分50秒  all   65.49    0.00   20.40    0.00    1.51    2.77    0.00    0.00    0.00    9.82
16時35分51秒  all   66.92    0.00   22.98    1.01    2.53    2.02    0.00    0.00    0.00    4.55
16時35分52秒  all   72.39    0.00   21.89    0.25    2.49    2.49    0.00    0.00    0.00    0.50
16時35分53秒  all   74.50    0.00   19.25    0.50    2.50    2.50    0.00    0.00    0.00    0.75
16時35分54秒  all   76.25    0.00   18.75    0.25    2.50    2.25    0.00    0.00    0.00    0.00
16時35分55秒  all   75.25    0.00   19.75    0.25    2.25    2.50    0.00    0.00    0.00    0.00
16時35分56秒  all   75.19    0.00   19.55    0.00    2.51    2.01    0.00    0.00    0.00    0.75
16時35分57秒  all   75.19    0.00   19.55    0.25    2.51    2.51    0.00    0.00    0.00    0.00
16時35分58秒  all   75.31    0.00   19.20    0.25    2.24    2.74    0.00    0.00    0.00    0.25
16時35分59秒  all   75.38    0.00   19.35    0.25    2.51    2.26    0.00    0.00    0.00    0.25
16時36分00秒  all   74.31    0.00   19.45    0.50    2.74    2.49    0.00    0.00    0.00    0.50
16時36分01秒  all   75.25    0.00   19.95    0.51    2.27    2.02    0.00    0.00    0.00    0.00
16時36分02秒  all   74.07    0.00   19.51    0.49    2.47    2.72    0.00    0.00    0.00    0.74
16時36分03秒  all   77.08    0.00   17.63    0.50    2.52    2.27    0.00    0.00    0.00    0.00
16時36分04秒  all   76.50    0.00   18.50    0.25    2.25    2.25    0.00    0.00    0.00    0.25
16時36分05秒  all   75.69    0.00   19.30    0.00    2.01    2.51    0.00    0.00    0.00    0.50
16時36分06秒  all   74.81    0.00   19.95    0.25    2.74    2.24    0.00    0.00    0.00    0.00
16時36分07秒  all   72.43    0.00   21.05    0.50    2.26    2.51    0.00    0.00    0.00    1.25
16時36分08秒  all   76.13    0.00   18.84    0.00    2.26    2.01    0.00    0.00    0.00    0.75
16時36分09秒  all   73.50    0.00   19.75    0.75    2.50    2.50    0.00    0.00    0.00    1.00
16時36分10秒  all   73.50    0.00   20.25    0.50    2.25    2.50    0.00    0.00    0.00    1.00
16時36分11秒  all   75.38    0.00   19.60    0.25    2.76    2.01    0.00    0.00    0.00    0.00
16時36分12秒  all   74.94    0.00   18.86    0.50    2.48    2.73    0.00    0.00    0.00    0.50
16時36分13秒  all   75.31    0.00   19.14    0.50    2.02    2.27    0.00    0.00    0.00    0.76
16時36分14秒  all   75.82    0.00   18.14    0.50    1.76    2.02    0.00    0.00    0.00    1.76
16時36分15秒  all   76.63    0.00   18.09    0.25    2.51    2.01    0.00    0.00    0.00    0.50
16時36分16秒  all   76.56    0.00   17.71    0.50    2.00    2.24    0.00    0.00    0.00    1.00
16時36分17秒  all   75.19    0.00   19.80    0.25    2.26    2.51    0.00    0.00    0.00    0.00
16時36分18秒  all   75.06    0.00   19.45    0.25    2.24    2.24    0.00    0.00    0.00    0.75
16時36分19秒  all   73.12    0.00   20.35    0.50    2.51    2.76    0.00    0.00    0.00    0.75
16時36分20秒  all   74.94    0.00   19.55    0.25    2.51    2.26    0.00    0.00    0.00    0.50
16時36分21秒  all   75.75    0.00   19.00    0.50    2.50    2.00    0.00    0.00    0.00    0.25
16時36分22秒  all   74.75    0.00   19.75    0.50    2.25    2.50    0.00    0.00    0.00    0.25
16時36分23秒  all   75.25    0.00   19.50    0.00    2.50    2.75    0.00    0.00    0.00    0.00
16時36分24秒  all   75.13    0.00   19.60    0.50    2.26    2.26    0.00    0.00    0.00    0.25
16時36分25秒  all   75.37    0.00   19.15    0.25    2.74    1.99    0.00    0.00    0.00    0.50
16時36分26秒  all   73.63    0.00   20.40    0.25    2.49    2.49    0.00    0.00    0.00    0.75
16時36分27秒  all   75.50    0.00   19.25    0.50    2.50    2.25    0.00    0.00    0.00    0.00
16時36分28秒  all   75.19    0.00   19.55    0.25    2.51    2.26    0.00    0.00    0.00    0.25
16時36分29秒  all   75.00    0.00   19.31    0.25    2.72    2.23    0.00    0.00    0.00    0.50
16時36分30秒  all   75.44    0.00   18.80    0.75    2.26    2.26    0.00    0.00    0.00    0.50
16時36分31秒  all   74.19    0.00   20.35    0.25    2.73    2.48    0.00    0.00    0.00    0.00
16時36分32秒  all   75.06    0.00   18.89    0.50    2.27    2.77    0.00    0.00    0.00    0.50
16時36分33秒  all   77.02    0.00   18.18    0.00    2.27    2.02    0.00    0.00    0.00    0.51
16時36分34秒  all   75.06    0.00   18.45    0.75    2.74    2.24    0.00    0.00    0.00    0.75
16時36分35秒  all   74.87    0.00   19.85    0.00    2.26    2.26    0.00    0.00    0.00    0.75
16時36分36秒  all   74.56    0.00   19.45    0.50    2.49    2.24    0.00    0.00    0.00    0.75
16時36分37秒  all   76.50    0.00   17.50    0.50    2.50    2.50    0.00    0.00    0.00    0.50
16時36分38秒  all   74.69    0.00   19.55    0.25    2.26    2.26    0.00    0.00    0.00    1.00
16時36分39秒  all   73.62    0.00   20.35    0.75    2.26    2.26    0.00    0.00    0.00    0.75
16時36分40秒  all   75.19    0.00   19.05    0.50    2.26    2.51    0.00    0.00    0.00    0.50
16時36分41秒  all   73.32    0.00   20.45    1.00    2.49    2.49    0.00    0.00    0.00    0.25
16時36分42秒  all   74.94    0.00   19.30    0.25    2.51    2.26    0.00    0.00    0.00    0.75
16時36分43秒  all   75.76    0.00   19.44    0.00    2.27    2.02    0.00    0.00    0.00    0.51
16時36分44秒  all   74.75    0.00   19.75    0.50    2.25    2.50    0.00    0.00    0.00    0.25
16時36分45秒  all   74.06    0.00   20.45    0.50    2.24    2.49    0.00    0.00    0.00    0.25
16時36分46秒  all   75.19    0.00   19.80    0.50    2.51    2.01    0.00    0.00    0.00    0.00
16時36分47秒  all   74.56    0.00   19.65    0.25    2.02    2.52    0.00    0.00    0.00    1.01
16時36分48秒  all   72.82    0.00   20.45    0.50    2.24    2.49    0.00    0.00    0.00    1.50
16時36分49秒  all   75.62    0.00   18.91    0.25    2.74    2.24    0.00    0.00    0.00    0.25
16時36分50秒  all   74.62    0.00   18.84    0.75    2.26    2.26    0.00    0.00    0.00    1.26
16時36分51秒  all   75.63    0.00   18.34    0.25    2.26    2.01    0.00    0.00    0.00    1.51
16時36分52秒  all   75.25    0.00   18.75    0.25    2.25    2.50    0.00    0.00    0.00    1.00
