procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
75  0      0 646048     12 7171324    0    0   357  2811   94    5 13  4 75  7  0
49  0      0 159652     12 7124828    0    0   156     0 61300 91605 63 31  7  0  0
21  0      0 161296     12 7029872    0    0   220     0 78088 96155 71 23  6  0  0
15  0      0 171692     12 6930500    0    0    40  1647 65751 83419 69 25  6  0  0
71  2      0 152832     12 6871604    0    0   744 12626 75789 93607 68 29  3  1  0
66  2      0 173692     12 6778952    0    0  1996 21720 87369 97212 70 28  2  1  0
57  4      0 165272     12 6749116    0    0  2900 24936 91812 99015 70 29  1  0  0
52  2      0 162480     12 6721676    0    0  2572 33243 90404 104727 71 26  1  1  0
33  3      0 166108     12 6694968    0    0  2808 39513 92893 106900 71 26  2  1  0
26  6      0 176072     12 6663504    0    0  2460 37480 100144 114626 69 26  3  2  0
23  4      0 155952     12 6666012    0    0  2632 41791 104313 124171 64 26  5  5  0
13  0      0 179676     12 6631016    0    0  2508 38936 93864 119921 57 24 11  8  0
 6  1      0 161120     12 6633308    0    0  2304 40250 89641 124459 53 21 14 12  0
 7  0      0 164204     12 6618212    0    0  2280 35490 76206 110095 45 20 22 14  0
 7  3      0 157304     12 6619692    0    0  1568 31970 68978 105881 37 18 28 17  0
 2  3      0 151716     12 6621268    0    0  1720 29401 67285 103781 33 16 32 19  0
 3  0      0 154864     12 6616404    0    0  1392 31348 72428 110471 34 15 32 19  0
 2  0      0 180316     12 6585524    0    0  1964 29298 65325 102609 31 17 34 18  0
 2  0      0 177948     12 6586832    0    0  1300 25219 56655 92892 27 14 40 20  0
 6  1      0 177420     12 6587808    0    0   992 24886 57223 92961 27 13 42 18  0
 2  3      0 175656     12 6589088    0    0  1124 24899 58329 93340 28 13 41 18  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 174812     12 6590264    0    0  1252 24286 56874 92599 26 13 43 19  0
 4  1      0 173860     12 6591224    0    0   912 19014 45418 76815 20 11 52 17  0
