Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年05月21日 	_x86_64_	(4 CPU)

01時16分54秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01時16分55秒  all    3.28    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   95.20
01時16分56秒  all    4.74    0.00    2.99    0.00    0.75    1.75    0.00    0.00    0.00   89.78
01時16分57秒  all    1.00    0.00    1.25    0.00    0.50    1.00    0.00    0.00    0.00   96.25
01時16分58秒  all    0.25    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   98.48
01時16分59秒  all    2.74    0.00    2.99    0.00    1.00    1.50    0.00    0.00    0.00   91.77
01時17分00秒  all    1.78    0.00    2.03    0.00    0.51    1.78    0.00    0.00    0.00   93.91
01時17分01秒  all    1.52    0.00    2.53    0.00    1.01    2.28    0.00    0.00    0.00   92.66
01時17分02秒  all    5.54    0.00    4.28    0.00    0.50    2.02    0.00    0.00    0.00   87.66
01時17分03秒  all    2.53    0.00    2.53    0.00    0.76    1.77    0.00    0.00    0.00   92.41
01時17分04秒  all    2.26    0.00    3.27    0.00    1.01    1.76    0.00    0.00    0.00   91.71
01時17分05秒  all    2.77    0.00    2.77    0.00    0.50    2.02    0.00    0.00    0.00   91.94
01時17分06秒  all    2.52    0.00    3.53    0.00    1.01    1.76    0.00    0.00    0.00   91.18
01時17分07秒  all    2.04    0.00    2.55    0.00    0.26    1.53    0.00    0.00    0.00   93.62
01時17分08秒  all    2.48    0.00    3.22    0.00    0.99    1.73    0.00    0.00    0.00   91.58
01時17分09秒  all    3.02    0.00    4.03    0.00    0.76    1.51    0.00    0.00    0.00   90.68
01時17分10秒  all    2.78    0.00    2.28    0.00    0.51    1.52    0.00    0.00    0.00   92.91
01時17分11秒  all    2.01    0.00    2.26    0.00    0.75    1.51    0.00    0.00    0.00   93.47
01時17分12秒  all    2.03    0.00    2.03    0.00    0.25    1.27    0.00    0.00    0.00   94.43
01時17分13秒  all    2.76    0.00    2.51    0.00    0.50    1.26    0.00    0.00    0.00   92.96
01時17分14秒  all    1.77    0.00    1.52    0.00    1.01    0.51    0.00    0.00    0.00   95.19
01時17分15秒  all    1.25    0.00    2.26    0.00    0.25    1.25    0.00    0.00    0.00   94.99
01時17分16秒  all    1.52    0.00    2.53    0.00    0.25    0.76    0.00    0.00    0.00   94.94
01時17分17秒  all    1.26    0.00    1.01    0.00    0.76    1.01    0.00    0.00    0.00   95.97
01時17分18秒  all    1.01    0.00    1.76    0.00    0.25    0.76    0.00    0.00    0.00   96.22
01時17分19秒  all    1.52    0.00    1.77    0.00    0.51    0.51    0.00    0.00    0.00   95.70
01時17分20秒  all    6.84    0.00    2.78    0.00    0.25    1.01    0.00    0.00    0.00   89.11
01時17分21秒  all    1.01    0.00    0.76    0.00    0.50    0.50    0.00    0.00    0.00   97.23
01時17分22秒  all    0.25    0.00    1.00    0.00    0.25    0.50    0.00    0.00    0.00   97.99
01時17分23秒  all    1.26    0.00    1.51    0.00    0.25    0.50    0.00    0.00    0.00   96.48
01時17分24秒  all    0.75    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.49
01時17分25秒  all    0.50    0.00    0.50    0.00    0.50    0.50    0.00    0.00    0.00   97.99
01時17分26秒  all    1.26    0.00    1.51    0.00    0.00    0.50    0.00    0.00    0.00   96.73
01時17分27秒  all    0.00    0.00    0.51    0.00    0.25    0.25    0.00    0.00    0.00   98.99
01時17分28秒  all    0.50    0.00    0.25    0.00    0.25    0.25    0.00    0.00    0.00   98.74
