Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年05月20日 	_x86_64_	(4 CPU)

23時32分01秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23時32分02秒  all   61.06    0.00   23.62    3.02    1.76    2.76    0.00    0.00    0.00    7.79
23時32分03秒  all   50.77    0.00   16.75   12.11    2.32    2.32    0.00    0.00    0.00   15.72
23時32分04秒  all   48.84    0.00   16.20   12.60    2.57    1.80    0.00    0.00    0.00   17.99
23時32分05秒  all   47.96    0.00   14.54   14.03    1.79    1.79    0.00    0.00    0.00   19.90
23時32分06秒  all   45.10    0.00   16.24   14.43    2.58    1.80    0.00    0.00    0.00   19.85
23時32分07秒  all   43.93    0.00   14.47   14.99    2.33    2.07    0.00    0.00    0.00   22.22
23時32分08秒  all   35.14    0.00   13.70   17.83    1.55    1.55    0.00    0.00    0.00   30.23
23時32分09秒  all   32.03    0.00   11.72   19.27    1.56    1.30    0.00    0.00    0.00   34.11
23時32分10秒  all   33.33    0.00   12.14   18.60    1.81    1.81    0.00    0.00    0.00   32.30
23時32分11秒  all   31.95    0.00   12.21   18.70    2.08    1.30    0.00    0.00    0.00   33.77
23時32分12秒  all   34.02    0.00   11.25   18.93    1.79    1.79    0.00    0.00    0.00   32.23
23時32分13秒  all   30.13    0.00   11.17   18.96    1.56    1.56    0.00    0.00    0.00   36.62
23時32分14秒  all   26.56    0.00    9.90   19.79    1.56    1.04    0.00    0.00    0.00   41.15
23時32分15秒  all   26.42    0.00   10.62   19.69    1.81    1.55    0.00    0.00    0.00   39.90
23時32分16秒  all   26.61    0.00   10.08   19.12    1.55    1.29    0.00    0.00    0.00   41.34
23時32分17秒  all   22.08    0.00    8.83   19.22    1.30    1.30    0.00    0.00    0.00   47.27
23時32分18秒  all   19.79    0.00    7.71   16.97    1.29    1.03    0.00    0.00    0.00   53.21
23時32分19秒  all   18.70    0.00    7.01   17.40    1.30    0.78    0.00    0.00    0.00   54.81
23時32分20秒  all   20.26    0.00    7.44   17.18    1.28    1.28    0.00    0.00    0.00   52.56
23時32分21秒  all   19.23    0.00    8.46   18.97    1.03    0.77    0.00    0.00    0.00   51.54
23時32分22秒  all   20.56    0.00    7.61   17.77    1.27    1.02    0.00    0.00    0.00   51.78
