procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0    256 208840   7420 7338152    0    0     0     1    1    0  0  0 100  0  0
 0  0    256 192220   7420 7338216    0    0     0     0 13755 12527  4  3 93  0  0
 0  0    256 192856   7420 7338224    0    0     0     0 10703 10566  1  2 97  0  0
 0  0    256 186848   7420 7338168    0    0     0     0 22946 21628  2  5 94  0  0
 1  0    256 186288   7420 7338228    0    0     0   156 28119 28076  3  6 91  0  0
 2  0    256 185132   7420 7338228    0    0     0     0 27525 28336  3  5 92  0  0
 1  0    256 184560   7420 7338244    0    0     0     0 26045 27532  2  5 93  0  0
 2  0    256 184408   7420 7338268    0    0     0    23 24340 25168  3  6 91  0  0
 0  0    256 184128   7420 7338268    0    0     0     0 21131 22383  2  4 94  0  0
 0  0    256 183984   7420 7338276    0    0     0     0 20339 21508  3  4 93  0  0
 1  0    256 180980   7420 7338288    0    0     0     0 19524 20326  3  5 92  0  0
 0  0    256 182732   7420 7338312    0    0     0     0 16146 17582  2  4 95  0  0
 2  0    256 182456   7420 7338312    0    0     0     0 17342 18716  2  3 95  0  0
 0  0    256 182040   7420 7338312    0    0     0     0 15850 17154  1  3 96  0  0
 0  0    256 181908   7420 7338340    0    0     0    30 12950 14205  2  3 95  0  0
 0  0    256 181900   7420 7338340    0    0     0     0 11739 12965  1  2 97  0  0
 0  0    256 181624   7420 7338340    0    0     0     0 11787 13147  1  3 96  0  0
 0  0    256 157260   7420 7338348    0    0     0    33 11118 12115  4  3 93  0  0
 0  0    256 156980   7420 7338352    0    0     0     0 8015 8979  1  2 97  0  0
 0  0    256 157040   7420 7338352    0    0     0     0 5396 6019  1  1 98  0  0
 0  0    256 157056   7420 7338352    0    0     0     0 5209 6314  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 156916   7420 7338388    0    0     0     0 5729 6647  1  2 97  0  0
 0  0    256 156400   7420 7338388    0    0     0    26 6094 6974  1  2 97  0  0
 1  0    256 156384   7420 7338396    0    0     0     0 5528 6295  1  1 98  0  0
 0  0    256 156280   7420 7338412    0    0     0     0 6450 7264  1  2 97  0  0
 1  0    256 156092   7420 7338412    0    0     0     0 5175 5955  0  1 99  0  0
 0  0    256 157160   7420 7338412    0    0     0     0 5607 6448  1  1 98  0  0
 0  0    256 156680   7420 7338416    0    0     0    26 5060 6000  1  1 98  0  0
 0  0    256 156856   7420 7338436    0    0     0     0 5916 6661  1  2 97  0  0
 0  0    256 156680   7420 7338436    0    0     0   199 5719 6381  0  2 98  0  0
