procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
44  1      0 256016     28 7440936    0    0   416  2970  560  231 13  4 76  7  0
63  0      0 160824     28 7207592    0    0 14704     0 60542 80839 63 31  6  1  0
61  0      0 153828     28 7121548    0    0  9492     0 67150 87762 71 25  3  1  0
53  1      0 152112     28 7019784    0    0  8140  1835 71190 95534 68 28  4  1  0
 0  0      0 166348     28 7004160    0    0   260  5276 57141 83812 23 16 57  3  0
 1  0      0 162220     28 7004192    0    0     0  2662 30777 42374 10  9 79  3  0
 0  0      0 156312     28 7004364    0    0     0  3394 19100 34168  8  6 84  3  0
 1  0      0 152784     28 7004424    0    0     0  1662 16916 28784  6  5 87  2  0
 1  0      0 153696     28 6998944    0    0    16  2077 16307 29816  6  5 87  2  0
 0  0      0 153728     28 6993580    0    0    32  1473 14114 25736  5  5 89  2  0
 2  0      0 153664     28 6988420    0    0   200  4660 20105 32516  7  5 84  5  0
 0  1      0 149692     28 6989364    0    0   364 11495 26318 47921 12  6 70 12  0
 1  0      0 155656     28 6980108    0    0   264 12044 26482 48110 11  7 70 12  0
 0  1      0 154632     28 6981456    0    0   404 12339 26268 48590  9  6 71 13  0
 2  0      0 152676     28 6982088    0    0   308 12138 26120 47185 11  7 69 13  0
 0  1      0 153332     28 6980932    0    0   308 10593 25043 45133 11  7 70 11  0
 0  1      0 150012     28 6981420    0    0   536 15150 25604 45658 12  7 69 11  0
 1  1      0 153288     28 6977500    0    0   216 11789 26233 47891 11  7 70 12  0
 2  1      0 155640     28 6974260    0    0   328 12246 25858 49067 10  6 70 13  0
 1  1      0 156496     28 6975264    0    0   112 11947 25200 47564 11  7 70 13  0
 1  1      0 156704     28 6975856    0    0   188 11535 24955 47455 11  8 69 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 156800     28 6977032    0    0   268 12125 27294 48030 11  7 70 12  0
 0  1      0 156200     28 6977876    0    0   348 12287 26405 48569 11  7 70 13  0
 1  1      0 155000     28 6979156    0    0   356 11850 25858 47514 11  7 70 13  0
 0  1      0 154556     28 6979288    0    0   324 16811 28190 51744  9  6 70 14  0
 3  0      0 154052     28 6980548    0    0   316 11917 26233 48303 11  7 69 13  0
 1  0      0 153092     28 6981428    0    0   324 12405 27483 49689 11  7 69 13  0
 0  0      0 151136     28 6982384    0    0   336 13230 28704 52049 10  7 70 14  0
 1  1      0 150096     28 6983680    0    0   504 12689 28121 50766 10  6 71 13  0
 2  0      0 158644     28 6973212    0    0   288 16935 27216 50261 10  6 70 14  0
 2  0      0 157984     28 6974068    0    0   312 11615 26393 47696 11  6 69 13  0
 0  1      0 157256     28 6975348    0    0   292 12246 27078 48898 11  7 69 13  0
 0  1      0 155964     28 6976188    0    0   408 12273 28215 49563 10  7 70 13  0
 1  0      0 154768     28 6977524    0    0   272 13186 28499 51435 10  7 69 13  0
 2  0      0 153600     28 6978464    0    0   348 14990 27714 51239 10  7 70 13  0
 3  0      0 152908     28 6979500    0    0   244 14089 26740 49396 10  7 70 12  0
 1  0      0 152028     28 6980444    0    0   268 12247 27653 50159 11  7 70 12  0
 0  0      0 151240     28 6981584    0    0   256 12847 28023 51049 10  6 71 13  0
 0  1      0 149948     28 6982628    0    0   304 13350 27134 51708 10  6 70 14  0
 3  0      0 158800     28 6972092    0    0   224 12910 26210 50447 11  7 70 13  0
 3  0      0 157664     28 6972792    0    0   432 16372 27182 50291 11  6 70 13  0
 1  0      0 156768     28 6974424    0    0   388 12291 26683 50056 11  7 69 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 155820     28 6975260    0    0   396 12468 27030 49213 11  6 69 13  0
 2  1      0 154656     28 6976600    0    0   408 13184 27972 51040 10  7 70 14  0
 1  1      0 153708     28 6977612    0    0   368 12691 27544 50689 11  7 70 13  0
 1  0      0 153080     28 6978772    0    0   340 16345 27324 50063 11  7 70 12  0
 0  1      0 152196     28 6979872    0    0   452 13012 27735 51158 11  7 69 14  0
 1  0      0 151048     28 6981084    0    0   148 17317 28333 52296 10  6 71 13  0
 2  0      0 149724     28 6981792    0    0   260 12811 27464 50770 10  6 71 13  0
 3  0      0 158184     28 6971544    0    0   344 13328 29164 52253  9  7 70 14  0
 1  0      0 157724     28 6970676    0    0   180 12733 28383 50566 11  6 70 13  0
 2  1      0 158596     28 6970288    0    0   228 12813 26339 47438 11  6 70 12  0
 3  0      0 157904     28 6971112    0    0   292 12840 27874 50377 10  7 70 13  0
 5  0      0 157904     28 6972068    0    0   240 12650 27638 50198  9  6 72 13  0
 0  0      0 157688     28 6973444    0    0   472 13523 29595 52485 10  6 70 14  0
 1  1      0 156800     28 6974464    0    0   252 12319 27222 48889 11  6 70 12  0
 1  0      0 156548     28 6975488    0    0   296 16631 26649 50031 11  7 70 12  0
 1  0      0 155496     28 6976564    0    0   256 12383 27591 49574 10  6 71 12  0
 1  1      0 154236     28 6977536    0    0   328 12921 28547 51089 11  7 70 13  0
