Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年05月21日 	_x86_64_	(4 CPU)

11時52分44秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11時52分45秒  all   66.58    0.00   21.61    0.00    2.26    2.51    0.00    0.00    0.00    7.04
11時52分46秒  all   27.16    0.00   11.68    1.52    1.02    1.52    0.00    0.00    0.00   57.11
11時52分47秒  all   10.33    0.00    6.55    3.02    0.76    1.01    0.00    0.00    0.00   78.34
11時52分48秒  all    6.31    0.00    3.28    2.02    0.51    0.51    0.00    0.00    0.00   87.37
11時52分49秒  all    6.50    0.00    3.50    4.25    0.75    1.00    0.00    0.00    0.00   84.00
11時52分50秒  all   10.28    0.00    5.51   13.03    1.00    0.50    0.00    0.00    0.00   69.67
11時52分51秒  all    9.32    0.00    5.54   13.10    0.76    0.25    0.00    0.00    0.00   71.03
11時52分52秒  all   10.55    0.00    4.77   12.56    1.01    0.50    0.00    0.00    0.00   70.60
11時52分53秒  all   10.97    0.00    3.83   12.50    1.02    0.77    0.00    0.00    0.00   70.92
11時52分54秒  all    9.57    0.00    5.04   13.10    1.01    0.50    0.00    0.00    0.00   70.78
11時52分55秒  all   10.26    0.00    4.62   12.31    1.03    0.51    0.00    0.00    0.00   71.28
11時52分56秒  all   10.35    0.00    4.29   13.38    1.01    0.51    0.00    0.00    0.00   70.45
11時52分57秒  all   10.35    0.00    5.05   12.63    0.76    0.76    0.00    0.00    0.00   70.45
11時52分58秒  all   10.71    0.00    4.59   12.76    0.77    0.00    0.00    0.00    0.00   71.17
11時52分59秒  all   10.30    0.00    4.52   12.81    1.26    0.50    0.00    0.00    0.00   70.60
11時53分00秒  all    9.00    0.00    4.37   13.88    1.29    0.77    0.00    0.00    0.00   70.69
11時53分01秒  all   10.71    0.00    4.85   12.24    0.51    0.51    0.00    0.00    0.00   71.17
11時53分02秒  all   11.81    0.00    5.03   12.06    1.26    0.50    0.00    0.00    0.00   69.35
11時53分03秒  all   10.91    0.00    4.06   11.93    1.02    0.76    0.00    0.00    0.00   71.32
11時53分04秒  all   10.20    0.00    5.10   12.24    1.02    0.51    0.00    0.00    0.00   70.92
11時53分05秒  all   10.38    0.00    5.06   13.67    0.76    0.25    0.00    0.00    0.00   69.87
11時53分06秒  all   10.30    0.00    5.03   12.56    1.26    1.01    0.00    0.00    0.00   69.85
11時53分07秒  all    9.51    0.00    3.86   12.85    0.77    0.26    0.00    0.00    0.00   72.75
11時53分08秒  all   10.69    0.00    4.83   12.47    0.76    0.25    0.00    0.00    0.00   70.99
11時53分09秒  all   10.50    0.00    5.50   13.00    1.25    0.75    0.00    0.00    0.00   69.00
11時53分10秒  all    9.97    0.00    4.35   12.79    1.28    0.51    0.00    0.00    0.00   71.10
11時53分11秒  all   10.35    0.00    5.05   13.38    0.51    0.25    0.00    0.00    0.00   70.45
11時53分12秒  all   10.55    0.00    4.52   12.06    1.01    1.01    0.00    0.00    0.00   70.85
11時53分13秒  all   10.10    0.00    5.05   12.88    0.76    0.25    0.00    0.00    0.00   70.96
11時53分14秒  all    9.23    0.00    4.87   14.10    1.03    0.51    0.00    0.00    0.00   70.26
11時53分15秒  all   10.45    0.00    5.47   13.43    1.00    0.50    0.00    0.00    0.00   69.15
11時53分16秒  all    9.87    0.00    5.06   12.41    1.01    0.76    0.00    0.00    0.00   70.89
11時53分17秒  all   10.49    0.00    4.35   12.28    1.02    0.26    0.00    0.00    0.00   71.61
11時53分18秒  all   11.42    0.00    5.08   12.18    1.02    0.51    0.00    0.00    0.00   69.80
11時53分19秒  all   11.39    0.00    4.30   12.66    1.01    0.76    0.00    0.00    0.00   69.87
11時53分20秒  all   10.86    0.00    4.80   13.38    1.26    0.25    0.00    0.00    0.00   69.44
11時53分21秒  all    9.14    0.00    4.82   12.94    0.76    0.51    0.00    0.00    0.00   71.83
11時53分22秒  all   11.06    0.00    4.77   13.57    1.01    0.25    0.00    0.00    0.00   69.35
11時53分23秒  all    9.92    0.00    4.58   12.72    1.02    0.76    0.00    0.00    0.00   70.99
11時53分24秒  all    9.77    0.00    5.26   13.78    0.75    0.50    0.00    0.00    0.00   69.92
11時53分25秒  all    9.67    0.00    4.33   12.72    1.02    0.25    0.00    0.00    0.00   72.01
11時53分26秒  all    9.32    0.00    4.79   14.11    1.01    0.76    0.00    0.00    0.00   70.03
11時53分27秒  all   10.86    0.00    4.29   12.63    0.51    0.51    0.00    0.00    0.00   71.21
11時53分28秒  all    9.85    0.00    5.05   12.63    1.26    0.51    0.00    0.00    0.00   70.71
11時53分29秒  all   10.13    0.00    5.32   12.41    0.76    0.51    0.00    0.00    0.00   70.89
11時53分30秒  all    9.95    0.00    4.59   13.78    0.77    0.51    0.00    0.00    0.00   70.41
11時53分31秒  all   10.33    0.00    4.79   13.10    1.26    0.50    0.00    0.00    0.00   70.03
11時53分32秒  all   10.43    0.00    3.82   12.98    1.02    0.51    0.00    0.00    0.00   71.25
11時53分33秒  all   10.33    0.00    5.04   13.10    1.26    0.76    0.00    0.00    0.00   69.52
11時53分34秒  all   10.26    0.00    4.62   13.08    0.77    0.51    0.00    0.00    0.00   70.77
11時53分35秒  all    9.41    0.00    4.83   13.49    0.76    0.25    0.00    0.00    0.00   71.25
11時53分36秒  all    8.65    0.00    4.58   13.74    1.27    0.76    0.00    0.00    0.00   70.99
11時53分37秒  all   10.03    0.00    4.88   13.62    0.26    0.00    0.00    0.00    0.00   71.21
11時53分38秒  all   10.28    0.00    4.26   12.78    1.25    0.75    0.00    0.00    0.00   70.68
11時53分39秒  all   10.43    0.00    4.07   13.49    1.27    0.25    0.00    0.00    0.00   70.48
11時53分40秒  all    9.57    0.00    5.04   13.60    0.50    0.76    0.00    0.00    0.00   70.53
11時53分41秒  all    9.34    0.00    5.05   13.64    1.26    0.25    0.00    0.00    0.00   70.45
11時53分42秒  all    9.18    0.00    4.85   13.01    1.28    0.51    0.00    0.00    0.00   71.17
11時53分43秒  all   10.86    0.00    5.05   13.64    0.51    0.51    0.00    0.00    0.00   69.44
11時53分44秒  all    8.53    0.00    4.39   14.21    1.03    0.52    0.00    0.00    0.00   71.32
11時53分45秒  all   10.50    0.00    5.50   13.25    1.00    0.50    0.00    0.00    0.00   69.25
11時53分46秒  all   10.41    0.00    4.31   13.71    0.51    0.25    0.00    0.00    0.00   70.81
11時53分47秒  all   10.08    0.00    4.79   12.85    1.26    1.01    0.00    0.00    0.00   70.03
11時53分48秒  all   10.49    0.00    5.12   12.79    1.02    0.00    0.00    0.00    0.00   70.59
11時53分49秒  all    9.60    0.00    4.04   13.89    0.76    0.76    0.00    0.00    0.00   70.96
11時53分50秒  all    8.93    0.00    4.34   14.03    1.02    0.26    0.00    0.00    0.00   71.43
11時53分51秒  all   10.64    0.00    5.45   13.12    0.99    0.74    0.00    0.00    0.00   69.06
11時53分52秒  all   10.28    0.00    5.01   13.03    1.00    0.25    0.00    0.00    0.00   70.43
11時53分53秒  all   10.91    0.00    4.31   13.20    0.76    0.76    0.00    0.00    0.00   70.05
11時53分54秒  all    9.85    0.00    4.80   14.65    1.01    0.51    0.00    0.00    0.00   69.19
11時53分55秒  all    9.95    0.00    4.34   13.78    1.02    0.51    0.00    0.00    0.00   70.41
11時53分56秒  all    9.18    0.00    4.59   14.29    0.77    0.00    0.00    0.00    0.00   71.17
11時53分57秒  all    9.60    0.00    4.80   13.13    0.76    1.01    0.00    0.00    0.00   70.71
11時53分58秒  all   10.43    0.00    4.58   12.98    0.76    0.25    0.00    0.00    0.00   70.99
11時53分59秒  all    9.92    0.00    4.83   13.74    1.27    0.51    0.00    0.00    0.00   69.72
11時54分00秒  all    9.39    0.00    4.82   13.45    0.76    0.51    0.00    0.00    0.00   71.07
11時54分01秒  all   10.05    0.00    5.03   13.32    1.26    0.75    0.00    0.00    0.00   69.60
11時54分02秒  all   10.80    0.00    4.88   12.60    0.77    0.26    0.00    0.00    0.00   70.69
11時54分03秒  all   11.96    0.00    5.60   11.20    1.02    0.25    0.00    0.00    0.00   69.97
11時54分04秒  all   12.03    0.00    5.26   11.78    1.25    1.00    0.00    0.00    0.00   68.67
11時54分05秒  all   12.25    0.00    4.75   12.50    1.00    0.50    0.00    0.00    0.00   69.00
11時54分06秒  all    9.92    0.00    5.34   13.23    1.27    0.51    0.00    0.00    0.00   69.72
11時54分07秒  all   11.20    0.00    5.34   12.72    0.76    0.25    0.00    0.00    0.00   69.72
11時54分08秒  all   11.53    0.00    5.01   11.78    1.00    1.00    0.00    0.00    0.00   69.67
11時54分09秒  all   11.00    0.00    5.75   12.00    1.25    0.50    0.00    0.00    0.00   69.50
11時54分10秒  all   11.17    0.00    5.08   11.68    1.02    0.25    0.00    0.00    0.00   70.81
11時54分11秒  all   10.08    0.00    5.54   13.35    0.76    0.50    0.00    0.00    0.00   69.77
11時54分12秒  all   10.05    0.00    5.53   14.07    1.26    0.75    0.00    0.00    0.00   68.34
11時54分13秒  all   11.11    0.00    4.80   12.37    1.01    0.25    0.00    0.00    0.00   70.45
11時54分14秒  all   10.20    0.00    4.34   14.03    0.77    0.51    0.00    0.00    0.00   70.15
11時54分15秒  all   10.10    0.00    5.30   13.38    1.26    0.51    0.00    0.00    0.00   69.44
11時54分16秒  all    9.67    0.00    4.58   12.98    0.76    0.51    0.00    0.00    0.00   71.50
11時54分17秒  all    9.37    0.00    5.06   12.66    0.76    0.51    0.00    0.00    0.00   71.65
11時54分18秒  all   10.50    0.00    4.50   12.50    1.25    0.75    0.00    0.00    0.00   70.50
11時54分19秒  all   10.18    0.00    5.60   13.23    1.02    0.25    0.00    0.00    0.00   69.72
11時54分20秒  all    9.87    0.00    5.06   13.67    0.51    0.51    0.00    0.00    0.00   70.38
11時54分21秒  all   10.30    0.00    4.77   13.57    1.26    0.75    0.00    0.00    0.00   69.35
11時54分22秒  all   10.33    0.00    5.04   12.59    1.01    0.50    0.00    0.00    0.00   70.53
11時54分23秒  all   10.26    0.00    4.36   13.59    1.03    0.26    0.00    0.00    0.00   70.51
11時54分24秒  all   10.30    0.00    5.03   13.32    1.01    0.75    0.00    0.00    0.00   69.60
11時54分25秒  all    9.64    0.00    5.58   13.71    1.02    0.25    0.00    0.00    0.00   69.80
11時54分26秒  all   10.78    0.00    4.76   13.78    1.00    0.50    0.00    0.00    0.00   69.17
11時54分27秒  all   10.03    0.00    4.26   14.04    1.00    0.75    0.00    0.00    0.00   69.92
11時54分28秒  all   10.46    0.00    4.85   12.76    0.77    0.26    0.00    0.00    0.00   70.92
11時54分29秒  all   10.28    0.00    4.51   13.28    1.00    0.75    0.00    0.00    0.00   70.18
11時54分30秒  all   10.92    0.00    5.71   13.15    1.24    0.50    0.00    0.00    0.00   68.49
11時54分31秒  all    9.95    0.00    4.34   13.01    1.02    0.51    0.00    0.00    0.00   71.17
11時54分32秒  all   10.55    0.00    6.03   12.81    0.75    0.50    0.00    0.00    0.00   69.35
11時54分33秒  all   10.83    0.00    5.29   12.85    1.01    0.50    0.00    0.00    0.00   69.52
11時54分34秒  all   10.78    0.00    4.51   13.78    1.00    0.50    0.00    0.00    0.00   69.42
11時54分35秒  all   10.58    0.00    4.79   13.10    0.76    0.76    0.00    0.00    0.00   70.03
11時54分36秒  all    9.60    0.00    5.05   12.88    1.26    0.00    0.00    0.00    0.00   71.21
11時54分37秒  all    9.95    0.00    4.85   11.99    1.02    0.77    0.00    0.00    0.00   71.43
11時54分38秒  all   11.84    0.00    4.28   12.34    1.26    0.25    0.00    0.00    0.00   70.03
11時54分39秒  all   10.53    0.00    5.51   12.78    0.75    0.50    0.00    0.00    0.00   69.92
11時54分40秒  all    9.62    0.00    4.81   13.42    1.01    0.76    0.00    0.00    0.00   70.38
11時54分41秒  all   18.00    0.00    5.75   12.50    1.00    0.50    0.00    0.00    0.00   62.25
11時54分42秒  all   21.16    0.00    5.29   11.34    0.76    0.25    0.00    0.00    0.00   61.21
11時54分43秒  all   10.58    0.00    5.29   12.59    0.76    0.76    0.00    0.00    0.00   70.03
11時54分44秒  all    9.21    0.00    5.12   14.32    1.02    0.51    0.00    0.00    0.00   69.82
11時54分45秒  all   10.66    0.00    5.08   13.20    1.27    0.51    0.00    0.00    0.00   69.29
11時54分46秒  all   10.41    0.00    4.31   12.69    1.02    0.51    0.00    0.00    0.00   71.07
11時54分47秒  all    9.92    0.00    4.83   13.49    0.76    0.25    0.00    0.00    0.00   70.74
11時54分48秒  all    9.97    0.00    4.60   12.53    1.28    0.51    0.00    0.00    0.00   71.10
11時54分49秒  all    9.60    0.00    5.05   13.64    1.26    1.01    0.00    0.00    0.00   69.44
11時54分50秒  all    9.51    0.00    4.63   12.85    0.51    0.00    0.00    0.00    0.00   72.49
11時54分51秒  all   10.10    0.00    4.80   13.13    1.26    0.51    0.00    0.00    0.00   70.20
11時54分52秒  all    9.00    0.00    4.63   13.88    1.03    0.77    0.00    0.00    0.00   70.69
11時54分53秒  all    9.64    0.00    5.08   12.94    0.76    0.51    0.00    0.00    0.00   71.07
11時54分54秒  all    9.41    0.00    4.33   13.49    1.27    0.25    0.00    0.00    0.00   71.25
11時54分55秒  all    9.49    0.00    4.87   12.82    1.03    0.51    0.00    0.00    0.00   71.28
11時54分56秒  all    9.85    0.00    5.05   12.88    0.76    0.51    0.00    0.00    0.00   70.96
11時54分57秒  all   10.03    0.00    5.51   12.53    1.25    0.75    0.00    0.00    0.00   69.92
11時54分58秒  all   10.43    0.00    4.58   12.98    1.27    0.25    0.00    0.00    0.00   70.48
11時54分59秒  all   10.20    0.00    4.08   12.76    0.77    0.77    0.00    0.00    0.00   71.43
11時55分00秒  all    9.16    0.00    5.34   13.49    1.02    0.25    0.00    0.00    0.00   70.74
11時55分01秒  all    9.37    0.00    5.32   13.16    1.01    0.51    0.00    0.00    0.00   70.63
11時55分02秒  all   11.14    0.00    4.81   11.90    1.01    0.76    0.00    0.00    0.00   70.38
11時55分03秒  all   11.68    0.00    5.33   10.91    1.02    0.51    0.00    0.00    0.00   70.56
11時55分04秒  all   11.45    0.00    5.60   11.45    1.27    0.25    0.00    0.00    0.00   69.97
11時55分05秒  all   10.78    0.00    5.76   11.28    1.25    1.00    0.00    0.00    0.00   69.92
11時55分06秒  all   10.94    0.00    5.60   11.45    0.76    0.76    0.00    0.00    0.00   70.48
11時55分07秒  all   10.83    0.00    6.05   11.59    1.26    0.25    0.00    0.00    0.00   70.03
11時55分08秒  all   12.28    0.00    5.51   11.28    1.00    0.75    0.00    0.00    0.00   69.17
11時55分09秒  all   11.87    0.00    5.81   11.11    1.26    0.51    0.00    0.00    0.00   69.44
11時55分10秒  all   11.08    0.00    5.29   10.83    1.26    0.50    0.00    0.00    0.00   71.03
11時55分11秒  all   11.03    0.00    5.01   12.03    1.00    0.75    0.00    0.00    0.00   70.18
11時55分12秒  all   11.81    0.00    5.28   11.56    0.75    0.50    0.00    0.00    0.00   70.10
11時55分13秒  all   11.68    0.00    4.82   11.42    1.02    0.51    0.00    0.00    0.00   70.56
11時55分14秒  all   10.69    0.00    5.09   12.21    1.27    0.76    0.00    0.00    0.00   69.97
11時55分15秒  all   10.94    0.00    5.34   11.96    0.76    0.51    0.00    0.00    0.00   70.48
11時55分16秒  all   10.43    0.00    5.09   11.96    1.02    0.51    0.00    0.00    0.00   70.99
11時55分17秒  all   12.79    0.00    4.86   11.51    1.02    0.51    0.00    0.00    0.00   69.31
11時55分18秒  all    9.92    0.00    3.82   12.98    1.02    0.51    0.00    0.00    0.00   71.76
11時55分19秒  all   10.94    0.00    4.83   12.47    1.02    0.51    0.00    0.00    0.00   70.23
11時55分20秒  all   11.90    0.00    4.56   12.15    1.01    0.51    0.00    0.00    0.00   69.87
11時55分21秒  all   11.20    0.00    5.09   13.23    1.02    0.51    0.00    0.00    0.00   68.96
11時55分22秒  all   10.35    0.00    5.56   12.88    1.01    0.76    0.00    0.00    0.00   69.44
11時55分23秒  all   11.22    0.00    4.85   12.76    1.02    0.26    0.00    0.00    0.00   69.90
11時55分24秒  all    9.41    0.00    5.34   13.99    1.02    0.51    0.00    0.00    0.00   69.72
11時55分25秒  all   11.68    0.00    4.31   12.94    0.76    0.51    0.00    0.00    0.00   69.80
11時55分26秒  all   10.38    0.00    4.81   12.15    1.52    0.51    0.00    0.00    0.00   70.63
11時55分27秒  all   11.06    0.00    5.28   12.56    1.26    0.25    0.00    0.00    0.00   69.60
11時55分28秒  all   10.77    0.00    4.87   13.08    0.77    0.51    0.00    0.00    0.00   70.00
11時55分29秒  all   10.43    0.00    5.34   11.96    0.76    0.76    0.00    0.00    0.00   70.74
11時55分30秒  all    9.92    0.00    4.58   13.49    1.02    0.51    0.00    0.00    0.00   70.48
11時55分31秒  all    9.92    0.00    5.09   13.23    1.27    0.25    0.00    0.00    0.00   70.23
11時55分32秒  all   10.89    0.00    5.32   12.66    1.01    0.76    0.00    0.00    0.00   69.37
11時55分33秒  all   11.34    0.00    4.53   12.59    1.01    0.76    0.00    0.00    0.00   69.77
11時55分34秒  all   10.31    0.00    5.67   12.63    0.77    0.00    0.00    0.00    0.00   70.62
11時55分35秒  all   11.81    0.00    4.52   12.31    1.01    1.01    0.00    0.00    0.00   69.35
11時55分36秒  all   11.50    0.00    5.75   12.25    1.25    0.50    0.00    0.00    0.00   68.75
11時55分37秒  all   11.17    0.00    5.33   12.94    0.51    0.00    0.00    0.00    0.00   70.05
11時55分38秒  all   10.38    0.00    4.81   12.41    1.01    0.51    0.00    0.00    0.00   70.89
11時55分39秒  all    9.28    0.00    5.15   13.92    1.03    0.52    0.00    0.00    0.00   70.10
11時55分40秒  all   10.08    0.00    4.28   14.11    1.26    1.01    0.00    0.00    0.00   69.27
11時55分41秒  all   10.51    0.00    4.36   13.33    0.77    0.00    0.00    0.00    0.00   71.03
11時55分42秒  all   11.22    0.00    5.61   12.50    0.77    0.77    0.00    0.00    0.00   69.13
11時55分43秒  all   11.14    0.00    3.63   11.92    1.30    0.78    0.00    0.00    0.00   71.24
11時55分44秒  all   11.42    0.00    5.84   11.42    1.52    0.76    0.00    0.00    0.00   69.04
11時55分45秒  all   12.21    0.00    5.34   11.70    0.76    0.76    0.00    0.00    0.00   69.21
11時55分46秒  all   10.38    0.00    4.56   12.91    1.27    0.25    0.00    0.00    0.00   70.63
11時55分47秒  all   11.14    0.00    4.95   13.61    0.74    0.74    0.00    0.00    0.00   68.81
11時55分48秒  all   10.08    0.00    4.39   12.92    0.78    0.26    0.00    0.00    0.00   71.58
11時55分49秒  all   10.80    0.00    5.28   13.07    1.26    0.75    0.00    0.00    0.00   68.84
11時55分50秒  all   11.03    0.00    5.13   11.79    0.77    0.26    0.00    0.00    0.00   71.03
11時55分51秒  all   11.03    0.00    4.76   13.03    0.75    0.75    0.00    0.00    0.00   69.67
11時55分52秒  all    9.59    0.00    4.92   12.95    1.30    0.26    0.00    0.00    0.00   70.98
11時55分53秒  all   10.33    0.00    5.04   13.10    0.76    0.50    0.00    0.00    0.00   70.28
11時55分54秒  all    9.46    0.00    4.86   12.53    1.02    0.51    0.00    0.00    0.00   71.61
11時55分55秒  all   10.25    0.00    5.25   13.25    1.25    0.25    0.00    0.00    0.00   69.75
11時55分56秒  all   10.00    0.00    4.62   12.82    1.03    0.77    0.00    0.00    0.00   70.77
11時55分57秒  all   10.05    0.00    4.77   13.07    1.01    0.75    0.00    0.00    0.00   70.35
11時55分58秒  all   10.78    0.00    5.01   13.28    0.75    0.25    0.00    0.00    0.00   69.92
11時55分59秒  all   11.25    0.00    5.12   12.53    0.77    0.26    0.00    0.00    0.00   70.08
11時56分00秒  all   10.63    0.00    4.56   12.66    1.27    1.01    0.00    0.00    0.00   69.87
11時56分01秒  all   10.10    0.00    5.05   12.88    1.26    0.25    0.00    0.00    0.00   70.45
11時56分02秒  all   10.69    0.00    4.58   11.70    0.76    0.76    0.00    0.00    0.00   71.50
11時56分03秒  all   11.65    0.00    4.05   11.39    0.76    0.25    0.00    0.00    0.00   71.90
11時56分04秒  all   10.53    0.00    6.02   12.03    1.25    0.75    0.00    0.00    0.00   69.42
11時56分05秒  all   10.80    0.00    5.53   12.56    1.01    0.50    0.00    0.00    0.00   69.60
11時56分06秒  all   10.74    0.00    4.60   11.51    1.28    0.51    0.00    0.00    0.00   71.36
11時56分07秒  all    9.95    0.00    4.85   14.03    0.51    0.26    0.00    0.00    0.00   70.41
11時56分08秒  all    9.80    0.00    5.03   13.57    1.01    0.75    0.00    0.00    0.00   69.85
11時56分09秒  all   11.36    0.00    4.80   12.37    1.26    0.51    0.00    0.00    0.00   69.70
11時56分10秒  all    9.67    0.00    5.34   13.49    0.76    0.25    0.00    0.00    0.00   70.48
11時56分11秒  all    9.74    0.00    4.62   13.33    1.03    0.51    0.00    0.00    0.00   70.77
11時56分12秒  all    9.82    0.00    5.04   12.85    1.26    0.76    0.00    0.00    0.00   70.28
11時56分13秒  all   10.78    0.00    5.26   12.28    0.75    0.50    0.00    0.00    0.00   70.43
11時56分14秒  all   11.93    0.00    4.82   11.42    0.76    0.25    0.00    0.00    0.00   70.81
11時56分15秒  all   12.16    0.00    5.21   12.41    1.24    0.74    0.00    0.00    0.00   68.24
11時56分16秒  all   11.31    0.00    5.14   12.34    0.77    0.77    0.00    0.00    0.00   69.67
11時56分17秒  all   10.43    0.00    4.83   12.72    1.02    0.25    0.00    0.00    0.00   70.74
11時56分18秒  all   10.69    0.00    5.60   12.47    1.27    0.51    0.00    0.00    0.00   69.47
11時56分19秒  all   10.28    0.00    4.76   13.03    1.00    0.50    0.00    0.00    0.00   70.43
11時56分20秒  all   10.74    0.00    5.12   12.53    0.77    0.26    0.00    0.00    0.00   70.59
11時56分21秒  all   10.05    0.00    5.03   12.31    1.01    1.01    0.00    0.00    0.00   70.60
11時56分22秒  all    9.16    0.00    5.34   14.25    1.02    0.25    0.00    0.00    0.00   69.97
11時56分23秒  all    9.77    0.00    4.88   13.62    0.51    0.00    0.00    0.00    0.00   71.21
11時56分24秒  all   12.22    0.00    4.74   12.22    1.25    1.00    0.00    0.00    0.00   68.58
11時56分25秒  all   10.69    0.00    5.34   12.47    1.02    0.51    0.00    0.00    0.00   69.97
11時56分26秒  all   10.63    0.00    4.30   12.15    1.01    0.51    0.00    0.00    0.00   71.39
11時56分27秒  all   10.13    0.00    4.56   14.18    0.76    0.25    0.00    0.00    0.00   70.13
