procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   1024 255480   7372 7290980    0    0     0     1    0    0  0  0 100  0  0
 0  0   1024 235416   7372 7291032    0    0     0    43 14874 13053  5  4 92  0  0
 0  0   1024 233324   7372 7291040    0    0     0     0 9995 9353  1  2 97  0  0
 0  0   1024 233220   7372 7291088    0    0     0     0 12590 7193  0  2 98  0  0
 0  0   1024 231376   7372 7291104    0    0     0   180 7062 5881  1  2 98  0  0
 0  0   1024 232872   7372 7291116    0    0     0     0 4272 5229  1  2 98  0  0
 0  0   1024 232812   7372 7291116    0    0     0     0 3549 4638  1  1 99  0  0
 0  0   1024 233188   7372 7291116    0    0     0     0 3672 4646  1  1 98  0  0
 0  0   1024 230628   7372 7291128    0    0     0    30 4206 5005  1  2 97  0  0
 0  0   1024 232912   7372 7291132    0    0     0    68 3598 4668  1  1 98  0  0
 0  0   1024 232716   7372 7291132    0    0     0     0 4169 4750  1  1 99  0  0
 0  0   1024 232700   7372 7291136    0    0     0     0 4149 4770  1  1 98  0  0
 0  0   1024 232440   7372 7291156    0    0     0     0 4582 5543  1  2 97  0  0
 1  0   1024 232220   7372 7291160    0    0     0   189 4040 4774  1  1 98  0  0
 0  0   1024 232220   7372 7291168    0    0     0     0 3881 4398  1  1 98  0  0
 0  0   1024 231780   7372 7291188    0    0     0    19 4535 5337  1  2 97  0  0
 0  0   1024 231856   7372 7291180    0    0     0     0 3962 4570  1  2 98  0  0
 1  0   1024 231764   7372 7291180    0    0     0     0 3231 4060  1  1 98  0  0
 0  0   1024 231732   7372 7291180    0    0     0     0 2611 3234  0  1 99  0  0
 0  0   1024 231544   7372 7291192    0    0     0    22 3943 4401  1  3 96  0  0
 0  0   1024 231384   7372 7291192    0    0     0     0 2534 3242  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1024 231320   7372 7291196    0    0     0     0 2492 3179  1  1 99  0  0
 0  0   1024 229552   7372 7291196    0    0     0     0 2669 2976  1  2 97  0  0
 1  0   1024 231340   7372 7291212    0    0     0     0 2983 3489  1  2 97  0  0
 0  0   1024 231468   7372 7291212    0    0     0     0 1860 2519  0  1 99  0  0
 0  0   1024 231468   7372 7291212    0    0     0     0 2031 2383  0  1 99  0  0
 0  0   1024 229844   7372 7291212    0    0     0     0 2887 3389  1  1 98  0  0
 0  0   1024 231392   7372 7291236    0    0     0    26 2993 3658  1  2 98  0  0
 0  0   1024 231268   7372 7291240    0    0     0     0 2340 2752  0  1 98  0  0
 0  0   1024 231144   7372 7291240    0    0     0     0 2922 3325  1  1 99  0  0
 0  0   1024 230976   7372 7291244    0    0     0     0 3462 4066  2  2 97  0  0
 0  0   1024 231304   7372 7291256    0    0     0     0 2908 3673  1  1 98  0  0
 0  0   1024 231396   7372 7291260    0    0     0     0 2800 3507  1  1 98  0  0
 1  0   1024 229876   7372 7291260    0    0     0     0 2701 3170  1  1 98  0  0
 0  0   1024 231352   7372 7291276    0    0     0    27 3593 4070  1  2 97  0  0
 0  0   1024 228704   7372 7291276    0    0     0     0 3094 3841  1  1 98  0  0
 0  0   1024 228736   7372 7291276    0    0     0     0 3296 4163  1  1 99  0  0
 0  0   1024 228676   7372 7291296    0    0     0    26 4536 5017  1  3 96  0  0
 0  0   1024 228708   7372 7291300    0    0     0     0 3726 4600  1  1 98  0  0
 0  0   1024 228548   7372 7291300    0    0     0     0 3810 4346  0  1 98  0  0
 0  0   1024 204564   7372 7291316    0    0     0    88 3596 4024  3  2 95  0  0
 0  0   1024 204168   7372 7291332    0    0     0     0 4062 4608  1  2 96  0  0
