Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年05月23日 	_x86_64_	(4 CPU)

06時25分05秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06時25分06秒  all   52.91    0.00   21.52    4.56    2.28    3.80    0.00    0.00    0.00   14.94
06時25分07秒  all   54.43    0.00   19.24    8.10    2.28    3.54    0.00    0.00    0.00   12.41
06時25分08秒  all   54.57    0.00   20.81    5.58    2.28    4.06    0.00    0.00    0.00   12.69
06時25分09秒  all   54.82    0.00   20.05    5.84    2.54    3.55    0.00    0.00    0.00   13.20
06時25分10秒  all   54.82    0.00   20.81    6.09    2.28    3.81    0.00    0.00    0.00   12.18
06時25分11秒  all   52.93    0.00   21.12    6.36    2.54    4.07    0.00    0.00    0.00   12.98
06時25分12秒  all   55.75    0.00   19.44    5.88    1.79    4.09    0.00    0.00    0.00   13.04
06時25分13秒  all   56.27    0.00   21.23    5.12    2.56    3.58    0.00    0.00    0.00   11.25
06時25分14秒  all   53.18    0.00   21.88    6.11    2.54    4.07    0.00    0.00    0.00   12.21
06時25分15秒  all   52.02    0.00   22.22    6.57    2.53    4.04    0.00    0.00    0.00   12.63
06時25分16秒  all   53.32    0.00   21.43    6.89    2.81    4.08    0.00    0.00    0.00   11.48
06時25分17秒  all   53.98    0.00   20.31    6.68    2.06    3.86    0.00    0.00    0.00   13.11
06時25分18秒  all   54.20    0.00   21.88    6.11    2.54    4.07    0.00    0.00    0.00   11.20
06時25分19秒  all   54.59    0.00   21.43    6.12    2.55    3.57    0.00    0.00    0.00   11.73
06時25分20秒  all   52.02    0.00   22.22    6.57    2.53    4.04    0.00    0.00    0.00   12.63
06時25分21秒  all   52.56    0.00   21.54    6.92    2.31    3.85    0.00    0.00    0.00   12.82
06時25分22秒  all   54.12    0.00   21.39    6.44    2.32    4.38    0.00    0.00    0.00   11.34
06時25分23秒  all   54.85    0.00   20.41    5.87    2.55    3.57    0.00    0.00    0.00   12.76
06時25分24秒  all   52.51    0.00   21.61    7.04    2.51    4.02    0.00    0.00    0.00   12.31
06時25分25秒  all   53.71    0.00   20.46    6.14    2.30    4.35    0.00    0.00    0.00   13.04
06時25分26秒  all   54.45    0.00   20.87    6.11    2.80    3.56    0.00    0.00    0.00   12.21
