procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   1024 502712   7096 7028176    0    0     0     1    0    1  0  0 100  0  0
 0  0   1024 489836   7096 7028216    0    0     0     0 15520 15355  3  4 93  0  0
 1  0   1024 487120   7096 7028216    0    0     0     0 21177 22270  2  4 95  0  0
 0  0   1024 481856   7096 7028232    0    0     0    61 25325 26763  3  6 92  0  0
 2  0   1024 482500   7096 7028240    0    0     0    25 25691 27904  3  6 92  0  0
 1  0   1024 479852   7096 7028240    0    0     0   130 23367 25482  2  5 94  0  0
 0  0   1024 479276   7096 7028240    0    0     0     2 23266 25324  2  4 94  0  0
 1  0   1024 501036   7096 7003840    0    0     0     0 23231 25625  4  6 90  0  0
 0  0   1024 502480   7096 7003688    0    0     0    25 24352 26221  2  5 92  0  0
 1  0   1024 502352   7096 7003688    0    0     0     0 24982 26662  3  5 93  0  0
 0  0   1024 501840   7096 7003688    0    0     0     0 23567 25384  2  5 93  0  0
 1  0   1024 499736   7096 7003716    0    0     0    26 24127 25655  3  6 92  0  0
 0  0   1024 502584   7096 7003720    0    0     0     0 25356 27014  2  4 94  0  0
 1  0   1024 502456   7096 7003720    0    0     0     0 25057 26287  3  5 92  0  0
 2  0   1024 479896   7096 7003732    0    0     0     4 24150 25942  5  6 90  0  0
 1  0   1024 476260   7096 7003748    0    0     0    29 23929 25344  4  7 90  0  0
 0  0   1024 478532   7096 7003768    0    0     0     0 23255 25365  2  5 93  0  0
 0  0   1024 478392   7096 7003768    0    0     0     0 23654 25388  2  4 94  0  0
 1  0   1024 478280   7096 7003768    0    0     0     0 25164 27012  3  4 93  0  0
 0  0   1024 475528   7096 7003788    0    0     0    58 25969 27596  4  8 89  0  0
 0  0   1024 476672   7096 7003784    0    0     0     0 24605 26629  3  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   1024 476900   7096 7003788    0    0     0     0 24220 26264  2  4 94  0  0
 1  0   1024 477076   7096 7003788    0    0     0     0 24706 27129  3  5 93  0  0
 0  0   1024 477000   7096 7003808    0    0     0    50 24099 25098  5  7 89  0  0
 1  0   1024 477244   7096 7003816    0    0     0     0 25188 27040  3  6 92  0  0
 0  0   1024 476872   7096 7003820    0    0     0     0 24380 26082  3  5 92  0  0
 1  0   1024 476608   7096 7003820    0    0     0     0 23153 24786  2  5 94  0  0
 1  0   1024 476692   7096 7003852    0    0     0    22 25215 26746  4  6 90  0  0
 0  0   1024 477008   7096 7003844    0    0     0     0 25225 27128  2  5 93  0  0
 1  0   1024 476764   7096 7003844    0    0     0     0 26494 27921  3  5 92  0  0
 0  0   1024 475504   7096 7003848    0    0     0     0 24440 26075  3  5 92  0  0
 0  0   1024 476376   7096 7003876    0    0     0    26 23693 25378  3  6 91  0  0
 1  0   1024 500608   7096 7003880    0    0     0   268 25216 26550  8  7 85  0  0
 0  0   1024 500180   7096 7003880    0    0     0     0 25834 28136  3  5 92  0  0
 0  0   1024 498236   7096 7003884    0    0     0    80 26136 27612  4  6 90  0  0
 0  0   1024 500360   7096 7003904    0    0     0    42 24184 25759  3  6 91  0  0
 0  0   1024 500232   7096 7003904    0    0     0   212 24112 26205  2  4 94  0  0
 1  0   1024 500340   7096 7003904    0    0     0     0 25458 27284  2  4 93  0  0
 1  0   1024 498244   7096 7003916    0    0     0    23 25365 27008  3  5 92  0  0
 0  0   1024 500852   7096 7003940    0    0     0     0 25779 27510  3  6 91  0  0
 0  0   1024 501040   7096 7003952    0    0     0     0 24610 26884  3  5 92  0  0
 0  0   1024 501032   7096 7003956    0    0     0     0 24278 26103  2  4 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   1024 499368   7096 7003968    0    0     0    26 25099 26824  3  5 92  0  0
 1  0   1024 500920   7096 7003992    0    0     0    22 25869 28001  4  6 91  0  0
 0  0   1024 500968   7096 7003992    0    0     0    12 24574 26362  3  6 91  0  0
 1  0   1024 500704   7096 7003992    0    0     0     0 24503 26462  3  5 93  0  0
 3  0   1024 498868   7096 7004012    0    0     0     0 24012 25770  3  5 92  0  0
 0  0   1024 500796   7096 7004020    0    0     0    29 23611 25559  2  5 93  0  0
 0  0   1024 500444   7096 7004020    0    0     0     0 25642 27907  3  5 93  0  0
 0  0   1024 500100   7096 7004020    0    0     0     0 23381 25618  3  5 93  0  0
 1  0   1024 498548   7096 7004040    0    0     0    54 22030 23999  4  5 91  0  0
 0  0   1024 499872   7096 7004052    0    0     0     0 23351 25375  2  5 92  0  0
