procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0   2304 585668   6400 6938436    0    0     0     1    0    1  0  0 100  0  0
 0  0   2304 574656   6400 6938476    0    0     0     0 12947 13532  3  3 94  0  0
 0  0   2304 572612   6400 6938476    0    0     0     0 18697 20508  1  3 95  0  0
 0  0   2304 572108   6400 6938476    0    0     0     0 19078 21020  2  4 94  0  0
 0  0   2304 568824   6400 6938496    0    0     0    49 19504 20944  3  6 90  0  0
 0  0   2304 568592   6400 6938492    0    0     0     0 19506 21064  2  4 94  0  0
 1  0   2304 568368   6400 6938492    0    0     0   216 18515 20214  2  4 95  0  0
 1  0   2304 566852   6400 6938492    0    0     0     0 17902 19631  2  4 95  0  0
 1  0   2304 567272   6400 6938508    0    0     0    25 18988 20581  3  6 92  0  0
 1  0   2304 569092   6400 6938512    0    0     0     0 18858 20165  3  5 92  0  0
 1  0   2304 569068   6400 6938512    0    0     0     0 18617 19958  2  5 93  0  0
 0  0   2304 568908   6400 6938516    0    0     0     0 18605 20037  2  5 93  0  0
 0  0   2304 567224   6400 6938536    0    0     0     0 19048 20394  3  5 92  0  0
 0  0   2304 568532   6400 6938536    0    0     0    26 19903 21108  3  6 91  0  0
 0  0   2304 568852   6400 6938548    0    0     0     0 18959 20216  2  5 93  0  0
 2  0   2304 568500   6400 6938548    0    0     0     0 19775 21241  3  5 92  0  0
 2  0   2304 565932   6400 6938568    0    0     0    22 20031 21432  3  6 91  0  0
 0  0   2304 568440   6400 6938572    0    0     0     0 19344 21192  2  4 94  0  0
 1  0   2304 568600   6400 6938572    0    0     0     0 19702 21649  2  4 94  0  0
 0  0   2304 568184   6400 6938572    0    0     0     0 19840 21398  2  5 93  0  0
 1  0   2304 567892   6400 6938588    0    0     0    54 21025 22324  4  7 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2304 568172   6400 6938600    0    0     0     0 18956 20572  2  4 94  0  0
 1  0   2304 568140   6400 6938600    0    0     0     0 19364 20898  2  4 93  0  0
 0  0   2304 567280   6400 6938600    0    0     0    26 20699 22082  3  6 91  0  0
 1  0   2304 569032   6400 6938616    0    0     0    26 19852 21022  4  7 90  0  0
 0  0   2304 546724   6400 6938616    0    0     0     4 20173 21528  5  5 90  0  0
 0  0   2304 546672   6400 6938616    0    0     0     0 19479 21248  2  5 93  0  0
 0  0   2304 542404   6400 6938640    0    0     0    31 18764 20303  3  6 91  0  0
 0  0   2304 542844   6400 6938656    0    0     0     0 19393 21177  2  4 94  0  0
 0  0   2304 542820   6400 6938660    0    0     0     0 20477 22054  2  5 93  0  0
 1  0   2304 542636   6400 6938660    0    0     0   124 20530 22106  3  5 93  0  0
 0  0   2304 542796   6400 6938668    0    0     0    27 19747 21080  3  6 91  0  0
 0  0   2304 543028   6400 6938680    0    0     0     0 19100 20689  2  5 94  0  0
 2  0   2304 541692   6400 6938680    0    0     0     0 20277 21785  2  5 94  0  0
 1  0   2304 540004   6400 6938696    0    0     0     0 20483 21806  3  5 92  0  0
 0  0   2304 542020   6400 6938700    0    0     0    32 21095 22420  3  6 91  0  0
 0  0   2304 542436   6400 6938700    0    0     0   234 18627 20436  2  4 94  0  0
 0  0   2304 542988   6400 6938700    0    0     0     2 18909 20470  2  4 95  0  0
 2  0   2304 541112   6400 6938712    0    0     0    11 20329 21962  3  6 91  0  0
 0  0   2304 543096   6400 6938720    0    0     0     0 20546 22430  2  5 93  0  0
 0  0   2304 542132   6400 6938736    0    0     0     0 20092 21857  2  4 95  0  0
 2  0   2304 542292   6400 6938736    0    0     0     0 19247 20933  2  4 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2304 542204   6400 6938764    0    0     0   140 20409 22090  3  5 92  0  0
 0  0   2304 566332   6400 6938772    0    0     0   272 18489 19786  7  6 87  0  0
 0  0   2304 565884   6400 6938772    0    0     0     0 19947 21645  1  4 95  0  0
 5  0   2304 564372   6400 6938772    0    0     0     0 19585 21085  2  4 94  0  0
 0  0   2304 566452   6400 6938792    0    0     0    38 19528 21311  3  6 91  0  0
 0  0   2304 566584   6400 6938792    0    0     0     0 17598 19026  2  5 93  0  0
 0  0   2304 566796   6400 6938792    0    0     0     0 17259 18940  2  3 96  0  0
 0  0   2304 565368   6400 6938796    0    0     0     0 20157 21810  3  5 92  0  0
 0  0   2304 566696   6400 6938812    0    0     0    43 20713 22418  2  5 93  0  0
 1  0   2304 566820   6400 6938816    0    0     0     0 19032 20775  2  4 94  0  0
 1  0   2304 566692   6400 6938816    0    0     0     0 20306 22223  2  4 94  0  0
 0  0   2304 566180   6400 6938856    0    0     0    27 20789 22251  3  6 91  0  0
 0  0   2304 566652   6400 6938852    0    0     0     0 18988 20531  2  4 95  0  0
 1  0   2304 566712   6400 6938852    0    0     0     0 21154 23161  2  4 95  0  0
 0  0   2304 566652   6400 6938852    0    0     0     0 19282 20910  2  4 94  0  0
 1  0   2304 566580   6400 6938872    0    0     0    26 20466 21978  3  6 91  0  0
 0  0   2304 567168   6400 6938872    0    0     0     0 19675 21600  2  4 94  0  0
 0  0   2304 566940   6400 6938872    0    0     0     0 19143 20823  2  4 94  0  0
 0  0   2304 564832   6400 6938880    0    0     0    22 18999 20664  2  4 94  0  0
 0  0   2304 566816   6400 6938892    0    0     0    26 17810 19327  3  4 93  0  0
 0  0   2304 566536   6400 6938892    0    0     0     0 17196 18794  2  4 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2304 566656   6400 6938892    0    0     0     0 18575 20319  2  4 95  0  0
 1  0   2304 559592   6400 6946996    0    0     0     0 19064 20677  3  5 92  0  0
 2  0   2304 560708   6400 6947120    0    0     0    26 19907 21397  3  5 93  0  0
 0  0   2304 560692   6400 6947120    0    0     0     0 18505 20207  1  3 95  0  0
 0  0   2304 560280   6400 6947124    0    0     0   861 19164 21044  2  4 95  0  0
 2  0   2304 557864   6400 6947132    0    0     0    26 19020 20498  2  4 93  0  0
 0  0   2304 559648   6400 6947144    0    0     0     0 19045 20663  2  4 94  0  0
 0  0   2304 559392   6400 6947144    0    0     0     0 18039 19556  2  3 95  0  0
 0  0   2304 559172   6400 6947144    0    0     0     0 16440 17890  2  3 95  0  0
 0  0   2304 558448   6400 6947172    0    0     0    98 19651 21366  3  5 92  0  0
 0  0   2304 558832   6400 6947164    0    0     0     0 19449 21322  2  4 94  0  0
 1  0   2304 558548   6400 6947168    0    0     0     0 18790 20591  2  3 95  0  0
 0  0   2304 558552   6400 6947168    0    0     0     0 16811 18431  1  3 96  0  0
 1  0   2304 556620   6400 6947180    0    0     0    24 18890 20452  2  5 93  0  0
 0  0   2304 558400   6400 6947188    0    0     0    72 18998 20669  2  4 94  0  0
 0  0   2304 558624   6400 6947196    0    0     0     0 18678 20324  2  4 94  0  0
 0  0   2304 558828   6400 6947196    0    0     0     0 19415 20994  2  4 94  0  0
 0  0   2304 557252   6400 6947204    0    0     0    27 20844 22221  3  5 92  0  0
 0  0   2304 559556   6400 6947228    0    0     0    26 18574 20169  2  4 94  0  0
 1  0   2304 559144   6400 6947228    0    0     0     0 20533 22246  2  4 94  0  0
 0  0   2304 559172   6400 6947228    0    0     0    16 20543 22359  2  4 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
