Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年05月23日 	_x86_64_	(4 CPU)

12時31分37秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12時31分38秒  all    4.24    0.00    2.49    0.00    0.75    1.00    0.00    0.00    0.00   91.52
12時31分39秒  all    1.26    0.00    1.26    0.00    0.51    1.01    0.00    0.00    0.00   95.96
12時31分40秒  all    1.78    0.00    2.04    0.00    0.25    1.53    0.00    0.00    0.00   94.40
12時31分41秒  all    2.77    0.00    3.27    0.00    1.01    1.51    0.00    0.00    0.00   91.44
12時31分42秒  all    2.54    0.00    3.05    0.00    0.51    1.52    0.00    0.00    0.00   92.39
12時31分43秒  all    2.51    0.00    2.76    0.00    0.75    1.51    0.00    0.00    0.00   92.46
12時31分44秒  all    1.76    0.00    2.76    0.00    0.50    1.76    0.00    0.00    0.00   93.22
12時31分45秒  all    3.99    0.00    4.49    0.00    0.75    1.50    0.00    0.00    0.00   89.28
12時31分46秒  all    2.28    0.00    2.28    0.00    0.76    1.52    0.00    0.00    0.00   93.16
12時31分47秒  all    2.53    0.00    2.53    0.00    0.76    2.02    0.00    0.00    0.00   92.17
12時31分48秒  all    2.29    0.00    2.54    0.00    0.51    1.53    0.00    0.00    0.00   93.13
12時31分49秒  all    3.29    0.00    4.56    0.00    0.76    1.77    0.00    0.00    0.00   89.62
12時31分50秒  all    2.77    0.00    3.02    0.00    0.76    2.02    0.00    0.00    0.00   91.44
12時31分51秒  all    2.78    0.00    2.78    0.00    0.76    1.77    0.00    0.00    0.00   91.90
12時31分52秒  all    2.79    0.00    2.54    0.00    0.51    1.52    0.00    0.00    0.00   92.64
12時31分53秒  all    3.05    0.00    3.55    0.00    0.76    1.52    0.00    0.00    0.00   91.12
12時31分54秒  all    2.02    0.00    2.77    0.00    1.01    1.51    0.00    0.00    0.00   92.70
12時31分55秒  all    2.53    0.00    2.78    0.00    0.25    1.77    0.00    0.00    0.00   92.66
12時31分56秒  all    2.28    0.00    3.30    0.00    1.02    1.78    0.00    0.00    0.00   91.62
12時31分57秒  all    2.81    0.00    3.07    0.00    0.26    1.53    0.00    0.00    0.00   92.33
12時31分58秒  all    2.02    0.00    2.27    0.00    1.01    1.77    0.00    0.00    0.00   92.93
12時31分59秒  all    2.28    0.00    3.04    0.00    0.51    1.77    0.00    0.00    0.00   92.41
12時32分00秒  all    3.29    0.00    4.30    0.00    1.01    1.77    0.00    0.00    0.00   89.62
