procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
57  0      0 2595772     12 5985972    0    0    32  1033   12   10 12  5 82  1  0
45  0      0 2189376     12 5992464    0    0     8     0 74450 88715 59 35  7  0  0
54  0      0 2084328     12 5995152    0    0     0   183 77623 81169 69 27  4  0  0
41  0      0 1988336     12 5995176    0    0    20  6106 69340 78877 67 29  4  0  0
25  0      0 1895152     12 5995176    0    0     0 11372 66749 71191 66 30  3  1  0
18  0      0 1823328     12 5995208    0    0    28 15650 74476 77775 69 28  2  1  0
41  1      0 1778476     12 5995228    0    0    20 16624 74948 80203 69 27  3  1  0
51  1      0 1735408     12 5995348    0    0   120 15162 69775 75507 71 26  3  1  0
38  1      0 1701760     12 5995412    0    0    64 15249 69886 74956 71 26  3  1  0
65  3      0 1673092     12 5995448    0    0    32 15500 70937 73403 70 27  3  1  0
35  0      0 1645720     12 5995480    0    0    32 15650 73179 77301 71 27  2  1  0
46  0      0 1609116     12 5999632    0    0    52 15795 74585 78826 70 27  2  1  0
24  2      0 1581764     12 5999648    0    0    16 15893 74680 80152 68 28  3  1  0
46  3      0 1557148     12 5999708    0    0    68 16123 72403 77452 71 26  2  1  0
58  1      0 1536900     12 5999776    0    0    48 15283 68627 72156 71 26  2  1  0
82  3      0 1514488     12 5999804    0    0    40 16779 71591 76108 71 27  2  1  0
48  0      0 1488296     12 5999868    0    0    64 15626 70099 77160 70 26  3  1  0
58  0      0 1470384     12 6000156    0    0    20 15228 66950 71671 70 27  3  1  0
49  2      0 1450108     12 6000208    0    0    52 16366 74045 77190 69 27  3  1  0
24  2      0 1430504     12 6000260    0    0    40 15250 70708 76390 69 29  2  1  0
53  0      0 1397764     12 6017132    0    0    28 29795 64016 69189 73 25  2  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  1      0 1357836     12 6038588    0    0    64 36156 62830 68810 73 25  2  1  0
49  3      0 1326092     12 6048444    0    0    40 26307 73354 78441 70 27  1  1  0
64  2      0 1300748     12 6059756    0    0    60 27069 72067 77533 73 25  2  1  0
47  2      0 1340656     12 6003560    0    0    28 20944 71224 76522 68 29  3  1  0
43  2      0 1323292     12 6003608    0    0    64 18056 78904 83501 73 25  2  1  0
66  5      0 1299928     12 6003628    0    0     0 16862 74456 81106 70 26  3  1  0
70  4      0 1287224     12 6003640    0    0    12 16165 71299 78237 67 27  4  1  0
25  2      0 1269908     12 6003752    0    0   128 17936 77335 83858 71 25  2  1  0
47  1      0 1254216     12 6003820    0    0    48 16040 71567 76553 70 27  2  1  0
80  1      0 1234752     12 6003924    0    0    48 16674 76408 81431 71 25  2  1  0
13  0      0 1217560     12 6003968    0    0    44 16749 74143 82136 70 27  3  1  0
50  2      0 1202492     12 6004032    0    0    60 16756 74376 82741 69 27  3  1  0
