procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   2560 624704   5952 6897036    0    0     0     1    0    0  0  0 100  0  0
 0  0   2560 607132   5952 6897076    0    0     0     0 25791 19535  6  5 89  0  0
 1  0   2560 602196   5952 6897076    0    0     0     0 16077 15188  2  3 95  0  0
 0  0   2560 592764   5952 6897088    0    0     0    28 24230 23457  3  7 91  0  0
 0  0   2560 589520   5952 6897096    0    0     0     0 31364 31024  4  7 90  0  0
 0  0   2560 587548   5952 6897096    0    0     0    76 35311 35935  3  7 90  0  0
 0  0   2560 561948   5952 6897096    0    0     0     4 32861 35360  5  6 89  0  0
 0  0   2560 557496   5952 6897116    0    0     0    24 32094 34049  4  7 89  0  0
 1  0   2560 558760   5952 6897116    0    0     0     0 33615 35127  3  7 90  0  0
 0  0   2560 556248   5952 6897116    0    0     0     0 35318 37356  3  6 91  0  0
 0  0   2560 556364   5952 6897116    0    0     0     0 33962 35779  3  6 91  0  0
 1  0   2560 555948   5952 6897148    0    0     0   116 32543 34173  4  7 89  0  0
 5  0   2560 555548   5952 6897148    0    0     0     0 33678 35522  3  6 91  0  0
 0  0   2560 555844   5952 6897152    0    0     0     0 32765 33940  4  6 90  0  0
 1  0   2560 553448   5952 6897164    0    0     0     0 34186 36364  3  7 90  0  0
 0  0   2560 554772   5952 6897180    0    0     0    25 33692 35643  4  8 88  0  0
 1  0   2560 554700   5952 6897180    0    0     0   253 33010 34518  3  6 91  0  0
 1  0   2560 554476   5952 6897180    0    0     0     0 33833 35393  3  6 91  0  0
 1  0   2560 552900   5952 6897192    0    0     0    15 33623 35566  4  7 88  0  0
 0  0   2560 555000   5952 6897200    0    0     0     0 35265 37643  4  7 90  0  0
 1  0   2560 555528   5952 6897200    0    0     0     0 35612 37598  4  7 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 555236   5952 6897204    0    0     0     0 35635 38188  3  7 90  0  0
 0  0   2560 554836   5952 6897216    0    0     0    31 33842 36300  5  7 88  0  0
