Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年05月25日 	_x86_64_	(4 CPU)

21時16分43秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21時16分44秒  all    3.54    0.00    2.27    0.00    0.25    1.26    0.00    0.00    0.00   92.68
21時16分45秒  all    1.78    0.00    2.29    0.00    0.51    1.02    0.00    0.00    0.00   94.40
21時16分46秒  all    2.26    0.00    2.01    0.00    0.75    1.76    0.00    0.00    0.00   93.22
21時16分47秒  all    2.01    0.00    2.51    0.00    0.75    1.01    0.00    0.00    0.00   93.72
21時16分48秒  all    2.26    0.00    2.76    0.00    0.50    1.75    0.00    0.00    0.00   92.73
21時16分49秒  all    1.52    0.00    2.54    0.00    0.76    1.27    0.00    0.00    0.00   93.91
21時16分50秒  all    1.77    0.00    2.27    0.00    0.51    1.52    0.00    0.00    0.00   93.94
21時16分51秒  all    2.51    0.00    2.26    0.00    0.50    1.26    0.00    0.00    0.00   93.47
21時16分52秒  all    1.52    0.00    2.03    0.00    0.76    1.27    0.00    0.00    0.00   94.43
21時16分53秒  all    2.02    0.00    2.27    0.00    0.51    1.01    0.00    0.00    0.00   94.19
21時16分54秒  all    1.75    0.00    2.51    0.00    0.75    1.50    0.00    0.00    0.00   93.48
21時16分55秒  all    2.01    0.00    2.51    0.00    0.50    1.26    0.00    0.00    0.00   93.72
21時16分56秒  all    2.27    0.00    1.77    0.00    0.76    1.52    0.00    0.00    0.00   93.69
21時16分57秒  all    1.53    0.00    2.30    0.00    0.00    1.28    0.00    0.00    0.00   94.88
21時16分58秒  all    1.75    0.00    2.26    0.00    1.00    1.25    0.00    0.00    0.00   93.73
21時16分59秒  all    2.02    0.00    2.02    0.00    0.51    1.26    0.00    0.00    0.00   94.19
21時17分00秒  all    1.78    0.00    1.78    0.00    0.51    1.52    0.00    0.00    0.00   94.42
21時17分01秒  all    3.79    0.00    2.78    0.00    0.76    1.01    0.00    0.00    0.00   91.67
21時17分02秒  all    2.26    0.00    2.01    0.00    0.50    1.26    0.00    0.00    0.00   93.97
21時17分03秒  all    2.26    0.00    2.76    0.00    0.25    1.26    0.00    0.00    0.00   93.47
21時17分04秒  all    1.52    0.00    2.27    0.00    1.01    1.26    0.00    0.00    0.00   93.94
21時17分05秒  all    2.27    0.00    2.02    0.00    0.50    1.51    0.00    0.00    0.00   93.70
21時17分06秒  all    1.77    0.00    2.53    0.00    0.51    1.27    0.00    0.00    0.00   93.92
21時17分07秒  all    2.50    0.00    2.00    0.00    0.75    1.50    0.00    0.00    0.00   93.25
21時17分08秒  all    1.78    0.00    2.03    0.00    0.51    0.76    0.00    0.00    0.00   94.92
21時17分09秒  all    1.76    0.00    2.26    0.00    0.50    1.51    0.00    0.00    0.00   93.97
21時17分10秒  all    1.78    0.00    1.78    0.00    0.76    1.52    0.00    0.00    0.00   94.16
21時17分11秒  all    2.02    0.00    2.27    0.00    0.76    1.01    0.00    0.00    0.00   93.95
21時17分12秒  all    1.52    0.00    2.27    0.00    0.51    1.26    0.00    0.00    0.00   94.44
21時17分13秒  all    2.26    0.00    2.01    0.00    0.25    1.51    0.00    0.00    0.00   93.97
21時17分14秒  all    1.52    0.00    2.03    0.00    0.76    1.02    0.00    0.00    0.00   94.67
21時17分15秒  all    2.02    0.00    2.27    0.00    0.50    1.26    0.00    0.00    0.00   93.95
21時17分16秒  all    2.54    0.00    1.78    0.00    0.51    1.27    0.00    0.00    0.00   93.91
21時17分17秒  all    2.00    0.00    2.24    0.00    1.00    1.75    0.00    0.00    0.00   93.02
21時17分18秒  all    1.79    0.00    2.55    0.00    0.26    1.02    0.00    0.00    0.00   94.39
21時17分19秒  all    3.26    0.00    3.01    0.00    1.00    1.50    0.00    0.00    0.00   91.23
21時17分20秒  all    6.58    0.00    2.78    0.00    0.25    1.52    0.00    0.00    0.00   88.86
21時17分21秒  all    2.02    0.00    2.27    0.00    0.76    1.01    0.00    0.00    0.00   93.95
21時17分22秒  all    1.52    0.00    1.78    0.00    0.51    1.52    0.00    0.00    0.00   94.67
21時17分23秒  all    2.27    0.00    2.52    0.00    0.76    1.01    0.00    0.00    0.00   93.45
21時17分24秒  all    2.01    0.00    2.26    0.00    0.50    1.50    0.00    0.00    0.00   93.73
21時17分25秒  all    1.79    0.00    1.79    0.00    0.26    1.28    0.00    0.00    0.00   94.90
21時17分26秒  all    2.02    0.00    2.02    0.00    1.01    1.51    0.00    0.00    0.00   93.45
21時17分27秒  all    2.76    0.00    2.51    0.00    0.50    1.25    0.00    0.00    0.00   92.98
21時17分28秒  all    2.01    0.00    2.26    0.00    0.50    1.76    0.00    0.00    0.00   93.47
21時17分29秒  all    2.53    0.00    2.27    0.00    0.76    0.76    0.00    0.00    0.00   93.69
21時17分30秒  all    2.02    0.00    1.77    0.00    0.76    1.52    0.00    0.00    0.00   93.94
21時17分31秒  all    2.51    0.00    3.01    0.00    0.25    1.25    0.00    0.00    0.00   92.98
21時17分32秒  all    1.76    0.00    2.26    0.00    1.26    1.26    0.00    0.00    0.00   93.47
21時17分33秒  all    2.25    0.00    2.25    0.00    0.25    1.75    0.00    0.00    0.00   93.50
21時17分34秒  all    2.04    0.00    2.29    0.00    0.25    1.02    0.00    0.00    0.00   94.40
21時17分35秒  all    1.99    0.00    2.49    0.00    1.00    1.74    0.00    0.00    0.00   92.79
21時17分36秒  all    2.28    0.00    2.54    0.00    0.51    1.27    0.00    0.00    0.00   93.40
21時17分37秒  all    2.02    0.00    2.52    0.00    1.01    1.01    0.00    0.00    0.00   93.45
21時17分38秒  all    2.04    0.00    2.04    0.00    0.00    1.53    0.00    0.00    0.00   94.40
21時17分39秒  all    1.77    0.00    1.77    0.00    1.01    1.52    0.00    0.00    0.00   93.94
21時17分40秒  all    1.78    0.00    2.29    0.00    0.25    1.02    0.00    0.00    0.00   94.66
21時17分41秒  all    2.00    0.00    2.50    0.00    1.00    1.50    0.00    0.00    0.00   93.00
21時17分42秒  all    2.26    0.00    2.51    0.00    0.50    1.26    0.00    0.00    0.00   93.47
