procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0      0 12810192     28 1514692    0    0     1   128    3    9  2  1 97  0  0
 0  0      0 12828768     28 1512964    0    0     0    40 25578 15066  2  6 92  0  0
 0  0      0 12828200     28 1512948    0    0     0   291 31060 21808  2  7 91  0  0
 0  0      0 12824884     28 1513048    0    0     0  1752 29989 21242  2  6 92  0  0
 0  0      0 12818028     28 1514580    0    0     0     0 28746 20929  7  7 87  0  0
 0  0      0 12815864     28 1514584    0    0     0     0 32160 23513  2  7 91  0  0
 0  0      0 12815048     28 1514736    0    0     0     0 32155 22486  1  6 93  0  0
 0  0      0 12815176     28 1514844    0    0     0   285 32246 22768  1  6 93  0  0
 0  0      0 12813580     28 1514844    0    0     0  1704 31156 22373  3  7 90  0  0
 1  0      0 12817416     28 1513460    0    0     0    24 31052 22029  4  9 88  0  0
 0  0      0 12817308     28 1513464    0    0     0     8 30945 22148  3 10 88  0  0
 0  0      0 12817408     28 1514124    0    0    36   841 27518 20823 10  9 81  0  0
 0  0      0 12817352     28 1514176    0    0     0   126 30917 21657  1  8 91  0  0
 0  0      0 12818152     28 1514176    0    0     0  1600 29897 20507  2  9 90  0  0
 0  0      0 12812204     28 1514528    0    0     0  3197 28223 20746  8  9 83  0  0
 0  0      0 12814028     28 1513092    0    0     0    50 30535 21465  2  9 89  0  0
 0  0      0 12820856     28 1513384    0    0     0     0 28813 20225  1  9 90  0  0
 0  0      0 12820560     28 1513384    0    0     0   147 30883 21717  2  9 89  0  0
 0  0      0 12819804     28 1514924    0    0     0   748 25450 17645 10  8 81  0  0
 1  0      0 12825452     28 1514928    0    0     0    24 31863 22271  4  9 87  0  0
 0  0      0 12829204     28 1514928    0    0     0     8 31081 25268  9 10 81  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12828588     28 1515088    0    0     0     0 31069 22400  2  8 91  0  0
 0  0      0 12830132     28 1513744    0    0     0   312 27778 19831  3  8 89  0  0
 0  0      0 12830276     28 1513744    0    0     0  1776 31759 21670  2  9 89  0  0
 0  0      0 12829688     28 1513788    0    0     0     8 31833 21505  2  8 90  0  0
 1  0      0 12828808     28 1515324    0    0     0     8 29083 20406  9 10 82  0  0
 0  0      0 12828096     28 1515324    0    0     0     8 31183 22320  2  8 90  0  0
 1  0      0 12829124     28 1514452    0    0     0   334 25597 17354  2  7 92  0  0
 0  0      0 12829152     28 1514560    0    0     0  1588 30220 20509  2  9 90  0  0
 0  0      0 12826372     28 1514716    0    0     0     0 30862 22561  3  9 88  0  0
 0  0      0 12827348     28 1513276    0    0     0     8 31811 22355  3  8 89  0  0
 1  0      0 12828668     28 1513080    0    0     8   456 31437 21725  3  8 89  0  0
 0  0      0 12822820     28 1514612    0    0     0     0 27252 20082  8  9 83  0  0
 0  0      0 12821316     28 1514616    0    0     0   272 28625 19973  3  9 89  0  0
 1  0      0 12820892     28 1514616    0    0     0     8 30006 20422  2  9 90  0  0
 0  0      0 12820308     28 1514620    0    0     0     0 31335 22760  3 10 88  0  0
 1  0      0 12819820     28 1513404    0    0     0     0 31151 22117  2  7 91  0  0
 0  0      0 12819340     28 1513324    0    0     0     8 31055 21061  2  8 90  0  0
 0  0      0 12822296     28 1513324    0    0     0    24 28800 20320  4 10 86  0  0
 1  0      0 12817608     28 1514912    0    0     0  1716 28156 19882 10  9 81  0  0
 0  0      0 12816596     28 1514916    0    0     0     8 31183 22573  3  9 88  0  0
 0  0      0 12815872     28 1514916    0    0     0     0 32047 23346  2  9 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12816400     28 1515012    0    0     0   310 30793 21144  1  9 90  0  0
 0  0      0 12816788     28 1513568    0    0     0     8 29221 21204  2  7 91  0  0
 0  0      0 12821832     28 1513920    0    0     0  1624 28061 20301  7 10 83  0  0
 1  0      0 12821996     28 1513924    0    0     0  2664 31200 21586  3  9 88  0  0
 0  0      0 12812204     28 1515832    0    0     0     0 25465 17284 10  9 82  0  0
 0  0      0 12811792     28 1515956    0    0     0   288 25819 17959  4 10 86  0  0
 0  0      0 12817596     28 1515956    0    0     0    24 24417 15974  4 10 86  0  0
 2  0      0 12818864     28 1516008    0    0     0  2192 23879 15672  5 10 85  0  0
 4  0      0 12814064     28 1514564    0    0     0     0 24160 15859  3 11 86  0  0
 0  0      0 12824216     28 1514720    0    0     0     0 24373 15292  3 10 87  0  0
 1  0      0 12827908     28 1515120    0    0     0   443 25865 16841  4 11 86  0  0
 1  0      0 12824344     28 1516660    0    0     0     0 20581 13361 11 11 79  0  0
 2  0      0 12825196     28 1516708    0    0    56   302 23922 16507  9 12 79  0  0
 0  0      0 12827672     28 1514120    0    0     0  1732 24024 15274  7 11 81  0  0
 0  0      0 12827188     28 1514120    0    0     0    16 25189 16099  2 10 87  0  0
 1  0      0 12834120     28 1513248    0    0     0     8 25079 17053  3 10 87  0  0
 0  0      0 12834912     28 1511800    0    0     0     0 24096 15637  2 11 87  0  0
 1  0      0 12832852     28 1511960    0    0     0  1696 23606 15337  3 11 86  0  0
 3  0      0 12825400     28 1513500    0    0     0     8 22632 16027 14 13 74  0  0
 0  0      0 12827676     28 1513312    0    0     0   178 24447 16064  4 11 85  0  0
 0  0      0 12828052     28 1513244    0    0     0   217 26141 17000  2 10 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12828632     28 1513248    0    0     0    24 24223 16425  5 12 82  0  0
 0  0      0 12830424     28 1511804    0    0     0  1576 25310 16416  2 10 88  0  0
 1  0      0 12829808     28 1511808    0    0     0     0 25095 16562  2 10 88  0  0
 1  0      0 12831976     28 1511968    0    0     0     0 25179 17429  3 11 86  0  0
 1  0      0 12824772     28 1513616    0    0     0   297 23022 15323  9 10 81  0  0
 0  0      0 12825156     28 1513616    0    0     0    24 26411 17088  4 10 86  0  0
 0  0      0 12827724     28 1513660    0    0     0  1796 26324 18954  5 10 85  0  0
 0  0      0 12828116     28 1513664    0    0     0     8 26567 17780  4 11 86  0  0
