procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   2560 614972   5952 6908804    0    0     0     1    1    0  0  0 100  0  0
 1  0   2560 600352   5952 6908860    0    0     0    36 20305 17017  5  4 91  0  0
 0  0   2560 597516   5952 6908860    0    0     0     0 23652 23983  2  5 93  0  0
 1  0   2560 592068   5952 6908872    0    0     0    30 30388 30799  4  7 89  0  0
 0  0   2560 592868   5952 6908876    0    0     0    24 31561 33182  3  7 90  0  0
 1  0   2560 591348   5952 6908876    0    0     0     0 32230 33444  4  6 91  0  0
 0  0   2560 590264   5952 6908876    0    0     0     0 32393 34474  3  6 91  0  0
 0  0   2560 588976   5952 6908904    0    0     0   169 31384 32321  4  8 88  0  0
 0  0   2560 588968   5952 6908904    0    0     0     0 30351 31701  3  5 92  0  0
 0  0   2560 588160   5952 6908904    0    0     0     0 32173 34202  3  7 90  0  0
 1  0   2560 576236   5952 6908904    0    0     0     0 31996 33916  4  7 89  0  0
 0  0   2560 562144   5952 6908912    0    0     0    37 30977 32852  5  8 88  0  0
 0  0   2560 562544   5952 6908920    0    0     0     0 31937 33865  3  6 91  0  0
 1  0   2560 562240   5952 6908924    0    0     0     0 31392 32900  3  6 91  0  0
 0  0   2560 561712   5952 6908928    0    0     0     0 33187 34866  3  6 91  0  0
 0  0   2560 560892   5952 6908948    0    0     0    21 31892 34435  4  8 89  0  0
 1  0   2560 562004   5952 6908948    0    0     0     0 31083 33708  3  6 92  0  0
 1  0   2560 561688   5952 6908948    0    0     0     0 32180 34064  3  6 92  0  0
 0  0   2560 560084   5952 6908948    0    0     0     0 32116 33733  3  6 91  0  0
 0  0   2560 560956   5952 6908968    0    0     0    25 33365 36372  4  8 89  0  0
 0  0   2560 560192   5952 6908968    0    0     0     0 26643 28556  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 560316   5952 6908972    0    0     0     4 26777 28055  2  5 93  0  0
 0  0   2560 559996   5952 6908972    0    0     0    25 32441 33024  4  6 90  0  0
 0  0   2560 561600   5952 6908992    0    0     0    25 30804 32006  4  6 90  0  0
 0  0   2560 561528   5952 6908992    0    0     0     0 29725 30917  3  6 91  0  0
 0  0   2560 561260   5952 6908992    0    0     0     0 33565 35291  3  6 91  0  0
 0  0   2560 560012   5952 6909000    0    0     0    32 32629 34689  3  6 91  0  0
 0  0   2560 560436   5952 6909024    0    0     0    17 32554 34616  4  7 89  0  0
 3  0   2560 560804   5952 6909024    0    0     0     0 34016 36264  4  7 90  0  0
 0  0   2560 584740   5952 6909024    0    0     0   268 30354 33034  9  8 83  0  0
 1  0   2560 583004   5952 6909032    0    0     0     0 33334 35782  4  7 90  0  0
 0  0   2560 585568   5952 6909040    0    0     0    41 31968 33643  4  7 89  0  0
 0  0   2560 585824   5952 6909040    0    0     0    64 32828 34501  3  6 92  0  0
 2  0   2560 586156   5952 6909040    0    0     0     0 32857 35361  3  6 91  0  0
 1  0   2560 584428   5952 6909056    0    0     0    27 34025 36592  4  7 89  0  0
 0  0   2560 585884   5952 6909064    0    0     0     0 33186 35293  3  7 90  0  0
 0  0   2560 585588   5952 6909064    0    0     0     0 32231 34266  3  6 91  0  0
 0  0   2560 585524   5952 6909064    0    0     0   322 33546 35546  3  5 92  0  0
 0  0   2560 582896   5952 6909068    0    0     0    10 32026 34380  4  7 89  0  0
 1  0   2560 585480   5952 6909084    0    0     0     0 30818 32866  3  6 91  0  0
 0  0   2560 585260   5952 6909092    0    0     0     0 31774 33742  3  6 91  0  0
 0  0   2560 585480   5952 6909092    0    0     0     0 31291 33797  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   2560 584164   5952 6909092    0    0     0    32 31251 32831  4  6 90  0  0
 0  0   2560 585556   5952 6909120    0    0     0    89 32302 33582  3  7 90  0  0
 0  0   2560 585344   5952 6909120    0    0     0     0 31860 33762  3  6 91  0  0
 1  0   2560 585380   5952 6909120    0    0     0     0 30745 32490  4  6 90  0  0
 2  0   2560 583756   5952 6909120    0    0     0     0 29965 31522  3  7 90  0  0
 0  0   2560 584956   5952 6909144    0    0     0    28 30437 31405  4  7 89  0  0
 1  0   2560 585456   5952 6909144    0    0     0    52 28271 29078  2  6 92  0  0
 1  0   2560 585444   5952 6909144    0    0     0     0 31348 32939  3  6 91  0  0
 0  0   2560 582840   5952 6909156    0    0     0    28 31908 33268  4  7 89  0  0
 0  0   2560 585244   5952 6909168    0    0     0     0 31279 32591  3  6 91  0  0
 0  0   2560 585476   5952 6909172    0    0     0     0 31251 32607  3  7 90  0  0
 1  0   2560 585416   5952 6909176    0    0     0     0 33075 34926  3  7 91  0  0
 1  0   2560 582064   5952 6909200    0    0     0    32 31563 33379  5  8 87  0  0
 0  0   2560 584448   5952 6909192    0    0     0     0 31417 34024  3  6 91  0  0
 1  0   2560 584764   5952 6909192    0    0     0     0 31966 33668  3  6 91  0  0
 1  0   2560 584856   5952 6909192    0    0     0     0 31458 32975  3  6 91  0  0
 0  0   2560 583836   5952 6909216    0    0     0    21 32422 33558  4  8 88  0  0
 1  0   2560 584500   5952 6909212    0    0     0    72 32553 34550  3  6 91  0  0
 0  0   2560 584636   5952 6909212    0    0     0     0 31537 33921  2  5 92  0  0
 0  0   2560 583524   5952 6909216    0    0     0     0 31046 32694  3  6 91  0  0
 2  0   2560 584176   5952 6909244    0    0     0    47 31190 33070  4  8 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 584388   5952 6909240    0    0     0     0 31130 32769  3  6 91  0  0
 1  0   2560 584532   5952 6909244    0    0     0     0 32094 34180  3  6 91  0  0
 1  0   2560 584924   5952 6909244    0    0     0     0 33335 34945  2  6 92  0  0
 0  0   2560 584392   5952 6909268    0    0     0    25 31916 33742  4  8 88  0  0
 1  0   2560 584600   5952 6909268    0    0     0   126 33491 34797  2  7 91  0  0
 0  0   2560 584436   5952 6909268    0    0     0     0 33225 35222  3  6 91  0  0
 1  0   2560 581512   5952 6909284    0    0     0     0 32567 35036  3  7 89  0  0
 1  0   2560 584364   5952 6909288    0    0     0    25 32366 34348  4  7 90  0  0
 0  0   2560 562076   5952 6909288    0    0     0     4 30568 32494  5  6 89  0  0
 1  0   2560 561932   5952 6909288    0    0     0     0 31404 32553  3  7 91  0  0
 0  0   2560 558956   5952 6909296    0    0     0    30 32824 34327  4  8 89  0  0
 2  0   2560 559816   5952 6909308    0    0     0     0 33234 35195  4  7 89  0  0
 1  0   2560 559324   5952 6909308    0    0     0    92 32757 35216  2  6 91  0  0
 0  0   2560 558792   5952 6909308    0    0     0     0 31649 33795  3  6 91  0  0
 0  0   2560 559360   5952 6909336    0    0     0    22 32445 33780  3  8 89  0  0
 0  0   2560 559108   5952 6909336    0    0     0     0 31020 32392  2  5 93  0  0
 1  0   2560 559588   5952 6909336    0    0     0     0 33753 35679  3  6 91  0  0
 0  0   2560 558940   5952 6909340    0    0     0    31 32000 33911  3  7 91  0  0
 1  0   2560 560016   5952 6909360    0    0     0    26 30896 32615  4  7 89  0  0
 1  0   2560 560076   5952 6909360    0    0     0     0 32404 34498  2  6 92  0  0
 1  0   2560 560348   5952 6909360    0    0     0     0 32282 34311  3  6 91  0  0
