2026/05/25 20:35:40 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 8.6, Count: 149, TPM: 1035.6, Sum(ms): 44474.5, Avg(ms): 298.9, 50th(ms): 302.0, 90th(ms): 419.4, 95th(ms): 436.2, 99th(ms): 637.5, 99.9th(ms): 671.1, Max(ms): 671.1
[Current] NEW_ORDER - Takes(s): 8.9, Count: 1803, TPM: 12179.6, Sum(ms): 382399.4, Avg(ms): 212.3, 50th(ms): 201.3, 90th(ms): 318.8, 95th(ms): 352.3, 99th(ms): 637.5, 99.9th(ms): 805.3, Max(ms): 838.9
[Current] ORDER_STATUS - Takes(s): 9.1, Count: 186, TPM: 1232.1, Sum(ms): 10432.8, Avg(ms): 56.2, 50th(ms): 41.9, 90th(ms): 104.9, 95th(ms): 130.0, 99th(ms): 318.8, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] PAYMENT - Takes(s): 9.1, Count: 1694, TPM: 11212.4, Sum(ms): 125953.5, Avg(ms): 74.3, 50th(ms): 65.0, 90th(ms): 100.7, 95th(ms): 130.0, 99th(ms): 352.3, 99.9th(ms): 453.0, Max(ms): 637.5
[Current] STOCK_LEVEL - Takes(s): 9.0, Count: 166, TPM: 1110.6, Sum(ms): 22482.1, Avg(ms): 135.2, 50th(ms): 142.6, 90th(ms): 243.3, 95th(ms): 285.2, 99th(ms): 318.8, 99.9th(ms): 318.8, Max(ms): 318.8
[Current] DELIVERY - Takes(s): 10.0, Count: 197, TPM: 1183.2, Sum(ms): 51922.1, Avg(ms): 263.9, 50th(ms): 260.0, 90th(ms): 335.5, 95th(ms): 369.1, 99th(ms): 604.0, 99.9th(ms): 671.1, Max(ms): 671.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 2160, TPM: 12969.1, Sum(ms): 424149.2, Avg(ms): 196.4, 50th(ms): 192.9, 90th(ms): 285.2, 95th(ms): 318.8, 99th(ms): 369.1, 99.9th(ms): 503.3, Max(ms): 872.4
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 210, TPM: 1266.4, Sum(ms): 7863.2, Avg(ms): 37.4, 50th(ms): 35.7, 90th(ms): 58.7, 95th(ms): 67.1, 99th(ms): 88.1, 99.9th(ms): 113.2, Max(ms): 113.2
[Current] PAYMENT - Takes(s): 10.0, Count: 2034, TPM: 12208.6, Sum(ms): 135180.5, Avg(ms): 66.5, 50th(ms): 62.9, 90th(ms): 88.1, 95th(ms): 109.1, 99th(ms): 176.2, 99.9th(ms): 285.2, Max(ms): 385.9
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 203, TPM: 1224.8, Sum(ms): 19262.4, Avg(ms): 95.1, 50th(ms): 100.7, 90th(ms): 184.5, 95th(ms): 209.7, 99th(ms): 260.0, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] DELIVERY - Takes(s): 10.0, Count: 186, TPM: 1118.9, Sum(ms): 48691.8, Avg(ms): 261.5, 50th(ms): 251.7, 90th(ms): 335.5, 95th(ms): 369.1, 99th(ms): 486.5, 99.9th(ms): 637.5, Max(ms): 637.5
