2026/06/14 00:51:10 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.0, Count: 24, TPM: 159.6, Sum(ms): 6331.8, Avg(ms): 264.3, 50th(ms): 234.9, 90th(ms): 453.0, 95th(ms): 486.5, 99th(ms): 503.3, 99.9th(ms): 503.3, Max(ms): 503.3
[Current] NEW_ORDER - Takes(s): 9.5, Count: 275, TPM: 1742.2, Sum(ms): 109146.6, Avg(ms): 397.3, 50th(ms): 369.1, 90th(ms): 637.5, 95th(ms): 704.6, 99th(ms): 805.3, 99.9th(ms): 1409.3, Max(ms): 1409.3
[Current] ORDER_STATUS - Takes(s): 9.6, Count: 25, TPM: 155.7, Sum(ms): 1321.2, Avg(ms): 53.0, 50th(ms): 48.2, 90th(ms): 100.7, 95th(ms): 100.7, 99th(ms): 104.9, 99.9th(ms): 104.9, Max(ms): 104.9
[Current] PAYMENT - Takes(s): 9.6, Count: 247, TPM: 1538.2, Sum(ms): 24664.0, Avg(ms): 99.8, 50th(ms): 79.7, 90th(ms): 192.9, 95th(ms): 251.7, 99th(ms): 469.8, 99.9th(ms): 1040.2, Max(ms): 1040.2
[Current] STOCK_LEVEL - Takes(s): 8.3, Count: 24, TPM: 174.0, Sum(ms): 11494.8, Avg(ms): 479.4, 50th(ms): 419.4, 90th(ms): 1208.0, 95th(ms): 1208.0, 99th(ms): 1409.3, 99.9th(ms): 1409.3, Max(ms): 1409.3
[Current] DELIVERY - Takes(s): 9.9, Count: 29, TPM: 176.2, Sum(ms): 7963.1, Avg(ms): 276.2, 50th(ms): 260.0, 90th(ms): 436.2, 95th(ms): 570.4, 99th(ms): 637.5, 99.9th(ms): 637.5, Max(ms): 637.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 278, TPM: 1674.6, Sum(ms): 112660.8, Avg(ms): 405.4, 50th(ms): 385.9, 90th(ms): 671.1, 95th(ms): 805.3, 99th(ms): 906.0, 99.9th(ms): 1006.6, Max(ms): 1006.6
[Current] ORDER_STATUS - Takes(s): 9.6, Count: 24, TPM: 150.3, Sum(ms): 1392.5, Avg(ms): 57.9, 50th(ms): 58.7, 90th(ms): 109.1, 95th(ms): 117.4, 99th(ms): 176.2, 99.9th(ms): 176.2, Max(ms): 176.2
[Current] PAYMENT - Takes(s): 10.0, Count: 264, TPM: 1584.2, Sum(ms): 25839.1, Avg(ms): 97.8, 50th(ms): 88.1, 90th(ms): 184.5, 95th(ms): 218.1, 99th(ms): 302.0, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 26, TPM: 159.9, Sum(ms): 10395.7, Avg(ms): 398.6, 50th(ms): 243.3, 90th(ms): 1006.6, 95th(ms): 1140.9, 99th(ms): 1275.1, 99.9th(ms): 1275.1, Max(ms): 1275.1
[Current] DELIVERY - Takes(s): 8.6, Count: 30, TPM: 208.5, Sum(ms): 9728.8, Avg(ms): 324.6, 50th(ms): 335.5, 90th(ms): 469.8, 95th(ms): 637.5, 99th(ms): 738.2, 99.9th(ms): 738.2, Max(ms): 738.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 281, TPM: 1686.4, Sum(ms): 110769.9, Avg(ms): 394.2, 50th(ms): 402.7, 90th(ms): 604.0, 95th(ms): 637.5, 99th(ms): 838.9, 99.9th(ms): 906.0, Max(ms): 906.0
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 36, TPM: 218.3, Sum(ms): 2009.1, Avg(ms): 55.9, 50th(ms): 48.2, 90th(ms): 100.7, 95th(ms): 104.9, 99th(ms): 192.9, 99.9th(ms): 192.9, Max(ms): 192.9
[Current] PAYMENT - Takes(s): 10.0, Count: 292, TPM: 1752.8, Sum(ms): 27652.2, Avg(ms): 94.7, 50th(ms): 83.9, 90th(ms): 192.9, 95th(ms): 218.1, 99th(ms): 335.5, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 26, TPM: 160.9, Sum(ms): 8979.3, Avg(ms): 346.2, 50th(ms): 218.1, 90th(ms): 704.6, 95th(ms): 1073.7, 99th(ms): 1073.7, 99.9th(ms): 1073.7, Max(ms): 1073.7
[Current] DELIVERY - Takes(s): 8.9, Count: 28, TPM: 188.5, Sum(ms): 8980.6, Avg(ms): 320.6, 50th(ms): 285.2, 90th(ms): 604.0, 95th(ms): 637.5, 99th(ms): 704.6, 99.9th(ms): 704.6, Max(ms): 704.6
[Current] NEW_ORDER - Takes(s): 10.0, Count: 305, TPM: 1832.4, Sum(ms): 116548.8, Avg(ms): 381.9, 50th(ms): 369.1, 90th(ms): 604.0, 95th(ms): 637.5, 99th(ms): 771.8, 99.9th(ms): 872.4, Max(ms): 872.4
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 37, TPM: 224.1, Sum(ms): 1266.8, Avg(ms): 34.2, 50th(ms): 23.1, 90th(ms): 79.7, 95th(ms): 83.9, 99th(ms): 117.4, 99.9th(ms): 117.4, Max(ms): 117.4
[Current] PAYMENT - Takes(s): 9.9, Count: 259, TPM: 1564.3, Sum(ms): 25104.5, Avg(ms): 96.9, 50th(ms): 83.9, 90th(ms): 201.3, 95th(ms): 234.9, 99th(ms): 352.3, 99.9th(ms): 520.1, Max(ms): 520.1
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 21, TPM: 127.0, Sum(ms): 6403.5, Avg(ms): 303.3, 50th(ms): 260.0, 90th(ms): 671.1, 95th(ms): 838.9, 99th(ms): 1140.9, 99.9th(ms): 1140.9, Max(ms): 1140.9
[Current] DELIVERY - Takes(s): 9.6, Count: 31, TPM: 193.2, Sum(ms): 10003.3, Avg(ms): 323.0, 50th(ms): 318.8, 90th(ms): 520.1, 95th(ms): 637.5, 99th(ms): 805.3, 99.9th(ms): 805.3, Max(ms): 805.3
[Current] NEW_ORDER - Takes(s): 10.0, Count: 275, TPM: 1652.5, Sum(ms): 112102.1, Avg(ms): 407.7, 50th(ms): 402.7, 90th(ms): 637.5, 95th(ms): 704.6, 99th(ms): 805.3, 99.9th(ms): 872.4, Max(ms): 872.4
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 28, TPM: 173.2, Sum(ms): 1377.0, Avg(ms): 49.2, 50th(ms): 37.7, 90th(ms): 88.1, 95th(ms): 104.9, 99th(ms): 125.8, 99.9th(ms): 125.8, Max(ms): 125.8
[Current] PAYMENT - Takes(s): 9.9, Count: 281, TPM: 1698.7, Sum(ms): 27172.0, Avg(ms): 96.7, 50th(ms): 83.9, 90th(ms): 192.9, 95th(ms): 226.5, 99th(ms): 318.8, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 22, TPM: 136.1, Sum(ms): 9402.8, Avg(ms): 428.0, 50th(ms): 234.9, 90th(ms): 1006.6, 95th(ms): 1409.3, 99th(ms): 1409.3, 99.9th(ms): 1409.3, Max(ms): 1409.3
[Current] DELIVERY - Takes(s): 9.5, Count: 24, TPM: 152.2, Sum(ms): 6967.7, Avg(ms): 290.5, 50th(ms): 260.0, 90th(ms): 536.9, 95th(ms): 637.5, 99th(ms): 738.2, 99.9th(ms): 738.2, Max(ms): 738.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 254, TPM: 1529.6, Sum(ms): 108250.9, Avg(ms): 425.9, 50th(ms): 419.4, 90th(ms): 671.1, 95th(ms): 738.2, 99th(ms): 906.0, 99.9th(ms): 1040.2, Max(ms): 1040.2
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 23, TPM: 141.2, Sum(ms): 1193.8, Avg(ms): 52.1, 50th(ms): 35.7, 90th(ms): 113.2, 95th(ms): 142.6, 99th(ms): 142.6, 99.9th(ms): 142.6, Max(ms): 142.6
[Current] PAYMENT - Takes(s): 10.0, Count: 256, TPM: 1542.1, Sum(ms): 24448.3, Avg(ms): 95.5, 50th(ms): 92.3, 90th(ms): 184.5, 95th(ms): 218.1, 99th(ms): 260.0, 99.9th(ms): 318.8, Max(ms): 318.8
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 29, TPM: 178.5, Sum(ms): 16221.0, Avg(ms): 561.0, 50th(ms): 469.8, 90th(ms): 1140.9, 95th(ms): 1342.2, 99th(ms): 1342.2, 99.9th(ms): 1342.2, Max(ms): 1342.2
[Current] DELIVERY - Takes(s): 9.6, Count: 28, TPM: 175.2, Sum(ms): 9475.0, Avg(ms): 339.4, 50th(ms): 251.7, 90th(ms): 604.0, 95th(ms): 738.2, 99th(ms): 838.9, 99.9th(ms): 838.9, Max(ms): 838.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 286, TPM: 1721.2, Sum(ms): 110924.1, Avg(ms): 387.7, 50th(ms): 385.9, 90th(ms): 604.0, 95th(ms): 704.6, 99th(ms): 771.8, 99.9th(ms): 906.0, Max(ms): 906.0
