Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-2) 	西元2026年06月14日 	_x86_64_	(4 CPU)

01時12分14秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01時12分15秒  all   21.12    0.00    7.89    0.25    1.02    3.56    0.00    0.00    0.00   66.16
01時12分16秒  all   38.89    0.00    5.30    0.00    0.76    3.03    0.00    0.00    0.00   52.02
01時12分17秒  all   31.73    0.00    6.60    0.51    0.76    3.05    0.00    0.00    0.00   57.36
01時12分18秒  all   36.90    0.00    5.34    0.25    0.76    2.54    0.00    0.00    0.00   54.20
01時12分19秒  all   36.04    0.00    6.09    0.00    1.02    3.05    0.00    0.00    0.00   53.81
01時12分20秒  all   45.50    0.00    5.25    0.50    1.00    2.75    0.00    0.00    0.00   45.00
01時12分21秒  all   42.61    0.00    6.02    0.25    0.75    3.01    0.00    0.00    0.00   47.37
01時12分22秒  all   44.72    0.00    5.53    0.00    1.01    2.76    0.00    0.00    0.00   45.98
01時12分23秒  all   39.53    0.00    5.68    0.00    0.52    2.58    0.00    0.00    0.00   51.68
01時12分24秒  all   35.70    0.00    6.08    0.25    0.76    3.29    0.00    0.00    0.00   53.92
01時12分25秒  all   41.62    0.00    6.60    0.00    1.02    3.05    0.00    0.00    0.00   47.72
01時12分26秒  all   45.25    0.00    5.50    0.00    1.00    2.75    0.00    0.00    0.00   45.50
01時12分27秒  all   30.65    0.00    6.53    0.75    1.01    3.27    0.00    0.00    0.00   57.79
01時12分28秒  all   34.51    0.00    6.55    0.00    0.76    2.77    0.00    0.00    0.00   55.42
01時12分29秒  all   38.69    0.00    5.78    0.50    1.01    2.51    0.00    0.00    0.00   51.51
01時12分30秒  all   25.25    0.00    7.58    0.51    1.01    3.54    0.00    0.00    0.00   62.12
01時12分31秒  all   22.70    0.00    4.34    0.00    0.26    2.30    0.00    0.00    0.00   70.41
01時12分32秒  all   39.60    0.00    5.76    0.25    1.00    2.51    0.00    0.00    0.00   50.88
01時12分33秒  all   32.41    0.00    6.28    0.00    1.01    3.27    0.00    0.00    0.00   57.04
01時12分34秒  all   39.04    0.00    5.04    0.50    1.01    2.52    0.00    0.00    0.00   51.89
01時12分35秒  all   39.75    0.00    6.08    0.51    0.51    3.04    0.00    0.00    0.00   50.13
01時12分36秒  all   29.26    0.00    4.83    0.00    1.02    2.54    0.00    0.00    0.00   62.34
01時12分37秒  all   22.75    0.00    5.00    0.50    0.75    2.25    0.00    0.00    0.00   68.75
01時12分38秒  all   29.47    0.00    5.79    0.50    0.76    3.02    0.00    0.00    0.00   60.45
01時12分39秒  all   27.53    0.00    7.32    0.25    1.01    3.28    0.00    0.00    0.00   60.61
01時12分40秒  all   37.82    0.00    5.08    0.00    0.76    2.79    0.00    0.00    0.00   53.55
01時12分41秒  all   43.22    0.00    6.28    0.50    1.01    3.02    0.00    0.00    0.00   45.98
01時12分42秒  all   33.08    0.00    6.11    0.00    0.76    2.54    0.00    0.00    0.00   57.51
01時12分43秒  all   39.60    0.00    5.76    0.00    1.00    2.51    0.00    0.00    0.00   51.13
01時12分44秒  all   31.16    0.00    5.28    1.01    0.50    2.51    0.00    0.00    0.00   59.55
01時12分45秒  all   18.50    0.00    5.50    0.00    0.75    2.50    0.00    0.00    0.00   72.75
01時12分46秒  all   38.54    0.00    5.04    0.25    1.01    3.02    0.00    0.00    0.00   52.14
01時12分47秒  all   39.24    0.00    5.06    0.25    0.76    2.03    0.00    0.00    0.00   52.66
01時12分48秒  all   29.90    0.00    7.29    0.00    1.01    3.52    0.00    0.00    0.00   58.29
01時12分49秒  all   28.35    0.00    4.81    0.00    0.76    2.03    0.00    0.00    0.00   64.05
01時12分50秒  all   28.46    0.00    5.79    0.25    1.01    3.27    0.00    0.00    0.00   61.21
01時12分51秒  all   46.27    0.00    4.73    0.25    0.25    2.49    0.00    0.00    0.00   46.02
01時12分52秒  all   43.15    0.00    5.33    0.00    1.02    2.79    0.00    0.00    0.00   47.72
01時12分53秒  all   23.87    0.00    7.29    0.25    1.01    3.27    0.00    0.00    0.00   64.32
01時12分54秒  all   30.23    0.00    6.55    0.76    0.76    2.77    0.00    0.00    0.00   58.94
01時12分55秒  all   44.19    0.00    5.05    0.00    1.01    2.53    0.00    0.00    0.00   47.22
01時12分56秒  all   40.90    0.00    4.99    0.00    0.75    2.49    0.00    0.00    0.00   50.87
01時12分57秒  all   43.15    0.00    5.33    0.25    0.76    2.03    0.00    0.00    0.00   48.48
01時12分58秒  all   43.97    0.00    5.53    0.00    1.01    3.02    0.00    0.00    0.00   46.48
01時12分59秒  all   40.60    0.00    6.02    0.00    0.50    2.76    0.00    0.00    0.00   50.13
01時13分00秒  all   28.46    0.00    4.79    0.50    1.01    2.27    0.00    0.00    0.00   62.97
01時13分01秒  all   41.81    0.00    4.28    0.00    0.76    2.77    0.00    0.00    0.00   50.38
01時13分02秒  all   44.08    0.00    5.54    0.25    1.01    3.02    0.00    0.00    0.00   46.10
01時13分03秒  all   44.05    0.00    6.33    0.25    1.01    3.29    0.00    0.00    0.00   45.06
01時13分04秒  all   38.79    0.00    6.05    0.50    0.76    3.02    0.00    0.00    0.00   50.88
01時13分05秒  all   39.95    0.00    4.77    0.00    1.01    3.02    0.00    0.00    0.00   51.26
01時13分06秒  all   26.40    0.00    5.58    0.00    0.76    2.79    0.00    0.00    0.00   64.47
01時13分07秒  all   28.93    0.00    3.81    0.25    0.51    2.28    0.00    0.00    0.00   64.21
01時13分08秒  all   39.75    0.00    6.25    0.25    1.00    2.75    0.00    0.00    0.00   50.00
01時13分09秒  all   40.45    0.00    6.28    0.50    0.75    2.76    0.00    0.00    0.00   49.25
01時13分10秒  all   37.09    0.00    7.02    0.00    1.25    3.51    0.00    0.00    0.00   51.13
01時13分11秒  all   43.18    0.00    5.05    0.00    0.76    2.78    0.00    0.00    0.00   48.23
01時13分12秒  all   32.32    0.00    6.31    0.51    0.76    3.28    0.00    0.00    0.00   56.82
01時13分13秒  all   41.81    0.00    6.30    0.00    0.76    3.02    0.00    0.00    0.00   48.11
