procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 787432   5796 6675592    0    0     0     1    0    0  0  0 100  0  0
 0  0   2560 762552   5796 6675676    0    0     0     0 9407 8936  6  4 90  0  0
 1  0   2560 760296   5796 6675676    0    0     0     0 5464 5872  1  2 98  0  0
 0  0   2560 760456   5796 6675676    0    0     0     0 5175 5540  1  1 98  0  0
 1  0   2560 760396   5796 6675676    0    0     0     0 5251 5631  1  1 98  0  0
 0  0   2560 782936   5796 6675676    0    0     0   272 7177 7184  6  3 91  0  0
 0  0   2560 783056   5796 6675680    0    0     0     0 6010 6459  1  2 98  0  0
 0  0   2560 782852   5796 6675680    0    0     0     0 5187 5554  1  1 98  0  0
 0  0   2560 782632   5796 6675688    0    0     0     0 5645 6056  1  1 98  0  0
 0  0   2560 782500   5796 6675688    0    0     0     0 5399 5763  1  1 98  0  0
 0  0   2560 782688   5796 6675692    0    0     0     0 5211 5327  1  1 98  0  0
 0  0   2560 782660   5796 6675704    0    0     0     0 5419 5821  1  1 98  0  0
 0  0   2560 783072   5796 6675704    0    0     0     0 6261 6719  1  1 98  0  0
 0  0   2560 782912   5796 6675704    0    0     0     0 5516 6001  1  1 98  0  0
 0  0   2560 783084   5796 6675720    0    0     0     0 6069 6456  1  1 98  0  0
 0  0   2560 783148   5796 6675724    0    0     0     0 5660 6021  1  1 98  0  0
 0  0   2560 783208   5796 6675724    0    0     0     0 5839 6143  1  1 98  0  0
 0  0   2560 783108   5796 6675724    0    0     0     0 5976 6307  1  1 98  0  0
 0  0   2560 783140   5796 6675728    0    0     0     0 5174 5536  1  1 98  0  0
 0  0   2560 783108   5796 6675728    0    0     0     0 4763 5124  1  1 98  0  0
 0  0   2560 782660   5796 6675736    0    0     0     8 5089 5369  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 782752   5796 6675748    0    0     0     0 6304 6881  1  2 98  0  0
 0  0   2560 782720   5796 6675748    0    0     0     0 6019 6379  1  1 98  0  0
 0  0   2560 782652   5796 6675752    0    0     0     0 5991 6457  1  1 98  0  0
 0  0   2560 780568   5796 6675752    0    0     0     0 5079 5531  1  1 98  0  0
 0  0   2560 780352   5796 6675752    0    0     0     0 6158 6833  1  2 98  0  0
 0  0   2560 780480   5796 6675752    0    0     0     0 5535 5892  1  1 98  0  0
 0  0   2560 780476   5796 6675768    0    0     0     0 5233 5672  1  2 98  0  0
 0  0   2560 780736   5796 6675768    0    0     0     0 6338 6835  1  1 98  0  0
 0  0   2560 780776   5796 6675768    0    0     0    38 5352 5725  1  1 99  0  0
 0  0   2560 780620   5796 6675772    0    0     0     0 5479 5838  1  2 98  0  0
 1  0   2560 780800   5796 6675780    0    0     0     0 6164 6506  1  2 98  0  0
 1  0   2560 780832   5796 6675792    0    0     0     0 5051 5451  0  1 99  0  0
 0  0   2560 780768   5796 6675800    0    0     0     0 4894 5273  1  1 98  0  0
 0  0   2560 780856   5796 6675800    0    0     0     0 5531 5799  1  1 98  0  0
 0  0   2560 780832   5796 6675804    0    0     0   252 5902 6346  1  2 98  0  0
 1  0   2560 780768   5796 6675804    0    0     0     0 5645 6098  1  1 98  0  0
 0  0   2560 780612   5796 6675804    0    0     0     0 5234 5664  1  2 98  0  0
 0  0   2560 780548   5796 6675804    0    0     0     0 4499 4916  0  1 99  0  0
 1  0   2560 780680   5796 6675808    0    0     0     0 6237 6747  1  2 98  0  0
 0  0   2560 780056   5796 6675836    0    0     0     0 5530 5762  1  2 98  0  0
 0  0   2560 779868   5796 6675836    0    0     0     0 5442 5761  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 779656   5796 6675848    0    0     0     0 6460 6963  1  2 98  0  0
 0  0   2560 779592   5796 6675860    0    0     0     0 5409 5717  1  3 96  0  0
 0  0   2560 779748   5796 6675864    0    0     0     0 6745 7315  1  1 98  0  0
 0  0   2560 779684   5796 6675868    0    0     0     0 4952 5222  1  2 98  0  0
 0  0   2560 757128   5796 6675880    0    0     0     4 6125 6578  3  3 95  0  0
 0  0   2560 756936   5796 6675880    0    0     0     0 4799 5165  1  1 98  0  0
 0  0   2560 757056   5796 6675884    0    0     0     0 4923 5253  1  2 98  0  0
 0  0   2560 757088   5796 6675884    0    0     0     0 4934 5232  1  2 98  0  0
