procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   2560 781876   5796 6680380    0    0     0     1    0    0  0  0 100  0  0
 1  0   2560 778684   5796 6680500    0    0     0   264 13973 12556 12  7 81  0  0
 1  0   2560 776704   5796 6680500    0    0     0     4 4669 4753  0  1 99  0  0
 0  0   2560 776836   5796 6680500    0    0     0     0 5668 5634  1  2 98  0  0
 0  0   2560 776844   5796 6680500    0    0     0    23 5622 5667  1  1 98  0  0
 0  0   2560 774732   5796 6680500    0    0     0     0 4501 4288  1  1 98  0  0
 0  0   2560 774672   5796 6680504    0    0     0     0 6458 6433  1  1 98  0  0
 0  0   2560 774700   5796 6680504    0    0     0     0 5084 5070  1  2 98  0  0
 0  0   2560 774448   5796 6680504    0    0     0   136 5644 5688  1  2 98  0  0
 0  0   2560 774132   5796 6680512    0    0     0     0 5173 5361  1  1 98  0  0
 0  0   2560 774036   5796 6680516    0    0     0     0 5729 5947  1  1 98  0  0
 1  0   2560 774068   5796 6680528    0    0     0     0 5879 5876  1  1 98  0  0
 0  0   2560 774004   5796 6680528    0    0     0     0 4417 4367  1  1 98  0  0
 0  0   2560 774164   5796 6680532    0    0     0   100 6549 6727  1  2 97  0  0
 0  0   2560 773948   5796 6680544    0    0     0     0 5807 6037  1  2 98  0  0
 0  0   2560 773820   5796 6680548    0    0     0     0 6553 6741  1  1 98  0  0
 0  0   2560 773824   5796 6680548    0    0     0     0 6288 6445  1  2 98  0  0
 0  0   2560 773888   5796 6680548    0    0     0     0 5967 5935  1  2 98  0  0
 0  0   2560 773632   5796 6680552    0    0     0     0 5510 5495  1  1 98  0  0
 0  0   2560 773728   5796 6680552    0    0     0     0 3517 3577  0  1 99  0  0
 0  0   2560 773728   5796 6680560    0    0     0     0 5406 5319  0  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 773792   5796 6680568    0    0     0     0 5049 5172  1  1 98  0  0
 0  0   2560 773664   5796 6680576    0    0     0     0 5940 5951  1  1 98  0  0
 0  0   2560 773504   5796 6680576    0    0     0     0 5901 5962  1  1 98  0  0
 0  0   2560 773416   5796 6680580    0    0     0   120 5872 5985  0  1 98  0  0
 0  0   2560 773384   5796 6680580    0    0     0     0 5402 5506  1  1 98  0  0
 0  0   2560 773256   5796 6680580    0    0     0     0 6282 6313  1  2 98  0  0
 0  0   2560 773416   5796 6680584    0    0     0     0 5524 5664  1  1 98  0  0
 1  0   2560 771208   5796 6680600    0    0     0     0 6344 6331  1  2 98  0  0
 0  0   2560 771464   5796 6680600    0    0     0     0 5971 6131  1  1 98  0  0
 0  0   2560 771208   5796 6680600    0    0     0     0 6282 6324  1  2 98  0  0
 0  0   2560 771080   5796 6680600    0    0     0     0 5264 5240  1  1 98  0  0
 0  0   2560 770984   5796 6680612    0    0     0     0 5785 5826  1  1 98  0  0
 0  0   2560 771400   5796 6680616    0    0     0     0 6008 6049  1  1 98  0  0
 0  0   2560 771208   5796 6680624    0    0     0   212 5583 5573  0  2 98  0  0
 0  0   2560 771240   5796 6680624    0    0     0     0 5684 5741  1  1 98  0  0
 0  0   2560 770760   5796 6680628    0    0     0     0 5872 5867  1  1 98  0  0
 0  0   2560 770760   5796 6680628    0    0     0     0 6351 6271  1  2 98  0  0
 0  0   2560 770760   5796 6680628    0    0     0     0 5957 6021  0  2 98  0  0
 0  0   2560 770792   5796 6680632    0    0     0     0 6238 6351  1  1 98  0  0
 0  0   2560 770604   5796 6680656    0    0     0     0 6252 6359  1  1 99  0  0
 0  0   2560 770668   5796 6680660    0    0     0     0 6784 6804  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 770636   5796 6680668    0    0     0     0 5831 5813  1  2 98  0  0
 0  0   2560 747092   5796 6680676    0    0     0     4 5068 5028  3  2 95  0  0
 0  0   2560 747068   5796 6680696    0    0     0     0 5648 5777  1  1 98  0  0
 0  0   2560 747132   5796 6680696    0    0     0     0 5447 5445  1  1 98  0  0
 0  0   2560 747420   5796 6680696    0    0     0     0 6008 6078  1  2 98  0  0
 0  0   2560 747324   5796 6680704    0    0     0     0 6550 6553  1  2 98  0  0
 0  0   2560 747420   5796 6680708    0    0     0     0 6006 6087  1  1 98  0  0
 1  0   2560 747292   5796 6680708    0    0     0     0 5739 5712  1  1 98  0  0
 0  0   2560 747548   5796 6680708    0    0     0     0 5496 5569  1  1 98  0  0
 0  0   2560 747644   5796 6680708    0    0     0     0 5711 5677  1  1 98  0  0
 0  0   2560 746788   5796 6680720    0    0     0     0 5806 5811  1  2 98  0  0
 0  0   2560 746600   5796 6680736    0    0     0     0 5638 5659  1  1 98  0  0
 0  0   2560 746744   5796 6680740    0    0     0     0 6261 6316  1  1 98  0  0
 0  0   2560 746744   5796 6680740    0    0     0   220 5431 5520  0  1 98  0  0
 0  0   2560 746648   5796 6680744    0    0     0     0 5068 5048  1  1 98  0  0
 0  0   2560 746424   5796 6680744    0    0     0     0 5958 5908  1  1 98  0  0
 0  0   2560 746584   5796 6680744    0    0     0     0 4430 4391  0  1 98  0  0
 0  0   2560 746360   5796 6680752    0    0     0     0 4054 4210  1  1 99  0  0
