procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
45  0      0 6196816     12 4457876    0    0   217   827    6    7  7  3 90  1  0
36  0      0 6152188     12 4459920    0    0    36   230 59620 55663 39 27 34  0  0
35  0      0 6128404     12 4460496    0    0    16   762 33510 43219 49 16 35  0  0
 0  0      0 6120524     12 4460768    0    0     0   708 20265 19896 47 10 43  0  0
39  0      0 6107692     12 4460996    0    0     0   936 25474 25333 36 10 54  0  0
 1  0      0 6097644     12 4461456    0    0    16   788 19752 15981 46  8 45  0  0
 0  0      0 6089036     12 4461752    0    0     0   850 24725 23187 44 11 45  0  0
 1  0      0 6087692     12 4462096    0    0    16   900 22582 18092 48  8 45  0  0
 1  0      0 6079172     12 4462372    0    0    64   830 24410 19602 46  9 45  0  0
 7  0      0 6078016     12 4462848    0    0    16  1962 27508 25659 43 11 46  0  0
 1  0      0 6076304     12 4463260    0    0     0   843 21946 20245 42  9 49  0  0
 0  0      0 6078260     12 4463472    0    0    32   948 25082 28533 33 11 56  0  0
 2  0      0 6073192     12 4463860    0    0    16   952 24099 24007 40 10 50  0  0
 0  0      0 6068444     12 4464072    0    0     0   945 18948 18622 48  8 44  0  0
 2  0      0 6065196     12 4464684    0    0    16   808 27670 27414 40 11 49  0  0
 1  0      0 6058864     12 4464876    0    0    32  1063 29829 33065 41 13 46  0  0
 2  0      0 6057656     12 4465160    0    0     0   746 20411 18716 46  8 46  0  0
 1  0      0 6055964     12 4459708    0    0     0  1218 31015 30429 40 13 47  0  0
 0  0      0 6057228     12 4458036    0    0   120   829 21641 16687 46  9 45  0  0
 0  0      0 6058744     12 4458384    0    0    32   964 24378 20007 47  9 45  0  0
 0  0      0 6061508     12 4458768    0    0    16   722 24329 21393 46  9 45  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6059456     12 4458996    0    0     0  1175 24386 23579 41 11 48  0  0
 1  0      0 6089644     12 4459464    0    0    16   843 23038 19947 50 10 41  0  0
 0  0      0 6089284     12 4459608    0    0    52  1103 26989 25140 44 10 45  0  0
 0  0      0 6085264     12 4455336    0    0    16   897 26188 25615 35  9 56  0  0
 1  0      0 6083968     12 4455696    0    0    32  1086 29904 29767 34 11 54  0  0
 0  0      0 6082444     12 4449988    0    0    44   955 26136 22806 45 10 45  0  0
 2  0      0 6082428     12 4448920    0    0    12   907 22581 20036 46  8 46  0  0
 0  0      0 6083976     12 4448780    0    0     0   943 23780 21099 46  8 46  0  0
 0  0      0 6080900     12 4449052    0    0    12   869 22990 17187 46 10 45  0  0
 0  0      0 6080756     12 4445436    0    0    20  1026 23238 17592 46 10 45  0  0
 0  0      0 6083156     12 4445568    0    0    16  1140 16762 13764 47  7 46  0  0
 0  0      0 6081008     12 4443608    0    0    12   894 24204 21296 45  9 45  0  0
 0  0      0 6081304     12 4444128    0    0    12  1013 27408 22655 44 12 44  0  0
 0  0      0 6085188     12 4444560    0    0    28   939 23970 22347 45 11 44  0  0
 0  0      0 6081672     12 4444776    0    0    16   924 19894 17235 47  8 45  0  0
 1  0      0 6081432     12 4445124    0    0     0  2873 19714 15768 46  9 45  0  0
 0  0      0 6081448     12 4438196    0    0    20   921 22692 16284 46 10 45  0  0
 0  0      0 6081944     12 4433600    0    0    48   881 22561 20095 47  9 45  0  0
 0  0      0 6080252     12 4430172    0    0     0  2203 21567 17809 47 10 43  0  0
 0  0      0 6082932     12 4429088    0    0    16   872 22347 17693 45 10 44  0  0
 0  0      0 6082520     12 4427052    0    0    28   961 24239 25277 36 11 53  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6083728     12 4423168    0    0    48   831 24868 21571 44 11 45  0  0
 0  0      0 6086188     12 4423608    0    0     0  1221 32192 31161 43 13 44  0  0
 0  0      0 6085688     12 4424504    0    0    16  1389 23724 23318 44 11 45  0  0
 0  0      0 6089860     12 4424824    0    0    36  1045 30601 30417 33 12 55  0  0
 0  0      0 6091280     12 4425264    0    0    48   812 18391 14763 46  9 45  0  0
 0  0      0 6088660     12 4425628    0    0     0   978 25073 23901 43 12 44  0  0
 0  0      0 6085828     12 4425864    0    0    12   818 21593 20641 45 10 45  0  0
 0  0      0 6083152     12 4425540    0    0     0   974 22746 18621 45 10 44  0  0
 0  0      0 6081776     12 4424180    0    0     0   910 22728 16569 45 10 45  0  0
 0  0      0 6082740     12 4416468    0    0     0   970 25857 20881 46 10 44  0  0
 0  0      0 6082712     12 4416628    0    0     0   806 18706 16396 47  7 46  0  0
 0  0      0 6082372     12 4409468    0    0    12   866 19791 14945 46  8 46  0  0
 0  0      0 6081888     12 4403708    0    0     0   963 25179 21260 45 11 44  0  0
 0  0      0 6080700     12 4403660    0    0    20  1043 25870 20668 45 10 45  0  0
 0  0      0 6086104     12 4397704    0    0    36   877 24105 20744 46 10 45  0  0
 0  0      0 6091320     12 4398180    0    0     0  1090 24882 21796 44 12 45  0  0
 0  0      0 6095100     12 4398500    0    0     8   902 25544 23087 43 12 45  0  0
 0  0      0 6092768     12 4398852    0    0    16   907 23350 19277 45 11 45  0  0
 3  0      0 6086248     12 4399168    0    0    48   856 21980 19148 46  9 45  0  0
 0  0      0 6082232     12 4398604    0    0    16   944 27460 25206 45 12 43  0  0
 3  0      0 6091056     12 4398780    0    0     0  1301 25080 27564 32 10 58  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6098400     12 4399280    0    0    16  1004 25718 23033 45 11 45  0  0
 0  0      0 6097644     12 4399724    0    0    44   898 21992 19911 46  9 45  0  0
 0  0      0 6094692     12 4400084    0    0    16  1030 26808 26360 37 10 53  0  0
 0  0      0 6091144     12 4400556    0    0    68  1132 23056 21979 45 10 45  0  0
 0  0      0 6096548     12 4400944    0    0    36  2193 24753 21543 43 10 47  0  0
 0  0      0 6090968     12 4405536    0    0    16  1076 26213 20412 45 10 45  0  0
 3  0      0 6090240     12 4405940    0    0     0  1821 24908 20678 47 10 43  0  0
 2  0      0 6091988     12 4396708    0    0    48  2250 26248 26205 43 12 45  0  0
 0  0      0 6092620     12 4396840    0    0     0   815 25682 29866 31 10 58  0  0
 2  0      0 6089320     12 4397256    0    0     0  1098 24083 22093 44 11 45  0  0
