procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 8892996     24 4383040    0    0  6627  1024    2    7  6  3 90  1  0
 5  0      0 8858836     24 4384332    0    0    48   755 47084 52047 49 18 32  0  0
14  0      0 8849500     24 4384780    0    0     0  1071 28758 35611 69 12 20  0  0
 5  0      0 8839956     24 4385200    0    0    24  1211 32430 38248 60 12 28  0  0
44  0      0 8837924     24 4386044    0    0    48  1169 34455 41268 66 14 21  0  0
50  0      0 8835880     24 4386688    0    0    44  1407 34536 41739 66 14 20  0  0
14  0      0 8833924     24 4387240    0    0     0  1243 26789 32688 77 11 12  0  0
12  0      0 8822824     24 4387944    0    0    60  1243 38189 44962 58 14 28  0  0
16  0      0 8823696     24 4388496    0    0     0  1377 28347 37542 60 11 29  0  0
 7  0      0 8816992     24 4388844    0    0    84  1171 32270 36234 63 14 23  0  0
 6  1      0 8816796     24 4389664    0    0    16  1234 31921 36666 68 12 19  0  0
32  0      0 8810336     24 4390080    0    0    40  2254 31613 34506 65 13 22  0  0
37  0      0 8813016     24 4391284    0    0    52  1944 32402 35195 66 13 21  0  0
 8  0      0 8812828     24 4391644    0    0    16  1360 29590 34535 66 13 20  0  0
26  1      0 8808148     24 4392276    0    0     0  2445 35697 41333 71 13 16  0  0
12  0      0 8807808     24 4392920    0    0    24  1126 27434 32465 69 11 19  0  0
24  0      0 8806880     24 4393544    0    0    92  1335 25691 26865 80 11  8  0  0
29  0      0 8792680     24 4399732    0    0    44  5919 28699 31640 77 13 10  0  0
12  0      0 8797740     24 4394576    0    0    32  2915 33388 38852 61 14 25  0  0
 6  0      0 8798696     24 4395084    0    0    24  1273 28627 34642 66 13 21  0  0
 5  0      0 8793816     24 4395852    0    0    60  1311 30959 39692 64 14 22  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  1      0 8785548     24 4401448    0    0    20  6540 26377 27903 76 12 12  0  0
36  0      0 8786924     24 4400492    0    0    20 22257 31737 36777 66 13 20  0  0
28  0      0 8789120     24 4400996    0    0    48  1427 33834 42622 62 14 24  0  0
 1  0      0 8792224     24 4401748    0    0    16  1110 28765 31599 82 12  7  0  0
31  1      0 8789616     24 4402268    0    0    20  1417 29293 30480 75 11 14  0  0
30  0      0 8782436     24 4402976    0    0    32  1301 31164 37291 69 13 18  0  0
 6  0      0 8786536     24 4403464    0    0    16  1215 31986 38409 68 13 19  0  0
 1  0      0 8782228     24 4404164    0    0    32  1241 32907 41783 60 14 26  0  0
10  0      0 8781736     24 4404652    0    0    16  1544 41220 52039 37 15 48  0  0
17  0      0 8772644     24 4405376    0    0    36  1264 32594 40678 64 13 23  1  0
26  0      0 8776548     24 4405932    0    0     0  1304 24457 27273 82 11  7  0  0
48  0      0 8774648     24 4406484    0    0    32  3486 31189 35120 65 14 21  0  0
11  0      0 8770228     24 4407008    0    0    20  1164 27384 26551 84 11  5  0  0
 8  0      0 8771660     24 4407756    0    0    16  1391 35928 39216 64 14 22  0  0
14  0      0 8768620     24 4409628    0    0    20  2599 27359 31321 79 11 10  0  0
 6  0      0 8767180     24 4410228    0    0    36  1293 32457 38448 54 13 32  0  0
24  0      0 8763808     24 4410756    0    0    16  1199 34588 41984 57 13 29  0  0
 3  0      0 8761148     24 4411492    0    0    12  1302 31550 34496 69 12 19  0  0
 9  0      0 8762032     24 4411904    0    0    16  1198 31113 40102 54 13 32  0  0
 4  1      0 8757620     24 4412528    0    0    16  1207 27408 32564 75 12 13  0  0
12  0      0 8760700     24 4413120    0    0     0  1682 35787 40768 61 14 25  0  0
