procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 871288   5796 6604104    0    0     0     1    0    1  0  0 100  0  0
 0  0   2560 845584   5796 6604188    0    0     0     0 14081 13381  7  5 88  0  0
 1  0   2560 845476   5796 6604188    0    0     0     0 7458 7816  1  2 98  0  0
 0  0   2560 843536   5796 6604188    0    0     0     0 9012 9664  1  2 97  0  0
 0  0   2560 843504   5796 6604188    0    0     0     0 7960 8380  1  2 97  0  0
 0  0   2560 843656   5796 6604188    0    0     0     0 8260 9116  1  2 97  0  0
 0  0   2560 843560   5796 6604192    0    0     0     0 6487 6935  1  2 98  0  0
 0  0   2560 819656   5796 6604192    0    0     0     4 6921 7383  3  2 95  0  0
 1  0   2560 819572   5796 6604200    0    0     0     0 7388 8059  1  2 97  0  0
 0  0   2560 819412   5796 6604200    0    0     0     0 6479 6884  1  2 98  0  0
 0  0   2560 819028   5796 6604204    0    0     0     0 7466 7825  1  2 97  0  0
 0  0   2560 819132   5796 6604220    0    0     0     0 8521 9069  1  2 97  0  0
 0  0   2560 818844   5796 6604220    0    0     0     0 7905 8448  1  2 97  0  0
 0  0   2560 819008   5796 6604220    0    0     0     0 8693 9414  1  2 97  0  0
 1  0   2560 818816   5796 6604236    0    0     0     0 8197 8629  1  2 97  0  0
 0  0   2560 818944   5796 6604240    0    0     0     0 7216 7833  1  2 98  0  0
 0  0   2560 817564   5796 6604240    0    0     0    55 8515 9026  1  2 96  0  0
 1  0   2560 817596   5796 6604240    0    0     0     0 8442 8973  1  2 97  0  0
 0  0   2560 817212   5796 6604244    0    0     0     0 7904 8434  1  2 98  0  0
 0  0   2560 817084   5796 6604244    0    0     0     0 9088 9789  1  2 97  0  0
 0  0   2560 817120   5796 6604252    0    0     0     0 8097 8705  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 816960   5796 6604264    0    0     0     0 8651 9195  1  2 97  0  0
 0  0   2560 816864   5796 6604264    0    0     0     0 7960 8593  1  2 97  0  0
 0  0   2560 816736   5796 6604268    0    0     0   180 8886 9780  1  2 98  0  0
 0  0   2560 816352   5796 6604268    0    0     0     0 9080 9632  1  2 97  0  0
 0  0   2560 839276   5796 6604268    0    0     0   268 9346 9448  7  4 90  0  0
 0  0   2560 839132   5796 6604268    0    0     0     0 8264 8911  1  2 97  0  0
