2026/06/12 14:13:58 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.0, Count: 42, TPM: 280.5, Sum(ms): 23390.1, Avg(ms): 556.1, 50th(ms): 520.1, 90th(ms): 906.0, 95th(ms): 1040.2, 99th(ms): 1275.1, 99.9th(ms): 1275.1, Max(ms): 1275.1
[Current] NEW_ORDER - Takes(s): 9.4, Count: 378, TPM: 2421.3, Sum(ms): 200967.5, Avg(ms): 531.6, 50th(ms): 453.0, 90th(ms): 939.5, 95th(ms): 1140.9, 99th(ms): 1744.8, 99.9th(ms): 2281.7, Max(ms): 2281.7
[Current] ORDER_STATUS - Takes(s): 9.5, Count: 31, TPM: 196.5, Sum(ms): 2730.4, Avg(ms): 88.2, 50th(ms): 83.9, 90th(ms): 151.0, 95th(ms): 192.9, 99th(ms): 209.7, 99.9th(ms): 209.7, Max(ms): 209.7
[Current] PAYMENT - Takes(s): 9.5, Count: 394, TPM: 2475.4, Sum(ms): 50624.3, Avg(ms): 128.6, 50th(ms): 113.2, 90th(ms): 218.1, 95th(ms): 268.4, 99th(ms): 604.0, 99.9th(ms): 771.8, Max(ms): 771.8
[Current] STOCK_LEVEL - Takes(s): 9.3, Count: 25, TPM: 160.6, Sum(ms): 16795.6, Avg(ms): 674.1, 50th(ms): 453.0, 90th(ms): 1677.7, 95th(ms): 1811.9, 99th(ms): 1879.0, 99.9th(ms): 1879.0, Max(ms): 1879.0
[Current] DELIVERY - Takes(s): 9.6, Count: 29, TPM: 181.2, Sum(ms): 13389.6, Avg(ms): 462.0, 50th(ms): 486.5, 90th(ms): 637.5, 95th(ms): 771.8, 99th(ms): 771.8, 99.9th(ms): 771.8, Max(ms): 771.8
[Current] NEW_ORDER - Takes(s): 10.0, Count: 461, TPM: 2769.8, Sum(ms): 224321.6, Avg(ms): 486.9, 50th(ms): 469.8, 90th(ms): 771.8, 95th(ms): 872.4, 99th(ms): 1040.2, 99.9th(ms): 1342.2, Max(ms): 1342.2
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 50, TPM: 304.6, Sum(ms): 2911.3, Avg(ms): 58.3, 50th(ms): 50.3, 90th(ms): 109.1, 95th(ms): 130.0, 99th(ms): 151.0, 99.9th(ms): 151.0, Max(ms): 151.0
[Current] PAYMENT - Takes(s): 10.0, Count: 432, TPM: 2595.0, Sum(ms): 51730.4, Avg(ms): 119.8, 50th(ms): 109.1, 90th(ms): 209.7, 95th(ms): 243.3, 99th(ms): 318.8, 99.9th(ms): 469.8, Max(ms): 469.8
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 36, TPM: 218.4, Sum(ms): 27493.2, Avg(ms): 765.1, 50th(ms): 738.2, 90th(ms): 1342.2, 95th(ms): 1543.5, 99th(ms): 1677.7, 99.9th(ms): 1677.7, Max(ms): 1677.7
[Current] DELIVERY - Takes(s): 9.9, Count: 39, TPM: 235.3, Sum(ms): 15349.0, Avg(ms): 393.5, 50th(ms): 352.3, 90th(ms): 604.0, 95th(ms): 704.6, 99th(ms): 906.0, 99.9th(ms): 906.0, Max(ms): 906.0
