Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-2) 	西元2026年06月12日 	_x86_64_	(4 CPU)

14時28分02秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14時28分03秒  all   44.97    0.00   13.82    0.25    1.76    5.78    0.00    0.00    0.00   33.42
14時28分04秒  all   42.64    0.00    8.53    0.00    1.03    3.36    0.00    0.00    0.00   44.44
14時28分05秒  all   62.66    0.00    7.77    0.25    1.00    3.01    0.00    0.00    0.00   25.31
14時28分06秒  all   62.16    0.00    7.27    0.25    1.00    3.01    0.00    0.00    0.00   26.32
14時28分07秒  all   40.76    0.00    7.34    0.25    1.01    2.78    0.00    0.00    0.00   47.85
14時28分08秒  all   64.65    0.00    7.58    0.00    1.01    3.28    0.00    0.00    0.00   23.48
14時28分09秒  all   67.76    0.00    8.06    0.00    1.01    3.53    0.00    0.00    0.00   19.65
14時28分10秒  all   73.75    0.00    8.50    0.00    1.25    2.75    0.00    0.00    0.00   13.75
14時28分11秒  all   85.43    0.00    6.78    0.00    1.01    2.76    0.00    0.00    0.00    4.02
14時28分12秒  all   80.65    0.00    8.29    0.00    1.01    3.27    0.00    0.00    0.00    6.78
14時28分13秒  all   72.82    0.00    8.73    0.25    1.00    2.99    0.00    0.00    0.00   14.21
14時28分14秒  all   73.99    0.00    7.07    0.25    1.01    3.03    0.00    0.00    0.00   14.65
14時28分15秒  all   70.40    0.00    7.96    0.25    1.00    3.48    0.00    0.00    0.00   16.92
14時28分16秒  all   88.28    0.00    6.98    0.00    1.00    2.49    0.00    0.00    0.00    1.25
14時28分17秒  all   64.23    0.00    7.56    0.00    1.01    3.02    0.00    0.00    0.00   24.18
14時28分18秒  all   68.94    0.00    8.59    0.00    1.01    3.03    0.00    0.00    0.00   18.43
14時28分19秒  all   63.86    0.00    7.92    0.00    0.99    2.97    0.00    0.00    0.00   24.26
14時28分20秒  all   75.57    0.00    7.81    0.50    1.01    3.53    0.00    0.00    0.00   11.59
14時28分21秒  all   63.66    0.00    8.27    0.25    1.00    3.51    0.00    0.00    0.00   23.31
14時28分22秒  all   55.42    0.00    7.30    0.25    1.01    3.53    0.00    0.00    0.00   32.49
14時28分23秒  all   76.13    0.00    8.54    0.00    1.01    3.02    0.00    0.00    0.00   11.31
14時28分24秒  all   85.61    0.00    7.32    0.00    1.01    2.02    0.00    0.00    0.00    4.04
14時28分25秒  all   72.00    0.00    7.50    0.50    1.25    3.50    0.00    0.00    0.00   15.25
14時28分26秒  all   70.35    0.00    7.04    0.25    1.01    2.76    0.00    0.00    0.00   18.59
14時28分27秒  all   58.94    0.00    7.30    0.25    0.76    3.53    0.00    0.00    0.00   29.22
14時28分28秒  all   62.91    0.00    7.27    0.00    1.25    3.26    0.00    0.00    0.00   25.31
14時28分29秒  all   67.59    0.00    8.29    0.25    1.01    2.76    0.00    0.00    0.00   20.10
14時28分30秒  all   80.40    0.00    7.04    0.00    1.01    3.27    0.00    0.00    0.00    8.29
14時28分31秒  all   88.03    0.00    6.48    0.00    0.75    2.49    0.00    0.00    0.00    2.24
14時28分32秒  all   78.84    0.00    8.31    0.00    1.01    3.27    0.00    0.00    0.00    8.56
14時28分33秒  all   76.94    0.00    8.02    0.00    1.25    3.01    0.00    0.00    0.00   10.78
14時28分34秒  all   76.57    0.00    6.80    0.25    0.50    2.77    0.00    0.00    0.00   13.10
14時28分35秒  all   71.68    0.00    6.52    0.50    1.00    3.01    0.00    0.00    0.00   17.29
14時28分36秒  all   77.83    0.00    7.56    0.25    1.26    2.77    0.00    0.00    0.00   10.33
14時28分37秒  all   72.93    0.00    6.27    0.00    0.75    3.01    0.00    0.00    0.00   17.04
14時28分38秒  all   85.79    0.00    6.73    0.00    1.00    2.74    0.00    0.00    0.00    3.74
14時28分39秒  all   82.29    0.00    7.48    0.00    1.00    2.74    0.00    0.00    0.00    6.48
14時28分40秒  all   77.16    0.00    6.60    0.00    1.02    2.79    0.00    0.00    0.00   12.44
14時28分41秒  all   81.44    0.00    6.93    0.00    0.99    2.72    0.00    0.00    0.00    7.92
14時28分42秒  all   58.85    0.00    8.23    0.25    1.00    3.49    0.00    0.00    0.00   28.18
