2026/04/27 12:56:12 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.7, Count: 227, TPM: 1403.9, Sum(ms): 33966.5, Avg(ms): 149.8, 50th(ms): 151.0, 90th(ms): 184.5, 95th(ms): 209.7, 99th(ms): 285.2, 99.9th(ms): 318.8, Max(ms): 318.8
[Current] NEW_ORDER - Takes(s): 9.9, Count: 2612, TPM: 15826.3, Sum(ms): 161985.0, Avg(ms): 62.0, 50th(ms): 60.8, 90th(ms): 83.9, 95th(ms): 92.3, 99th(ms): 121.6, 99.9th(ms): 142.6, Max(ms): 159.4
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 237, TPM: 1445.8, Sum(ms): 5910.0, Avg(ms): 24.9, 50th(ms): 24.1, 90th(ms): 35.7, 95th(ms): 41.9, 99th(ms): 60.8, 99.9th(ms): 96.5, Max(ms): 96.5
[Current] PAYMENT - Takes(s): 9.9, Count: 2544, TPM: 15389.2, Sum(ms): 93561.5, Avg(ms): 36.8, 50th(ms): 35.7, 90th(ms): 52.4, 95th(ms): 60.8, 99th(ms): 83.9, 99.9th(ms): 109.1, Max(ms): 159.4
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 230, TPM: 1392.6, Sum(ms): 15903.6, Avg(ms): 69.2, 50th(ms): 60.8, 90th(ms): 117.4, 95th(ms): 151.0, 99th(ms): 201.3, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] DELIVERY - Takes(s): 10.0, Count: 260, TPM: 1561.6, Sum(ms): 38705.0, Avg(ms): 148.9, 50th(ms): 151.0, 90th(ms): 192.9, 95th(ms): 201.3, 99th(ms): 243.3, 99.9th(ms): 268.4, Max(ms): 268.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 2796, TPM: 16776.5, Sum(ms): 163683.9, Avg(ms): 58.6, 50th(ms): 56.6, 90th(ms): 75.5, 95th(ms): 83.9, 99th(ms): 113.2, 99.9th(ms): 142.6, Max(ms): 243.3
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 261, TPM: 1569.3, Sum(ms): 6441.8, Avg(ms): 24.7, 50th(ms): 24.1, 90th(ms): 35.7, 95th(ms): 39.8, 99th(ms): 50.3, 99.9th(ms): 75.5, Max(ms): 75.5
[Current] PAYMENT - Takes(s): 10.0, Count: 2647, TPM: 15882.6, Sum(ms): 91203.4, Avg(ms): 34.5, 50th(ms): 32.5, 90th(ms): 46.1, 95th(ms): 52.4, 99th(ms): 75.5, 99.9th(ms): 100.7, Max(ms): 104.9
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 219, TPM: 1321.6, Sum(ms): 13568.0, Avg(ms): 62.1, 50th(ms): 44.0, 90th(ms): 121.6, 95th(ms): 159.4, 99th(ms): 201.3, 99.9th(ms): 209.7, Max(ms): 209.7
[Current] DELIVERY - Takes(s): 10.0, Count: 284, TPM: 1710.3, Sum(ms): 39379.0, Avg(ms): 138.9, 50th(ms): 130.0, 90th(ms): 184.5, 95th(ms): 218.1, 99th(ms): 285.2, 99.9th(ms): 335.5, Max(ms): 335.5
